#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	5	-29045.73675788643	296.39578752249787	0
0.0%	10	-28935.09613288643	296.9784629323973	9.06
0.0%	15	-29379.58832038643	299.9699775183097	9.38
0.0%	20	-29566.75042976143	300.8209711756811	8.14
0.1%	25	-29330.22113288643	298.8469679035032	8.47
0.1%	30	-29762.73675788643	300.19891677645455	8.07
0.1%	35	-29681.36175788643	298.8884453705774	8.29
0.1%	40	-29752.31097663643	299.26550046687726	8.47
0.1%	45	-29386.28363288643	296.8136194725465	8.25
0.1%	50	-29473.63714851143	298.32195100053775	8.36
0.1%	55	-29341.78949226143	297.9759725547069	8.47
0.1%	60	-29691.09222663643	300.7463651003792	8.3
0.1%	65	-29521.88324226143	298.53789167977095	8.41
0.1%	70	-29491.36175788643	299.125096915222	8.5
0.1%	75	-29396.95746101143	298.6387313516952	8.37
0.2%	80	-29141.53949226143	297.00032323545054	8.43
0.2%	85	-29637.42035163643	299.81996258634774	8.49
0.2%	90	-29623.47113288643	299.29520571992674	8.4
0.2%	95	-29343.11957038643	298.8862955099824	8.46
0.2%	100	-29390.40472663643	297.5970092006651	8.51
0.2%	105	-28935.61566413643	295.8366525779344	8.42
0.2%	110	-29243.01800788643	299.4816328468018	8.47
0.2%	115	-29131.63910163643	297.9112411392133	8.52
0.2%	120	-29508.09417976143	301.18699533889463	8.43
0.2%	125	-30025.829398143687	303.37725345163324	8.47
0.3%	130	-29326.782523143687	299.3525210957846	8.51
0.3%	135	-29783.995413768687	301.82272649250433	8.44
0.3%	140	-29153.581351268687	297.0918069490867	8.48
0.3%	145	-29647.091116893687	300.8417255276549	8.52
0.3%	150	-29449.864554393687	298.1858979891379	8.45
0.3%	155	-29367.073538768687	298.591189182387	8.48
0.3%	160	-29643.286429393687	299.034146296981	8.51
0.3%	165	-29159.020804393687	296.90624082028205	8.45
0.3%	170	-29582.198538768687	300.29922008924075	8.47
0.3%	175	-29588.563773143687	299.92024153105393	8.5
0.4%	180	-29590.446585643687	300.89483060588327	8.44
0.4%	185	-30256.376273143687	303.11519484829216	8.47
0.4%	190	-29419.784476268687	297.99480009043	8.5
0.4%	195	-29606.220023143687	300.1592758194659	8.46
0.4%	200	-29281.805960643687	297.1396612430514	8.48
0.4%	205	-29276.673148143687	299.25450850111366	8.51
0.4%	210	-29596.585257518687	300.1636250885301	8.46
0.4%	215	-29400.917288768687	298.3638022690938	8.49
0.4%	220	-29171.052054393687	296.89673547426963	8.46
0.5%	225	-29384.598929393687	299.3071937452353	8.42
0.5%	230	-29250.055960643687	299.3779357000744	8.45
0.5%	235	-29634.259085643687	302.1978998946724	8.46
0.5%	240	-29213.417288768687	298.0595657545133	8.43
0.5%	245	-29249.020804393687	299.63796402019506	8.45
0.5%	250	-29556.163382518687	300.44749225859897	8.47
0.5%	255	-29245.188773143687	299.6105358217928	8.44
0.5%	260	-29346.286429393687	298.6419272167319	8.46
0.5%	265	-29323.712210643687	299.4713558287033	8.48
0.5%	270	-29561.887991893687	301.1040935417109	8.45
0.6%	275	-29389.968070018687	301.18282814179224	8.47
0.6%	280	-29332.165335643687	300.5594748564001	8.48
0.6%	285	-29056.204398143687	299.9140794754986	8.45
0.6%	290	-29622.552054393687	301.9503012376031	8.47
0.6%	295	-29275.315726268687	300.196387425201	8.49
0.6%	300	-29517.526663768687	300.7972760389228	8.46
0.6%	305	-29191.425101268687	299.6156832061977	8.48
0.6%	310	-29606.509085643687	301.89141170475153	8.5
0.6%	315	-29229.602835643687	299.985015430957	8.47
0.6%	320	-29312.458304393687	299.4030345417942	8.48
0.7%	325	-29088.33887052066	298.15617645643204	8.5
0.7%	330	-29527.51074552066	300.54725595730423	8.48
0.7%	335	-29385.41699552066	299.9801844887777	8.49
0.7%	340	-29683.17480802066	301.7292942219634	8.51
0.7%	345	-29563.58496427066	301.4326880240455	8.48
0.7%	350	-29700.20801114566	301.5639693789821	8.5
0.7%	355	-29621.09668302066	301.03072951369774	8.47
0.7%	360	-29567.96972989566	300.51099859120296	8.48
0.7%	365	-29137.87988614566	297.59636277654283	8.49
0.7%	370	-29340.45019864566	298.43878806256953	8.47
0.8%	375	-29407.54004239566	298.7444501482105	8.48
0.8%	380	-29509.64746427066	300.71339627297397	8.49
0.8%	385	-29418.23340177066	300.00632896163177	8.46
0.8%	390	-29166.71387052066	298.4098694077092	8.48
0.8%	395	-29340.36230802066	299.473957898478	8.49
0.8%	400	-29077.23144864566	299.43228630640755	8.47
0.8%	405	-29429.90137052066	301.3622202481607	8.48
0.8%	410	-29187.97558927066	300.65408967117907	8.49
0.8%	415	-29669.99121427066	303.8127722747631	8.46
0.8%	420	-29392.04590177066	301.77869416930713	8.48
0.8%	425	-29278.07129239566	302.2793199370496	8.49
0.9%	430	-28985.61621427066	300.28113378037267	8.47
0.9%	435	-28776.75097989566	299.4585999102076	8.47
0.9%	440	-28845.40722989566	301.36081733416415	8.48
0.9%	445	-29021.74512052066	301.8372797136543	8.46
0.9%	450	-29083.32519864566	301.8319002535246	8.47
0.9%	455	-29051.70410489566	301.1113161008492	8.48
0.9%	460	-28439.23730802066	298.2328123441403	8.46
0.9%	465	-29164.52246427066	302.57398650612583	8.47
0.9%	470	-28995.20215177066	301.2809741502195	8.48
0.9%	475	-29403.547686310092	303.3326416924459	8.46
1.0%	480	-28688.367998810092	298.2671704836759	8.47
1.0%	485	-29093.217608185092	301.4987907179943	8.48
1.0%	490	-29202.262530060092	301.5813045941367	8.45
1.0%	495	-28998.692217560092	300.5830775922506	8.46
1.0%	500	-28869.166826935092	299.55251577905295	8.47
1.0%	505	-29465.987139435092	302.33147011626454	8.45
1.0%	510	-29283.391436310092	300.24354253478833	8.46
1.0%	515	-29256.780108185092	300.25609665436076	8.47
1.0%	520	-28635.172686310092	296.41355386043887	8.45
1.1%	525	-28965.049639435092	299.2911505722267	8.46
1.1%	530	-29146.549639435092	299.84998753478453	8.47
1.1%	535	-29065.659014435092	299.1758575065022	8.46
1.1%	540	-28614.239092560092	295.6654521794363	8.47
1.1%	545	-28625.614092560092	297.1308865242935	8.48
1.1%	550	-28856.842608185092	298.8369056088414	8.46
1.1%	555	-28992.537920685092	299.5692852668444	8.47
1.1%	560	-29132.834795685092	299.65322171918785	8.48
1.1%	565	-29090.131670685092	299.66977797284164	8.46
1.1%	570	-29495.741045685092	302.46251407168813	8.47
1.1%	575	-29256.752764435092	299.8112687527165	8.48
1.2%	580	-29373.983233185092	301.0991335352081	8.46
1.2%	585	-29090.393389435092	298.7008136266847	8.47
1.2%	590	-29187.639483185092	299.2936942474943	8.48
1.2%	595	-29321.592608185092	300.01612394652057	8.47
1.2%	600	-29394.080889435092	300.6678131125447	8.47
1.2%	605	-29109.612139435092	299.14943886569705	8.48
1.2%	610	-29166.936358185092	298.0637789697747	8.47
1.2%	615	-29038.373858185092	296.9725190305914	8.47
1.2%	620	-29120.110186310092	297.72580791065735	8.48
1.2%	625	-28732.233233185092	296.367210387913	8.47
1.3%	630	-29103.940264435092	298.5625030498681	8.47
1.3%	635	-29424.901201935092	299.32943293527006	8.48
1.3%	640	-29569.772295685092	300.3859617252473	8.47
1.3%	645	-29023.647295685092	296.8515953922754	8.48
1.3%	650	-28756.086748810092	296.3604016635713	8.48
1.3%	655	-29374.987139435092	300.4831502285765	8.47
1.3%	660	-29438.647295685092	300.5178559720476	8.48
1.3%	665	-29629.239092560092	301.4683963450806	8.48
1.3%	670	-28919.037920685092	297.2827495434796	8.47
1.4%	675	-28936.504717560092	298.60374282231555	8.48
1.4%	680	-29244.014483185092	299.60350967862024	8.49
1.4%	685	-29581.705889435092	301.3761408793842	8.48
1.4%	690	-29478.951983185092	299.91681775594554	8.49
1.4%	695	-29596.539873810092	299.9340300323706	8.47
1.4%	700	-28979.830889435092	296.6567703176116	8.48
1.4%	705	-29295.526201935092	299.13307773232503	8.49
1.4%	710	-28743.571123810092	295.2437667490119	8.47
1.4%	715	-29020.116045685092	298.24238559053293	8.48
1.4%	720	-29099.631670685092	298.81293773867947	8.49
1.4%	725	-28886.703936310092	298.2798839141832	8.47
1.5%	730	-29007.776201935092	299.04617541811075	8.48
1.5%	735	-29217.041826935092	299.65744210358696	8.49
1.5%	740	-28936.479326935092	297.8165669623126	8.48
1.5%	745	-29063.358233185092	299.30425973991197	8.48
1.5%	750	-29151.798654416685	299.44458204648845	8.49
1.5%	755	-29365.158029416685	301.1918559081994	8.47
1.5%	760	-29357.171701291685	299.48048054596734	8.48
1.5%	765	-29305.189279416685	299.30352597299157	8.49
1.5%	770	-29459.025216916685	300.8458486521207	8.48
1.6%	775	-29069.323132997037	298.8182540260745	8.48
1.6%	780	-28893.500867372037	298.457346965643	8.49
1.6%	785	-28875.069226747037	298.3494643775196	8.47
1.6%	790	-29234.305554872037	300.90060682983074	8.48
1.6%	795	-29744.703992372037	303.0102773510844	8.49
1.6%	800	-29285.500867372037	299.7555322362396	8.47
1.6%	805	-29365.137586122037	300.26630077987903	8.48
1.6%	810	-29118.317273622037	298.08691308042614	8.48
1.6%	815	-29103.452039247037	300.20176050381815	8.47
1.6%	820	-29102.026257997037	298.30330312756763	8.48
1.6%	825	-28565.871961122037	295.8307100866335	8.48
1.7%	830	-29287.500867372037	299.8149779005754	8.47
1.7%	835	-28956.784070497037	297.1588493256251	8.47
1.7%	840	-29045.887586122037	298.5425849085601	8.48
1.7%	845	-29404.493054872037	299.5884101241411	8.47
1.7%	850	-28937.688367372037	297.5855837282915	8.47
1.7%	855	-29770.243054872037	303.11460210739267	8.48
1.7%	860	-29515.672742372037	299.4855020963931	8.47
1.7%	865	-29502.186414247037	301.02765005360357	8.47
1.7%	870	-29568.559461122037	299.8109717304581	8.48
1.8%	875	-29230.637870538965	298.48760739689754	8.46
1.8%	880	-29481.161308038965	299.77544924793244	8.47
1.8%	885	-29177.630058038965	297.90505393741364	8.47
1.8%	890	-29301.995292413965	297.6183648720175	8.46
1.8%	895	-29403.669120538965	298.3901196150598	8.47
1.8%	900	-29417.061396673795	299.7103575389825	8.47
1.8%	905	-29448.813349798795	300.83445721829963	8.47
1.8%	910	-29670.631709173795	299.85514469057864	8.47
1.8%	915	-29455.791865423795	298.948499947702	8.48
1.8%	920	-29519.661006048795	299.03765950997376	8.47
1.9%	925	-29447.955927923795	299.1235440764012	8.47
1.9%	930	-29543.522334173795	299.43625246798473	8.48
1.9%	935	-29645.518427923795	299.3080661676755	8.47
1.9%	940	-29579.440302923795	298.96160869822677	8.47
1.9%	945	-29258.932490423795	298.46490721778065	8.48
1.9%	950	-29301.850121071897	298.54434265484986	8.47
1.9%	955	-29054.779808571897	297.91655449200744	8.48
1.9%	960	-29394.363792946897	300.7232670622164	8.48
1.9%	965	-29303.873558571897	299.95306570529954	8.48
1.9%	970	-29684.650902321897	301.99812998307453	8.48
1.9%	975	-29203.497981427507	298.2537540176846	8.48
2.0%	980	-29514.298762677507	300.87337095512873	8.48
