#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1	16765.314475845167	300.79736356114887	0
0.0%	2	17553.150413345167	299.1996648011181	1.42
0.0%	3	17341.189475845167	297.2014685120069	1.6
0.0%	4	17463.462913345167	298.8212610620801	1.54
0.0%	5	17642.337913345167	296.73477580052577	1.61
0.0%	6	17063.892600845167	298.6608300289184	1.65
0.0%	7	17264.759788345167	299.0941219952251	1.62
0.0%	8	16635.681663345167	299.51912211248157	1.64
0.0%	9	16805.494163345167	301.95694526635896	1.61
0.0%	10	17296.001975845167	299.2074883199485	1.64
0.0%	11	17474.603538345167	298.5991017060272	1.65
0.0%	12	18136.126975845167	296.2167454553833	1.64
0.0%	13	17403.541038345167	296.10864154270445	1.65
0.0%	14	16994.564475845167	299.8452514855106	1.66
0.0%	15	16785.455100845167	300.275407362688	1.65
0.0%	16	16742.634788345167	301.7934348392154	1.66
0.0%	17	17578.056663345167	299.73417425475714	1.65
0.0%	18	17589.533225845167	297.52670899665054	1.66
0.0%	19	17660.798850845167	298.1172921951366	1.66
0.0%	20	17632.236350845167	297.7261583592084	1.66
0.0%	21	17456.564475845167	298.62723238192575	1.66
0.0%	22	17744.681663345167	298.5948981598372	1.65
0.0%	23	17478.673850845167	298.25500654739193	1.66
0.0%	24	17255.978538345167	299.97413536862217	1.67
0.1%	25	17163.173850845167	299.9811035659726	1.66
0.1%	26	17172.111350845167	300.3421485629048	1.66
0.1%	27	17732.416038345167	298.92499775844425	1.65
0.1%	28	17849.025413345167	296.9900902771452	1.66
0.1%	29	17642.166038345167	297.6034775700717	1.67
0.1%	30	17182.916038345167	298.7510540143926	1.65
0.1%	31	16789.767600845167	301.2096197891024	1.66
0.1%	32	16870.369163345167	301.2528604829658	1.65
0.1%	33	16975.759788345167	301.0061865490764	1.66
0.1%	34	17413.931663345167	299.667114971664	1.66
0.1%	35	17356.666038345167	298.38782764889424	1.66
0.1%	36	17235.353538345167	299.4506542168363	1.66
0.1%	37	17197.806663345167	299.54690388019054	1.65
0.1%	38	16964.525413345167	300.2377349054785	1.65
0.1%	39	17036.259788345167	300.75826469763797	1.65
0.1%	40	17025.158225845167	300.4014205618814	1.65
0.1%	41	17217.978538345167	300.12551167324614	1.65
0.1%	42	17296.431663345167	299.10579744176766	1.65
0.1%	43	17267.775413345167	299.39584706139306	1.65
0.1%	44	17425.978538345167	298.8501358838122	1.66
0.1%	45	17344.361350845167	298.5591361947719	1.65
0.1%	46	17482.791038345167	298.6913675988697	1.66
0.1%	47	17296.455100845167	298.5690915868931	1.65
0.1%	48	17199.048850845167	299.7019605179254	1.65
0.1%	49	17353.666038345167	299.135316490866	1.66
0.1%	50	17144.798850845167	299.29456446987047	1.65
0.1%	51	17391.642600845167	299.19699215342376	1.66
0.1%	52	17308.431663345167	297.868999723197	1.65
0.1%	53	17236.884788345167	299.04657489484663	1.66
0.1%	54	17534.009788345167	297.7729627282925	1.66
0.1%	55	17157.619163345167	297.8608993530666	1.66
0.1%	56	17178.900413345167	299.1659837923205	1.66
0.1%	57	17165.978538345167	298.19988536200646	1.65
0.1%	58	16951.689475845167	299.42452884807966	1.66
0.1%	59	17314.822288345167	298.5251464434036	1.66
0.1%	60	17216.548850845167	297.7269631020191	1.66
0.1%	61	17202.791038345167	298.60607292963465	1.66
0.1%	62	17321.775413345167	298.0338103487234	1.65
0.1%	63	17241.517600845167	298.01926638935396	1.66
0.1%	64	17332.525413345167	298.36455756752696	1.66
0.1%	65	17610.330100845167	297.56716937477546	1.66
0.1%	66	17743.556663345167	296.23685163219403	1.66
0.1%	67	17966.541038345167	295.5168867155294	1.66
0.1%	68	17700.634788345167	295.09937872470215	1.66
0.1%	69	17101.775413345167	297.62592596298197	1.66
0.1%	70	17084.041038345167	298.83204630989263	1.66
0.1%	71	17021.353538345167	298.6444073794804	1.66
0.1%	72	17384.072288345167	298.5175002632125	1.66
0.1%	73	17799.720725845167	296.19069952916675	1.66
0.1%	74	17476.017600845167	296.28417959622453	1.66
0.1%	75	17409.595725845167	297.46998688931734	1.66
0.2%	76	17094.322288345167	297.9494978626276	1.66
0.2%	77	16969.228538345167	299.50183362114836	1.66
0.2%	78	17133.900413345167	298.74133001405846	1.66
0.2%	79	16853.431663345167	299.2621654818706	1.66
0.2%	80	16965.892600845167	299.7620480682821	1.66
0.2%	81	16989.251975845167	299.0821999897214	1.66
0.2%	82	17147.673850845167	299.38009996546685	1.66
0.2%	83	17555.619163345167	297.60578711306675	1.66
0.2%	84	17276.845725845167	297.45117742293854	1.66
0.2%	85	17203.244163345167	298.4516763352245	1.66
0.2%	86	16961.267600845167	298.5795312990989	1.66
0.2%	87	16893.603538345167	300.02137404328874	1.66
0.2%	88	17286.603538345167	298.83887574879543	1.66
0.2%	89	17138.462913345167	298.26593387162785	1.66
0.2%	90	17100.376975845167	299.2471312196645	1.66
0.2%	91	16983.306663345167	299.1363880381058	1.66
0.2%	92	16864.791038345167	300.0602449501883	1.66
0.2%	93	17082.673850845167	299.5621608426569	1.66
0.2%	94	16979.470725845167	298.9776474932217	1.66
0.2%	95	17033.166038345167	299.56902897870566	1.66
0.2%	96	16969.900413345167	299.1653998575908	1.66
0.2%	97	16836.087913345167	300.23203052826364	1.66
0.2%	98	17118.158225845167	299.485499827637	1.66
0.2%	99	16964.072288345167	298.98647477137683	1.66
0.2%	100	17159.275413345167	299.82558207444475	1.66
0.2%	101	17202.478538345167	298.24488008762887	1.66
0.2%	102	16983.064475845167	299.283608380897	1.66
0.2%	103	17413.853538345167	298.6245418198292	1.66
0.2%	104	17083.541038345167	298.059587058687	1.66
0.2%	105	16952.501975845167	299.78858792430407	1.66
0.2%	106	17092.697288345167	298.9213907124216	1.66
0.2%	107	16745.369163345167	300.31102372167265	1.66
0.2%	108	17308.587913345167	299.95922095829434	1.66
0.2%	109	17304.853538345167	297.50302503362667	1.66
0.2%	110	17134.697288345167	299.08943007260547	1.66
0.2%	111	17158.369163345167	298.62702799061043	1.66
0.2%	112	16553.259788345167	300.2670665940086	1.66
0.2%	113	17044.134788345167	301.30882047142643	1.66
0.2%	114	17188.244163345167	298.67303536965613	1.66
0.2%	115	17053.626975845167	299.73163395406607	1.66
0.2%	116	17267.080100845167	298.394693926048	1.66
0.2%	117	16591.244163345167	299.7984807028307	1.66
0.2%	118	16948.064475845167	301.37897032448694	1.66
0.2%	119	17303.251975845167	298.69737241141877	1.66
0.2%	120	17325.775413345167	298.79313592576153	1.66
0.2%	121	17735.431663345167	297.0170322521334	1.66
0.2%	122	16971.642600845167	297.62742607413486	1.66
0.2%	123	16951.400413345167	300.7691858694841	1.66
0.2%	124	17227.705100845167	299.0206043617015	1.66
0.2%	125	17389.001975845167	299.12399367172475	1.66
0.3%	126	18178.728538345167	296.2565048309158	1.66
0.3%	127	17553.830100845167	295.34249644306834	1.66
0.3%	128	17141.173850845167	298.7415833065144	1.66
0.3%	129	17111.744163345167	298.7149829389919	1.66
0.3%	130	16675.431663345167	300.4016461432233	1.66
0.3%	131	17385.611350845167	299.58942783590743	1.66
0.3%	132	17470.572288345167	296.8384978350499	1.66
0.3%	133	17363.322288345167	298.2296005915713	1.66
0.3%	134	17719.041038345167	296.8943720854576	1.66
