#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.2%	1	-2871582.9052796513	300.35310322879195	0
0.4%	2	-2871377.9052796513	300.413016114893	0.081
0.6%	3	-2870718.9052796513	300.2448597462883	0.0717
0.8%	4	-2870293.9052796513	300.0358238247177	0.0738
1.0%	5	-2870653.9052796513	300.02949411047797	0.0753
1.2%	6	-2871671.9052796513	300.312730355599	0.076
1.4%	7	-2872148.9052796513	300.6472056453811	0.0768
1.6%	8	-2871436.9052796513	300.633998862813	0.0775
1.8%	9	-2870305.9052796513	300.2338650260569	0.0755
2.0%	10	-2869831.9052796513	299.8516100375757	0.0759
2.2%	11	-2870497.9052796513	299.8988421444248	0.0761
2.4%	12	-2871369.9052796513	300.355967024598	0.0765
2.6%	13	-2871628.9052796513	300.6230862263994	0.0769
2.8%	14	-2871164.9052796513	300.5817837692676	0.0757
3.0%	15	-2870600.9052796513	300.30995471244927	0.0759
3.2%	16	-2870635.9052796513	300.09810583598346	0.0761
3.4%	17	-2871057.9052796513	300.24857265053413	0.0763
3.6%	18	-2871079.9052796513	300.34804061894084	0.0765
3.8%	19	-2870698.9052796513	300.3115988523358	0.0766
4.0%	20	-2870127.9052796513	300.10955668549417	0.0768
4.2%	21	-2870201.9052796513	299.99257986859595	0.077
4.4%	22	-2870721.9052796513	300.2176570850213	0.0771
4.6%	23	-2870935.9052796513	300.37880043849185	0.0773
4.8%	24	-2870587.9052796513	300.30861041567096	0.0766
5.0%	25	-2870035.9052796513	300.10505973833534	0.0767
5.2%	26	-2869928.9052796513	299.9528906506499	0.0767
5.4%	27	-2870437.9052796513	300.0482174093124	0.0768
5.6%	28	-2870829.9052796513	300.2517046834163	0.0769
5.8%	29	-2870881.9052796513	300.2457538857228	0.0769
6.0%	30	-2870751.9052796513	300.2014319369402	0.077
6.2%	31	-2871097.9052796513	300.25317781353965	0.0771
6.4%	32	-2871716.9052796513	300.4109306327097	0.0772
6.6%	33	-2871933.9052796513	300.58059454859415	0.0773
6.8%	34	-2871749.9052796513	300.5916428329288	0.0773
7.0%	35	-2871406.9052796513	300.39622031359175	0.0769
7.2%	36	-2870939.9052796513	300.27563912776947	0.0769
7.4%	37	-2870299.9052796513	300.1013592634373	0.077
7.6%	38	-2869445.9052796513	299.735877782593	0.077
7.8%	39	-2869084.9052796513	299.48742234917773	0.0771
8.0%	40	-2869569.9052796513	299.4903046704617	0.0772
8.2%	41	-2870337.9052796513	299.73024920059964	0.0772
8.4%	42	-2870933.9052796513	300.040254806597	0.0773
8.6%	43	-2871084.9052796513	300.1585966385725	0.0774
8.8%	44	-2871221.9052796513	300.0721754624786	0.0771
9.0%	45	-2871578.9052796513	300.2054281882695	0.0771
9.2%	46	-2871626.9052796513	300.2410917973419	0.0771
9.4%	47	-2871395.9052796513	300.1772001838953	0.0772
9.6%	48	-2871171.9052796513	300.1542872008492	0.0772
9.8%	49	-2871074.9052796513	300.14483653228115	0.0773
10.0%	50	-2871383.5410304293	300.22801232647396	0.0773
10.2%	51	-2871587.5410304293	300.213746982993	0.0774
10.4%	52	-2871853.5410304293	300.23837404986983	0.0771
10.6%	53	-2872201.5410304293	300.31612333650344	0.0771
10.8%	54	-2872371.5410304293	300.30346578858	0.0771
11.0%	55	-2872594.5410304293	300.3707585890087	0.0771
11.2%	56	-2872837.5410304293	300.50189556172575	0.0772
11.4%	57	-2872767.5410304293	300.5196612027126	0.0772
11.6%	58	-2872420.5410304293	300.4723081268595	0.0772
11.8%	59	-2871557.5410304293	300.23360670855016	0.0773
12.0%	60	-2870697.5410304293	299.8755977815541	0.0774
12.2%	61	-2870133.5410304293	299.4888686403532	0.0771
12.4%	62	-2869922.5410304293	299.35363136297923	0.0771
12.6%	63	-2870085.5410304293	299.4202065805166	0.0772
12.8%	64	-2870155.5410304293	299.5321864071333	0.0772
13.0%	65	-2870085.5410304293	299.4531654149426	0.0772
13.2%	66	-2870331.5410304293	299.53051547687727	0.0773
13.4%	67	-2870636.5410304293	299.6475102852509	0.0773
13.6%	68	-2870989.5410304293	299.7723246483602	0.0774
13.8%	69	-2871509.5410304293	299.9452517493077	0.0772
14.0%	70	-2872445.5410304293	300.13198595481566	0.0772
14.2%	71	-2873594.5410304293	300.6596092448507	0.0772
14.4%	72	-2873865.5410304293	300.9065003693834	0.0772
14.6%	73	-2873262.5410304293	300.8837268808552	0.0772
14.8%	74	-2872706.5410304293	300.5765221186685	0.0773
15.0%	75	-2872863.5410304293	300.5327037071502	0.0773
15.2%	76	-2873535.5410304293	300.7852163314403	0.0773
15.4%	77	-2873793.5410304293	300.92435083862534	0.0774
15.6%	78	-2873337.5410304293	300.89358150753117	0.0772
15.8%	79	-2872647.5410304293	300.7046337736692	0.0772
16.0%	80	-2872211.5410304293	300.48333797832254	0.0772
16.2%	81	-2872101.5410304293	300.4114689425697	0.0773
16.4%	82	-2872007.5410304293	300.37639034869346	0.0773
16.6%	83	-2871929.5410304293	300.3938086921398	0.0773
16.8%	84	-2871708.5410304293	300.30041945678386	0.0772
17.0%	85	-2871614.5410304293	300.29465794282476	0.0772
17.2%	86	-2871623.5410304293	300.25417746414524	0.0772
17.4%	87	-2871530.5410304293	300.2693637458002	0.0773
17.6%	88	-2871513.5410304293	300.2511186133854	0.0773
17.8%	89	-2871420.5410304293	300.2266445424682	0.0771
18.0%	90	-2870949.5410304293	300.0985775589473	0.0772
18.2%	91	-2870827.5410304293	299.91855316602147	0.0772
18.4%	92	-2871239.5410304293	299.9807763528828	0.0772
18.6%	93	-2872213.5410304293	300.24105761289815	0.0772
18.8%	94	-2872865.5410304293	300.6311538843377	0.0772
19.0%	95	-2872585.5410304293	300.68655489914704	0.0772
19.2%	96	-2872031.5410304293	300.488369526366	0.0772
19.4%	97	-2871635.5410304293	300.3180253111602	0.0773
19.6%	98	-2871435.5410304293	300.2640019888076	0.0773
19.8%	99	-2871979.5410304293	300.29179588028444	0.0771
20.0%	100	-2872866.5410304293	300.6091511095471	0.0771
20.2%	101	-2873979.5410304293	300.97022019230553	0.0771
20.4%	102	-2874475.5410304293	301.4245881359997	0.0771
20.6%	103	-2873811.5410304293	301.3895416306928	0.0772
20.8%	104	-2872690.5410304293	301.0164494560995	0.0772
21.0%	105	-2871615.5410304293	300.55652936353886	0.0772
