#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	10	-2869004.5869302116	299.96691832077755	0
0.0%	20	-2866643.822416939	298.8690680511928	0.468
0.1%	30	-2870860.9534226824	300.6686379883838	0.425
0.1%	40	-2868018.9212958068	299.5778534006527	0.436
0.1%	50	-2868052.9657709114	300.11502522274515	0.438
0.1%	60	-2869623.614966389	300.3107957607577	0.445
0.1%	70	-2868043.4686487652	299.6018338938563	0.449
0.2%	80	-2867822.0932959057	299.5431476351042	0.449
0.2%	90	-2869289.395702347	300.32775396505264	0.452
0.2%	100	-2868644.928084351	299.9653412526589	0.451
0.2%	110	-2867989.601168018	299.60836068801626	0.455
0.2%	120	-2870539.902781192	300.3573480555263	0.458
0.3%	130	-2868500.87601728	299.7264570753865	0.458
0.3%	140	-2867850.887249872	299.3087329957803	0.454
0.3%	150	-2870888.196371179	300.6386960718925	0.454
0.3%	160	-2870564.3372882865	300.26041735184833	0.455
0.3%	170	-2869551.3701579496	300.16806412770836	0.456
0.4%	180	-2868189.4300624877	299.42420252908977	0.456
0.4%	190	-2869681.6851688623	300.2746232330736	0.453
0.4%	200	-2868953.311680874	300.09804990959134	0.453
0.4%	210	-2867107.9052279964	299.5973898341892	0.454
0.4%	220	-2869577.6453915574	300.40117958694333	0.455
0.5%	230	-2868207.6988970395	299.9198734971738	0.455
0.5%	240	-2867868.0851771925	299.53182343598326	0.456
0.5%	250	-2866410.9366988726	299.1754232243442	0.455
0.5%	260	-2867521.800655665	299.62610538174926	0.457
0.5%	270	-2866699.760587627	299.6683352261653	0.457
0.6%	280	-2868403.0324154515	300.15855924802406	0.457
0.6%	290	-2867313.3411383145	299.59759664998154	0.458
0.6%	300	-2866623.469821645	299.4209146844023	0.455
0.6%	310	-2868706.345116662	300.29778708920134	0.456
0.6%	320	-2865959.355720671	299.30255095783616	0.457
0.7%	330	-2866803.955493694	299.7436886127998	0.456
0.7%	340	-2868231.6420987155	300.12452911929086	0.457
0.7%	350	-2869624.5967813395	300.509187817338	0.457
0.7%	360	-2868662.2320446875	300.2178802566002	0.458
0.7%	370	-2867836.979149973	299.80562460567756	0.459
0.8%	380	-2866913.1230338607	299.63619197900675	0.457
0.8%	390	-2865025.086163815	298.94397441352	0.457
