cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xfffff000000000000000000000000000fffff000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 46.143145 secs
Exciton, frame 6000 ran in:  17.490254163742065
Exciton, frame 6001 ran in:  22.30471634864807
Exciton, frame 6002 ran in:  23.280490398406982
Exciton, frame 6003 ran in:  23.63926911354065
Exciton, frame 6004 ran in:  17.227630853652954
Exciton, frame 6005 ran in:  22.17904782295227
Exciton, frame 6006 ran in:  23.472697257995605
Exciton, frame 6007 ran in:  21.976348161697388
Exciton, frame 6008 ran in:  22.100979804992676
Exciton, frame 6009 ran in:  19.953965663909912
Exciton, frame 6010 ran in:  20.733847856521606
Exciton, frame 6011 ran in:  16.985893964767456
Exciton, frame 6012 ran in:  23.051542043685913
Exciton, frame 6013 ran in:  21.746415376663208
Exciton, frame 6014 ran in:  22.336365222930908
Exciton, frame 6015 ran in:  18.321184396743774
Exciton, frame 6016 ran in:  18.502920627593994
Exciton, frame 6017 ran in:  17.503292322158813
Exciton, frame 6018 ran in:  20.196319580078125
Exciton, frame 6019 ran in:  16.723884105682373
Exciton, frame 6020 ran in:  22.518667221069336
Exciton, frame 6021 ran in:  21.751370429992676
Exciton, frame 6022 ran in:  18.23306965827942
Exciton, frame 6023 ran in:  22.75536799430847
Exciton, frame 6024 ran in:  19.746022939682007
Exciton, frame 6025 ran in:  21.00447392463684
Exciton, frame 6026 ran in:  19.64488673210144
Exciton, frame 6027 ran in:  20.295083045959473
Exciton, frame 6028 ran in:  20.84542465209961
Exciton, frame 6029 ran in:  19.46407151222229
Exciton, frame 6030 ran in:  17.61130714416504
Exciton, frame 6031 ran in:  22.8462336063385
Exciton, frame 6032 ran in:  22.377989768981934
Exciton, frame 6033 ran in:  16.89372444152832
Exciton, frame 6034 ran in:  22.112112283706665
Exciton, frame 6035 ran in:  22.717334270477295
Exciton, frame 6036 ran in:  22.10363483428955
Exciton, frame 6037 ran in:  18.735536336898804
Exciton, frame 6038 ran in:  20.590304613113403
Exciton, frame 6039 ran in:  21.651370763778687
Exciton, frame 6040 ran in:  22.185200929641724
Exciton, frame 6041 ran in:  21.45134711265564
Exciton, frame 6042 ran in:  22.10766100883484
Exciton, frame 6043 ran in:  22.25434422492981
Exciton, frame 6044 ran in:  21.723251342773438
Exciton, frame 6045 ran in:  21.83476448059082
Exciton, frame 6046 ran in:  17.42909002304077
Exciton, frame 6047 ran in:  21.72606921195984
Exciton, frame 6048 ran in:  22.989887237548828
Exciton, frame 6049 ran in:  21.83366346359253
Exciton, frame 6050 ran in:  20.47551965713501
Exciton, frame 6051 ran in:  22.788641929626465
Exciton, frame 6052 ran in:  18.515499114990234
Exciton, frame 6053 ran in:  22.462074041366577
Exciton, frame 6054 ran in:  18.378615856170654
Exciton, frame 6055 ran in:  22.853615045547485
Exciton, frame 6056 ran in:  22.167543172836304
Exciton, frame 6057 ran in:  20.32479166984558
Exciton, frame 6058 ran in:  16.711310386657715
Exciton, frame 6059 ran in:  20.8188636302948
Exciton, frame 6060 ran in:  23.22580885887146
Exciton, frame 6061 ran in:  21.918232917785645
Exciton, frame 6062 ran in:  22.221420526504517
Exciton, frame 6063 ran in:  19.33619213104248
Exciton, frame 6064 ran in:  21.92427945137024
Exciton, frame 6065 ran in:  21.933236837387085
Exciton, frame 6066 ran in:  21.375490427017212
Exciton, frame 6067 ran in:  21.910499572753906
Exciton, frame 6068 ran in:  22.14415669441223
Exciton, frame 6069 ran in:  22.098300457000732
Exciton, frame 6070 ran in:  19.930286407470703
Exciton, frame 6071 ran in:  20.219406604766846
Exciton, frame 6072 ran in:  21.213148593902588
Exciton, frame 6073 ran in:  16.90657949447632
Exciton, frame 6074 ran in:  22.168318510055542
Exciton, frame 6075 ran in:  20.278196096420288
Exciton, frame 6076 ran in:  16.894988536834717
Exciton, frame 6077 ran in:  22.264769554138184
Exciton, frame 6078 ran in:  21.640224933624268
Exciton, frame 6079 ran in:  19.78826332092285
Exciton, frame 6080 ran in:  21.516721487045288
Exciton, frame 6081 ran in:  22.707011699676514
Exciton, frame 6082 ran in:  21.993290662765503
Exciton, frame 6083 ran in:  22.018966674804688
Exciton, frame 6084 ran in:  22.203704357147217
Exciton, frame 6085 ran in:  19.904694318771362
Exciton, frame 6086 ran in:  22.1296706199646
Exciton, frame 6087 ran in:  16.354102849960327
Exciton, frame 6088 ran in:  22.69865870475769
Exciton, frame 6089 ran in:  18.458378791809082
Exciton, frame 6090 ran in:  22.113309621810913
Exciton, frame 6091 ran in:  16.83694291114807
Exciton, frame 6092 ran in:  21.761536121368408
Exciton, frame 6093 ran in:  20.142444610595703
Exciton, frame 6094 ran in:  21.254815101623535
Exciton, frame 6095 ran in:  17.366761207580566
Exciton, frame 6096 ran in:  20.539528608322144
Exciton, frame 6097 ran in:  22.01504111289978
Exciton, frame 6098 ran in:  22.46869969367981
Exciton, frame 6099 ran in:  22.433165788650513
Exciton, frame 6100 ran in:  18.726565837860107
Exciton, frame 6101 ran in:  22.069222927093506
Exciton, frame 6102 ran in:  17.231513261795044
Exciton, frame 6103 ran in:  18.267486095428467
Exciton, frame 6104 ran in:  16.83203887939453
Exciton, frame 6105 ran in:  16.729469299316406
Exciton, frame 6106 ran in:  22.327609300613403
Exciton, frame 6107 ran in:  22.68143892288208
Exciton, frame 6108 ran in:  21.150310039520264
Exciton, frame 6109 ran in:  21.73225712776184
Exciton, frame 6110 ran in:  22.822173595428467
Exciton, frame 6111 ran in:  17.76968765258789
Exciton, frame 6112 ran in:  19.98992156982422
Exciton, frame 6113 ran in:  21.38915753364563
Exciton, frame 6114 ran in:  22.27017903327942
Exciton, frame 6115 ran in:  20.44487738609314
Exciton, frame 6116 ran in:  22.450162172317505
Exciton, frame 6117 ran in:  21.708683490753174
Exciton, frame 6118 ran in:  23.27258563041687
Exciton, frame 6119 ran in:  19.87105655670166
Exciton, frame 6120 ran in:  23.435311794281006
Exciton, frame 6121 ran in:  18.914148807525635
Exciton, frame 6122 ran in:  20.8751220703125
Exciton, frame 6123 ran in:  18.076416969299316
Exciton, frame 6124 ran in:  19.588090896606445
Exciton, frame 6125 ran in:  22.539401054382324
Exciton, frame 6126 ran in:  19.58886694908142
Exciton, frame 6127 ran in:  22.51482391357422
Exciton, frame 6128 ran in:  22.947108507156372
Exciton, frame 6129 ran in:  21.420798778533936
Exciton, frame 6130 ran in:  22.428958415985107
Exciton, frame 6131 ran in:  20.077619314193726
Exciton, frame 6132 ran in:  19.20361828804016
Exciton, frame 6133 ran in:  22.53622341156006
Exciton, frame 6134 ran in:  16.878228902816772
Exciton, frame 6135 ran in:  21.777496576309204
Exciton, frame 6136 ran in:  23.223727703094482
Exciton, frame 6137 ran in:  21.73334240913391
Exciton, frame 6138 ran in:  21.98092532157898
Exciton, frame 6139 ran in:  22.984788417816162
Exciton, frame 6140 ran in:  22.230820178985596
Exciton, frame 6141 ran in:  22.19465970993042
Exciton, frame 6142 ran in:  19.695744276046753
Exciton, frame 6143 ran in:  19.675556898117065
Exciton, frame 6144 ran in:  18.146093606948853
Exciton, frame 6145 ran in:  22.773839473724365
Exciton, frame 6146 ran in:  21.488181114196777
Exciton, frame 6147 ran in:  21.51843285560608
Exciton, frame 6148 ran in:  22.63569927215576
Exciton, frame 6149 ran in:  18.548218250274658
Exciton, frame 6150 ran in:  18.348074674606323
Exciton, frame 6151 ran in:  22.050503969192505
Exciton, frame 6152 ran in:  22.3952476978302
Exciton, frame 6153 ran in:  23.370062351226807
Exciton, frame 6154 ran in:  22.11199688911438
Exciton, frame 6155 ran in:  21.210172414779663
Exciton, frame 6156 ran in:  21.786818027496338
