cpu-bind=MASK - bp1-compute068, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.513663 secs
Exciton, frame 1000 ran in:  13.971380710601807
Exciton, frame 1001 ran in:  12.288424253463745
Exciton, frame 1002 ran in:  12.335907936096191
Exciton, frame 1003 ran in:  11.880975484848022
Exciton, frame 1004 ran in:  12.383254528045654
Exciton, frame 1005 ran in:  12.143351316452026
Exciton, frame 1006 ran in:  12.24491572380066
Exciton, frame 1007 ran in:  12.232210636138916
Exciton, frame 1008 ran in:  12.253239870071411
Exciton, frame 1009 ran in:  12.341408491134644
Exciton, frame 1010 ran in:  12.261434316635132
Exciton, frame 1011 ran in:  12.180266857147217
Exciton, frame 1012 ran in:  11.912544012069702
Exciton, frame 1013 ran in:  12.070830583572388
Exciton, frame 1014 ran in:  12.52233338356018
Exciton, frame 1015 ran in:  11.83259391784668
Exciton, frame 1016 ran in:  12.185969352722168
Exciton, frame 1017 ran in:  12.488195419311523
Exciton, frame 1018 ran in:  12.176668167114258
Exciton, frame 1019 ran in:  12.526715993881226
Exciton, frame 1020 ran in:  12.306050300598145
Exciton, frame 1021 ran in:  11.986371755599976
Exciton, frame 1022 ran in:  12.147318840026855
Exciton, frame 1023 ran in:  12.41980504989624
Exciton, frame 1024 ran in:  12.084099531173706
Exciton, frame 1025 ran in:  12.29276442527771
Exciton, frame 1026 ran in:  12.192954301834106
Exciton, frame 1027 ran in:  12.034069061279297
Exciton, frame 1028 ran in:  12.35208010673523
Exciton, frame 1029 ran in:  11.688461065292358
Exciton, frame 1030 ran in:  11.680328845977783
Exciton, frame 1031 ran in:  12.392367124557495
Exciton, frame 1032 ran in:  11.891327142715454
Exciton, frame 1033 ran in:  12.279590129852295
Exciton, frame 1034 ran in:  11.856394290924072
Exciton, frame 1035 ran in:  12.070700883865356
Exciton, frame 1036 ran in:  12.269217491149902
Exciton, frame 1037 ran in:  11.676389217376709
Exciton, frame 1038 ran in:  12.439242839813232
Exciton, frame 1039 ran in:  11.98331093788147
Exciton, frame 1040 ran in:  11.944359540939331
Exciton, frame 1041 ran in:  12.223841667175293
Exciton, frame 1042 ran in:  11.81273603439331
Exciton, frame 1043 ran in:  12.131415128707886
Exciton, frame 1044 ran in:  12.124053239822388
Exciton, frame 1045 ran in:  12.221304416656494
