cpu-bind=MASK - bp1-compute067, task 4294967295 4294967295 [0]: mask 0x2fdfff2fdfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 48.107932 secs
Exciton, frame 7000 ran in:  13.796523571014404
Exciton, frame 7001 ran in:  12.150144577026367
Exciton, frame 7002 ran in:  12.167035341262817
Exciton, frame 7003 ran in:  11.956799507141113
Exciton, frame 7004 ran in:  11.917895317077637
Exciton, frame 7005 ran in:  12.278318166732788
Exciton, frame 7006 ran in:  11.703904628753662
Exciton, frame 7007 ran in:  11.977878093719482
Exciton, frame 7008 ran in:  11.984842300415039
Exciton, frame 7009 ran in:  12.337122440338135
Exciton, frame 7010 ran in:  12.795880794525146
Exciton, frame 7011 ran in:  11.562241554260254
Exciton, frame 7012 ran in:  11.953529596328735
Exciton, frame 7013 ran in:  12.28066897392273
Exciton, frame 7014 ran in:  11.872565031051636
Exciton, frame 7015 ran in:  12.172880172729492
Exciton, frame 7016 ran in:  12.005227327346802
Exciton, frame 7017 ran in:  11.93994402885437
Exciton, frame 7018 ran in:  11.80776071548462
Exciton, frame 7019 ran in:  11.874480485916138
Exciton, frame 7020 ran in:  12.177630186080933
Exciton, frame 7021 ran in:  11.883741617202759
Exciton, frame 7022 ran in:  12.170673608779907
Exciton, frame 7023 ran in:  11.804008960723877
Exciton, frame 7024 ran in:  11.448498010635376
Exciton, frame 7025 ran in:  11.937804222106934
Exciton, frame 7026 ran in:  11.701625347137451
Exciton, frame 7027 ran in:  12.074061632156372
Exciton, frame 7028 ran in:  12.01637315750122
Exciton, frame 7029 ran in:  11.98846173286438
Exciton, frame 7030 ran in:  12.016507148742676
Exciton, frame 7031 ran in:  11.890859842300415
Exciton, frame 7032 ran in:  11.841930627822876
Exciton, frame 7033 ran in:  12.2376549243927
Exciton, frame 7034 ran in:  12.105562686920166
Exciton, frame 7035 ran in:  11.83567762374878
Exciton, frame 7036 ran in:  12.161066055297852
Exciton, frame 7037 ran in:  11.761563539505005
Exciton, frame 7038 ran in:  12.029715538024902
Exciton, frame 7039 ran in:  11.679030179977417
Exciton, frame 7040 ran in:  12.15679121017456
Exciton, frame 7041 ran in:  12.1111478805542
Exciton, frame 7042 ran in:  12.017067909240723
Exciton, frame 7043 ran in:  11.859081268310547
Exciton, frame 7044 ran in:  12.22965669631958
Exciton, frame 7045 ran in:  12.042045831680298
Exciton, frame 7046 ran in:  11.87616753578186
Exciton, frame 7047 ran in:  11.674409627914429
Exciton, frame 7048 ran in:  11.907636642456055
Exciton, frame 7049 ran in:  12.197772979736328
Exciton, frame 7050 ran in:  11.670460224151611
Exciton, frame 7051 ran in:  11.805612325668335
Exciton, frame 7052 ran in:  11.69809627532959
Exciton, frame 7053 ran in:  11.98627519607544
Exciton, frame 7054 ran in:  12.070413827896118
Exciton, frame 7055 ran in:  11.826316118240356
Exciton, frame 7056 ran in:  11.964892148971558
Exciton, frame 7057 ran in:  12.0600426197052
Exciton, frame 7058 ran in:  11.863863706588745
Exciton, frame 7059 ran in:  11.83574628829956
Exciton, frame 7060 ran in:  12.005558490753174
Exciton, frame 7061 ran in:  12.211255550384521
Exciton, frame 7062 ran in:  11.888980150222778
Exciton, frame 7063 ran in:  11.815984010696411
Exciton, frame 7064 ran in:  11.752211809158325
Exciton, frame 7065 ran in:  11.811586141586304
Exciton, frame 7066 ran in:  11.827013492584229
Exciton, frame 7067 ran in:  12.093621015548706
Exciton, frame 7068 ran in:  11.93813705444336
Exciton, frame 7069 ran in:  12.225549459457397
Exciton, frame 7070 ran in:  12.04522442817688
Exciton, frame 7071 ran in:  11.756856679916382
Exciton, frame 7072 ran in:  11.9104163646698
Exciton, frame 7073 ran in:  11.72548246383667
Exciton, frame 7074 ran in:  12.6377854347229
Exciton, frame 7075 ran in:  11.883122444152832
Exciton, frame 7076 ran in:  11.881633043289185
Exciton, frame 7077 ran in:  12.270563125610352
Exciton, frame 7078 ran in:  12.190691709518433
Exciton, frame 7079 ran in:  11.839482069015503
Exciton, frame 7080 ran in:  12.229706048965454
Exciton, frame 7081 ran in:  11.494017124176025
Exciton, frame 7082 ran in:  11.9317045211792
Exciton, frame 7083 ran in:  11.91878604888916
Exciton, frame 7084 ran in:  11.764014482498169
Exciton, frame 7085 ran in:  12.14667296409607
Exciton, frame 7086 ran in:  11.632789134979248
Exciton, frame 7087 ran in:  12.034679412841797
Exciton, frame 7088 ran in:  11.831702470779419
Exciton, frame 7089 ran in:  12.011576414108276
Exciton, frame 7090 ran in:  12.045442581176758
Exciton, frame 7091 ran in:  11.9107027053833
Exciton, frame 7092 ran in:  11.790245056152344
Exciton, frame 7093 ran in:  12.18718934059143
Exciton, frame 7094 ran in:  11.95320749282837
Exciton, frame 7095 ran in:  11.811704635620117
Exciton, frame 7096 ran in:  11.617410898208618
Exciton, frame 7097 ran in:  11.994303226470947
Exciton, frame 7098 ran in:  12.091780424118042
Exciton, frame 7099 ran in:  12.00452709197998
Exciton, frame 7100 ran in:  11.55713415145874
Exciton, frame 7101 ran in:  11.941906213760376
Exciton, frame 7102 ran in:  12.089765548706055
Exciton, frame 7103 ran in:  11.9446280002594
Exciton, frame 7104 ran in:  11.759536266326904
Exciton, frame 7105 ran in:  12.009042501449585
Exciton, frame 7106 ran in:  11.835643768310547
Exciton, frame 7107 ran in:  12.343794822692871
Exciton, frame 7108 ran in:  12.115087032318115
Exciton, frame 7109 ran in:  12.117082357406616
Exciton, frame 7110 ran in:  11.75678825378418
Exciton, frame 7111 ran in:  12.13077425956726
Exciton, frame 7112 ran in:  11.622469186782837
Exciton, frame 7113 ran in:  11.820727825164795
Exciton, frame 7114 ran in:  12.478840589523315
Exciton, frame 7115 ran in:  11.558419466018677
Exciton, frame 7116 ran in:  11.963413000106812
Exciton, frame 7117 ran in:  12.239615440368652
Exciton, frame 7118 ran in:  11.740606307983398
Exciton, frame 7119 ran in:  12.128296375274658
Exciton, frame 7120 ran in:  11.98856258392334
Exciton, frame 7121 ran in:  12.012740850448608
Exciton, frame 7122 ran in:  11.835111379623413
Exciton, frame 7123 ran in:  12.041990995407104
Exciton, frame 7124 ran in:  11.920383930206299
Exciton, frame 7125 ran in:  11.554226160049438
Exciton, frame 7126 ran in:  12.253124475479126
Exciton, frame 7127 ran in:  11.68410325050354
Exciton, frame 7128 ran in:  11.961941003799438
Exciton, frame 7129 ran in:  12.013813972473145
Exciton, frame 7130 ran in:  11.75509524345398
Exciton, frame 7131 ran in:  11.384104251861572
Exciton, frame 7132 ran in:  12.061080932617188
Exciton, frame 7133 ran in:  11.914483070373535
Exciton, frame 7134 ran in:  11.657264471054077
Exciton, frame 7135 ran in:  11.885713815689087
Exciton, frame 7136 ran in:  11.727087259292603
Exciton, frame 7137 ran in:  12.79877257347107
Exciton, frame 7138 ran in:  11.902833461761475
Exciton, frame 7139 ran in:  11.861766338348389
Exciton, frame 7140 ran in:  11.93624472618103
Exciton, frame 7141 ran in:  12.214296817779541
Exciton, frame 7142 ran in:  11.624362707138062
Exciton, frame 7143 ran in:  12.20933723449707
Exciton, frame 7144 ran in:  11.934648990631104
Exciton, frame 7145 ran in:  11.96835994720459
Exciton, frame 7146 ran in:  12.743465423583984
Exciton, frame 7147 ran in:  11.716264724731445
Exciton, frame 7148 ran in:  11.743257522583008
Exciton, frame 7149 ran in:  11.818549871444702
Exciton, frame 7150 ran in:  11.814726829528809
Exciton, frame 7151 ran in:  11.903246641159058
Exciton, frame 7152 ran in:  11.699523687362671
Exciton, frame 7153 ran in:  11.852928400039673
Exciton, frame 7154 ran in:  11.848659753799438
Exciton, frame 7155 ran in:  12.29429578781128
Exciton, frame 7156 ran in:  11.686653852462769
Exciton, frame 7157 ran in:  11.673957824707031
Exciton, frame 7158 ran in:  12.079676151275635
Exciton, frame 7159 ran in:  12.176882266998291
Exciton, frame 7160 ran in:  12.165371179580688
Exciton, frame 7161 ran in:  11.937288284301758
Exciton, frame 7162 ran in:  12.169635772705078
Exciton, frame 7163 ran in:  12.049933195114136
Exciton, frame 7164 ran in:  11.666477680206299
Exciton, frame 7165 ran in:  11.877246379852295
Exciton, frame 7166 ran in:  11.501050472259521
Exciton, frame 7167 ran in:  11.805805444717407
