cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1000 ran in:  16.664142370224
Exciton, frame 1001 ran in:  14.081313371658325
Exciton, frame 1002 ran in:  14.014979839324951
Exciton, frame 1003 ran in:  13.843314170837402
Exciton, frame 1004 ran in:  14.020798683166504
Exciton, frame 1005 ran in:  14.20280933380127
Exciton, frame 1006 ran in:  13.973093509674072
Exciton, frame 1007 ran in:  14.042637586593628
Exciton, frame 1008 ran in:  13.979233503341675
Exciton, frame 1009 ran in:  13.976613283157349
Exciton, frame 1010 ran in:  14.160598278045654
Exciton, frame 1011 ran in:  13.991824626922607
Exciton, frame 1012 ran in:  14.040503740310669
Exciton, frame 1013 ran in:  14.034717559814453
Exciton, frame 1014 ran in:  13.928275346755981
Exciton, frame 1015 ran in:  13.69359278678894
Exciton, frame 1016 ran in:  14.079247951507568
Exciton, frame 1017 ran in:  14.130937099456787
Exciton, frame 1018 ran in:  13.598138332366943
Exciton, frame 1019 ran in:  13.763374090194702
Exciton, frame 1020 ran in:  14.07160210609436
Exciton, frame 1021 ran in:  13.910844087600708
Exciton, frame 1022 ran in:  13.960464000701904
Exciton, frame 1023 ran in:  14.018699169158936
Exciton, frame 1024 ran in:  14.06740665435791
Exciton, frame 1025 ran in:  14.059617042541504
Exciton, frame 1026 ran in:  13.921309471130371
Exciton, frame 1027 ran in:  13.486340045928955
Exciton, frame 1028 ran in:  13.643247604370117
Exciton, frame 1029 ran in:  14.0697340965271
Exciton, frame 1030 ran in:  13.787081956863403
Exciton, frame 1031 ran in:  13.823358297348022
Exciton, frame 1032 ran in:  14.193686246871948
Exciton, frame 1033 ran in:  13.944811582565308
Exciton, frame 1034 ran in:  13.818985939025879
Exciton, frame 1035 ran in:  14.190705299377441
Exciton, frame 1036 ran in:  13.958747625350952
Exciton, frame 1037 ran in:  14.121784210205078
Exciton, frame 1038 ran in:  14.018935203552246
Exciton, frame 1039 ran in:  14.1906156539917
Exciton, frame 1040 ran in:  13.807761192321777
Exciton, frame 1041 ran in:  14.057615995407104
Exciton, frame 1042 ran in:  13.925554990768433
Exciton, frame 1043 ran in:  13.956862449645996
Exciton, frame 1044 ran in:  14.086944818496704
Exciton, frame 1045 ran in:  14.04242753982544
Exciton, frame 1046 ran in:  13.923950433731079
Exciton, frame 1047 ran in:  13.643535375595093
Exciton, frame 1048 ran in:  14.152573823928833
Exciton, frame 1049 ran in:  13.997893571853638
Exciton, frame 1050 ran in:  14.117606401443481
Exciton, frame 1051 ran in:  14.181369304656982
Exciton, frame 1052 ran in:  13.898714065551758
Exciton, frame 1053 ran in:  14.060577630996704
Exciton, frame 1054 ran in:  14.15186858177185
Exciton, frame 1055 ran in:  14.079448461532593
Exciton, frame 1056 ran in:  13.764238834381104
Exciton, frame 1057 ran in:  14.089782476425171
Exciton, frame 1058 ran in:  13.97796106338501
Exciton, frame 1059 ran in:  14.206864595413208
Exciton, frame 1060 ran in:  13.930182933807373
Exciton, frame 1061 ran in:  13.670911312103271
Exciton, frame 1062 ran in:  14.134270429611206
Exciton, frame 1063 ran in:  14.070525884628296
Exciton, frame 1064 ran in:  13.959972143173218
Exciton, frame 1065 ran in:  13.83100938796997
Exciton, frame 1066 ran in:  13.771177053451538
Exciton, frame 1067 ran in:  14.036752700805664
Exciton, frame 1068 ran in:  13.890902519226074
Exciton, frame 1069 ran in:  13.89693021774292
Exciton, frame 1070 ran in:  14.126032829284668
Exciton, frame 1071 ran in:  14.076892852783203
Exciton, frame 1072 ran in:  14.052774429321289
Exciton, frame 1073 ran in:  14.041221380233765
Exciton, frame 1074 ran in:  14.096555948257446
Exciton, frame 1075 ran in:  13.90912413597107
Exciton, frame 1076 ran in:  14.042231559753418
Exciton, frame 1077 ran in:  14.100643157958984
Exciton, frame 1078 ran in:  14.248430013656616
Exciton, frame 1079 ran in:  14.136693000793457
Exciton, frame 1080 ran in:  14.162384271621704
Exciton, frame 1081 ran in:  13.983240842819214
Exciton, frame 1082 ran in:  14.17983102798462
Exciton, frame 1083 ran in:  14.2430260181427
Exciton, frame 1084 ran in:  13.93961763381958
Exciton, frame 1085 ran in:  13.997907400131226
Exciton, frame 1086 ran in:  13.984505891799927
Exciton, frame 1087 ran in:  13.743084192276001
Exciton, frame 1088 ran in:  13.957391262054443
Exciton, frame 1089 ran in:  13.735656023025513
Exciton, frame 1090 ran in:  14.007821083068848
Exciton, frame 1091 ran in:  14.097496747970581
Exciton, frame 1092 ran in:  14.053467035293579
Exciton, frame 1093 ran in:  14.139899015426636
Exciton, frame 1094 ran in:  13.822145462036133
Exciton, frame 1095 ran in:  14.035938501358032
Exciton, frame 1096 ran in:  14.023054838180542
Exciton, frame 1097 ran in:  13.937862634658813
Exciton, frame 1098 ran in:  13.92800259590149
Exciton, frame 1099 ran in:  13.936598300933838
Exciton, frame 1100 ran in:  13.974979400634766
Exciton, frame 1101 ran in:  14.020989418029785
Exciton, frame 1102 ran in:  13.96933627128601
Exciton, frame 1103 ran in:  14.002970933914185
Exciton, frame 1104 ran in:  14.051385164260864
Exciton, frame 1105 ran in:  14.267679929733276
Exciton, frame 1106 ran in:  14.139364242553711
Exciton, frame 1107 ran in:  13.994295358657837
Exciton, frame 1108 ran in:  13.818959712982178
Exciton, frame 1109 ran in:  14.086827039718628
Exciton, frame 1110 ran in:  13.668429851531982
Exciton, frame 1111 ran in:  14.172691106796265
Exciton, frame 1112 ran in:  13.957192182540894
Exciton, frame 1113 ran in:  13.925907135009766
Exciton, frame 1114 ran in:  13.722629308700562
Exciton, frame 1115 ran in:  14.033987045288086
Exciton, frame 1116 ran in:  14.018569707870483
Exciton, frame 1117 ran in:  14.23634934425354
Exciton, frame 1118 ran in:  13.950093269348145
Exciton, frame 1119 ran in:  14.105401277542114
Exciton, frame 1120 ran in:  14.30180811882019
Exciton, frame 1121 ran in:  14.437479019165039
Exciton, frame 1122 ran in:  13.932616710662842
Exciton, frame 1123 ran in:  13.704138040542603
Exciton, frame 1124 ran in:  14.161557912826538
Exciton, frame 1125 ran in:  13.962587356567383
Exciton, frame 1126 ran in:  13.94038438796997
Exciton, frame 1127 ran in:  14.344794034957886
Exciton, frame 1128 ran in:  14.188588380813599
Exciton, frame 1129 ran in:  13.966565370559692
Exciton, frame 1130 ran in:  14.02961778640747
Exciton, frame 1131 ran in:  13.820273876190186
Exciton, frame 1132 ran in:  13.565407991409302
Exciton, frame 1133 ran in:  14.170382022857666
Exciton, frame 1134 ran in:  14.010727405548096
Exciton, frame 1135 ran in:  13.996953248977661
Exciton, frame 1136 ran in:  13.970405340194702
Exciton, frame 1137 ran in:  14.266113519668579
Exciton, frame 1138 ran in:  14.200958728790283
Exciton, frame 1139 ran in:  14.157682180404663
Exciton, frame 1140 ran in:  14.029570579528809
Exciton, frame 1141 ran in:  14.083433866500854
Exciton, frame 1142 ran in:  14.054024696350098
Exciton, frame 1143 ran in:  13.917911291122437
Exciton, frame 1144 ran in:  13.851879596710205
Exciton, frame 1145 ran in:  14.02501916885376
Exciton, frame 1146 ran in:  14.219202518463135
Exciton, frame 1147 ran in:  14.103551864624023
Exciton, frame 1148 ran in:  14.055038928985596
Exciton, frame 1149 ran in:  14.075878381729126
Exciton, frame 1150 ran in:  14.08318567276001
Exciton, frame 1151 ran in:  14.176148414611816
Exciton, frame 1152 ran in:  13.952961444854736
Exciton, frame 1153 ran in:  14.019956111907959
Exciton, frame 1154 ran in:  14.065138339996338
Exciton, frame 1155 ran in:  13.587178230285645
Exciton, frame 1156 ran in:  14.084693193435669
Exciton, frame 1157 ran in:  14.021966934204102
Exciton, frame 1158 ran in:  13.665062427520752
Exciton, frame 1159 ran in:  14.049152135848999
Exciton, frame 1160 ran in:  14.054494380950928
Exciton, frame 1161 ran in:  14.087839126586914
Exciton, frame 1162 ran in:  14.037402629852295
Exciton, frame 1163 ran in:  14.431509256362915
Exciton, frame 1164 ran in:  14.082050085067749
Exciton, frame 1165 ran in:  13.98234224319458
Exciton, frame 1166 ran in:  14.102765798568726
Exciton, frame 1167 ran in:  14.00014042854309
Exciton, frame 1168 ran in:  13.76672625541687
Exciton, frame 1169 ran in:  14.171079635620117
Exciton, frame 1170 ran in:  14.108385801315308
Exciton, frame 1171 ran in:  14.160998106002808
Exciton, frame 1172 ran in:  14.182648658752441
Exciton, frame 1173 ran in:  14.115092754364014
Exciton, frame 1174 ran in:  13.671005964279175
Exciton, frame 1175 ran in:  14.055633783340454
Exciton, frame 1176 ran in:  14.02547287940979
Exciton, frame 1177 ran in:  13.660988330841064
Exciton, frame 1178 ran in:  13.829932689666748
Exciton, frame 1179 ran in:  13.981087923049927
Exciton, frame 1180 ran in:  13.874573230743408
Exciton, frame 1181 ran in:  14.103860855102539
Exciton, frame 1182 ran in:  14.044535398483276
Exciton, frame 1183 ran in:  14.064505815505981
Exciton, frame 1184 ran in:  13.923875331878662
Exciton, frame 1185 ran in:  14.02692174911499
Exciton, frame 1186 ran in:  14.066936016082764
Exciton, frame 1187 ran in:  14.103675127029419
Exciton, frame 1188 ran in:  14.043781280517578
Exciton, frame 1189 ran in:  14.131690740585327
Exciton, frame 1190 ran in:  13.872745275497437
Exciton, frame 1191 ran in:  13.684201717376709
Exciton, frame 1192 ran in:  13.858160495758057
Exciton, frame 1193 ran in:  13.84702754020691
Exciton, frame 1194 ran in:  14.059727430343628
Exciton, frame 1195 ran in:  14.265915393829346
Exciton, frame 1196 ran in:  13.961030006408691
Exciton, frame 1197 ran in:  14.128391742706299
Exciton, frame 1198 ran in:  14.078891038894653
Exciton, frame 1199 ran in:  13.827359676361084
Exciton, frame 1200 ran in:  13.97956657409668
Exciton, frame 1201 ran in:  13.886907815933228
Exciton, frame 1202 ran in:  14.199837684631348
Exciton, frame 1203 ran in:  13.701309442520142
Exciton, frame 1204 ran in:  14.251270532608032
Exciton, frame 1205 ran in:  13.988644123077393
Exciton, frame 1206 ran in:  14.142357110977173
Exciton, frame 1207 ran in:  13.731172323226929
Exciton, frame 1208 ran in:  14.125405073165894
Exciton, frame 1209 ran in:  14.110949516296387
Exciton, frame 1210 ran in:  13.768532514572144
Exciton, frame 1211 ran in:  14.2261803150177
Exciton, frame 1212 ran in:  13.645198345184326
Exciton, frame 1213 ran in:  13.789044618606567
Exciton, frame 1214 ran in:  14.00592589378357
Exciton, frame 1215 ran in:  13.853128671646118
Exciton, frame 1216 ran in:  13.928357124328613
Exciton, frame 1217 ran in:  14.121660470962524
Exciton, frame 1218 ran in:  13.553928852081299
Exciton, frame 1219 ran in:  13.997366905212402
Exciton, frame 1220 ran in:  14.109805345535278
Exciton, frame 1221 ran in:  13.933586120605469
Exciton, frame 1222 ran in:  14.04798173904419
Exciton, frame 1223 ran in:  13.97647738456726
Exciton, frame 1224 ran in:  14.026453495025635
Exciton, frame 1225 ran in:  14.032930850982666
Exciton, frame 1226 ran in:  14.190107107162476
Exciton, frame 1227 ran in:  13.898637056350708
Exciton, frame 1228 ran in:  13.978668212890625
Exciton, frame 1229 ran in:  14.032853841781616
Exciton, frame 1230 ran in:  13.969303131103516
Exciton, frame 1231 ran in:  14.145639181137085
Exciton, frame 1232 ran in:  13.992982149124146
Exciton, frame 1233 ran in:  14.080036878585815
Exciton, frame 1234 ran in:  14.085119247436523
Exciton, frame 1235 ran in:  14.102470397949219
Exciton, frame 1236 ran in:  14.075312852859497
Exciton, frame 1237 ran in:  14.014518976211548
Exciton, frame 1238 ran in:  13.995545387268066
Exciton, frame 1239 ran in:  14.045192241668701
Exciton, frame 1240 ran in:  14.102704763412476
Exciton, frame 1241 ran in:  14.059691667556763
Exciton, frame 1242 ran in:  13.97377347946167
Exciton, frame 1243 ran in:  14.132080793380737
Exciton, frame 1244 ran in:  13.885302305221558
Exciton, frame 1245 ran in:  14.142903327941895
Exciton, frame 1246 ran in:  14.05873155593872
Exciton, frame 1247 ran in:  14.050287246704102
