cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4000 ran in:  18.041494131088257
Exciton, frame 4001 ran in:  12.704783916473389
Exciton, frame 4002 ran in:  12.86917757987976
Exciton, frame 4003 ran in:  12.983214616775513
Exciton, frame 4004 ran in:  12.817110061645508
Exciton, frame 4005 ran in:  13.28829574584961
Exciton, frame 4006 ran in:  12.998677492141724
Exciton, frame 4007 ran in:  12.806582689285278
Exciton, frame 4008 ran in:  13.149189949035645
Exciton, frame 4009 ran in:  12.937263488769531
Exciton, frame 4010 ran in:  13.158689022064209
Exciton, frame 4011 ran in:  12.790014028549194
Exciton, frame 4012 ran in:  12.910584449768066
Exciton, frame 4013 ran in:  12.775203943252563
Exciton, frame 4014 ran in:  13.200008392333984
Exciton, frame 4015 ran in:  12.779198408126831
Exciton, frame 4016 ran in:  12.888396263122559
Exciton, frame 4017 ran in:  12.90806794166565
Exciton, frame 4018 ran in:  13.07970929145813
Exciton, frame 4019 ran in:  13.039116859436035
Exciton, frame 4020 ran in:  12.711109638214111
Exciton, frame 4021 ran in:  13.107866525650024
Exciton, frame 4022 ran in:  13.016871452331543
Exciton, frame 4023 ran in:  13.12389087677002
Exciton, frame 4024 ran in:  13.04780101776123
Exciton, frame 4025 ran in:  12.892619609832764
Exciton, frame 4026 ran in:  13.000648021697998
Exciton, frame 4027 ran in:  12.904505014419556
Exciton, frame 4028 ran in:  13.034482717514038
Exciton, frame 4029 ran in:  13.022834539413452
Exciton, frame 4030 ran in:  12.90755820274353
Exciton, frame 4031 ran in:  13.162468910217285
Exciton, frame 4032 ran in:  13.034704685211182
Exciton, frame 4033 ran in:  13.099416971206665
Exciton, frame 4034 ran in:  13.049468755722046
Exciton, frame 4035 ran in:  12.553060531616211
Exciton, frame 4036 ran in:  13.00453782081604
Exciton, frame 4037 ran in:  12.77141547203064
Exciton, frame 4038 ran in:  13.012670993804932
Exciton, frame 4039 ran in:  13.149528980255127
Exciton, frame 4040 ran in:  12.981858015060425
Exciton, frame 4041 ran in:  12.92810869216919
Exciton, frame 4042 ran in:  12.566473960876465
Exciton, frame 4043 ran in:  12.788025617599487
Exciton, frame 4044 ran in:  12.838685274124146
Exciton, frame 4045 ran in:  12.677254915237427
Exciton, frame 4046 ran in:  13.21016788482666
Exciton, frame 4047 ran in:  12.842317581176758
Exciton, frame 4048 ran in:  12.883641481399536
Exciton, frame 4049 ran in:  12.984990119934082
Exciton, frame 4050 ran in:  12.830644130706787
Exciton, frame 4051 ran in:  12.413949251174927
Exciton, frame 4052 ran in:  13.197093725204468
Exciton, frame 4053 ran in:  13.035553932189941
Exciton, frame 4054 ran in:  13.103719234466553
Exciton, frame 4055 ran in:  12.806652545928955
Exciton, frame 4056 ran in:  13.236891508102417
Exciton, frame 4057 ran in:  12.880661487579346
Exciton, frame 4058 ran in:  12.884243965148926
Exciton, frame 4059 ran in:  12.53328013420105
Exciton, frame 4060 ran in:  12.952295303344727
Exciton, frame 4061 ran in:  12.948987483978271
Exciton, frame 4062 ran in:  13.04463005065918
Exciton, frame 4063 ran in:  13.041401147842407
