cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xffff00f0000000000000000000000000ffff00f000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.857804 secs
Exciton, frame 7000 ran in:  16.541785955429077
Exciton, frame 7001 ran in:  16.273316860198975
Exciton, frame 7002 ran in:  16.168365001678467
Exciton, frame 7003 ran in:  16.52500295639038
Exciton, frame 7004 ran in:  15.107308864593506
Exciton, frame 7005 ran in:  16.020520210266113
Exciton, frame 7006 ran in:  15.945920705795288
Exciton, frame 7007 ran in:  14.856719732284546
Exciton, frame 7008 ran in:  14.969232082366943
Exciton, frame 7009 ran in:  14.37171220779419
Exciton, frame 7010 ran in:  15.020958185195923
Exciton, frame 7011 ran in:  14.853575468063354
Exciton, frame 7012 ran in:  14.577554941177368
Exciton, frame 7013 ran in:  15.103747606277466
Exciton, frame 7014 ran in:  15.634018182754517
Exciton, frame 7015 ran in:  14.984954595565796
Exciton, frame 7016 ran in:  15.210748434066772
Exciton, frame 7017 ran in:  15.20518159866333
Exciton, frame 7018 ran in:  15.479755401611328
Exciton, frame 7019 ran in:  13.985081195831299
Exciton, frame 7020 ran in:  14.736973285675049
Exciton, frame 7021 ran in:  14.884050846099854
Exciton, frame 7022 ran in:  15.014697074890137
Exciton, frame 7023 ran in:  15.11217737197876
Exciton, frame 7024 ran in:  14.944947957992554
Exciton, frame 7025 ran in:  15.155565738677979
Exciton, frame 7026 ran in:  14.176526546478271
Exciton, frame 7027 ran in:  21.630918979644775
Exciton, frame 7028 ran in:  15.962712526321411
Exciton, frame 7029 ran in:  28.401127338409424
Exciton, frame 7030 ran in:  15.460632562637329
Exciton, frame 7031 ran in:  15.451913356781006
Exciton, frame 7032 ran in:  15.110436201095581
Exciton, frame 7033 ran in:  15.152965784072876
Exciton, frame 7034 ran in:  15.971302509307861
Exciton, frame 7035 ran in:  15.536192417144775
Exciton, frame 7036 ran in:  15.460134506225586
Exciton, frame 7037 ran in:  15.755056381225586
Exciton, frame 7038 ran in:  27.54336404800415
Exciton, frame 7039 ran in:  15.293370008468628
Exciton, frame 7040 ran in:  14.045743942260742
Exciton, frame 7041 ran in:  29.481654167175293
Exciton, frame 7042 ran in:  14.180757761001587
Exciton, frame 7043 ran in:  14.67488169670105
Exciton, frame 7044 ran in:  15.638947248458862
Exciton, frame 7045 ran in:  26.779781103134155
Exciton, frame 7046 ran in:  17.108761310577393
Exciton, frame 7047 ran in:  14.371610403060913
Exciton, frame 7048 ran in:  15.736987829208374
Exciton, frame 7049 ran in:  15.864273071289062
Exciton, frame 7050 ran in:  14.570709228515625
Exciton, frame 7051 ran in:  19.968690633773804
Exciton, frame 7052 ran in:  28.433406591415405
Exciton, frame 7053 ran in:  25.073210954666138
Exciton, frame 7054 ran in:  14.405598163604736
Exciton, frame 7055 ran in:  21.925917387008667
Exciton, frame 7056 ran in:  15.649238348007202
Exciton, frame 7057 ran in:  14.588202714920044
Exciton, frame 7058 ran in:  14.345965147018433
Exciton, frame 7059 ran in:  27.043945789337158
Exciton, frame 7060 ran in:  17.252775192260742
Exciton, frame 7061 ran in:  13.973918914794922
Exciton, frame 7062 ran in:  14.141978025436401
Exciton, frame 7063 ran in:  14.203187227249146
Exciton, frame 7064 ran in:  14.243555545806885
Exciton, frame 7065 ran in:  25.740373849868774
Exciton, frame 7066 ran in:  14.6377112865448
Exciton, frame 7067 ran in:  14.040008068084717
Exciton, frame 7068 ran in:  27.499288320541382
Exciton, frame 7069 ran in:  14.85291576385498
Exciton, frame 7070 ran in:  15.09578561782837
Exciton, frame 7071 ran in:  15.74536657333374
Exciton, frame 7072 ran in:  15.010268449783325
Exciton, frame 7073 ran in:  14.776889085769653
Exciton, frame 7074 ran in:  14.475576877593994
Exciton, frame 7075 ran in:  13.631361246109009
Exciton, frame 7076 ran in:  22.31404209136963
Exciton, frame 7077 ran in:  26.974523782730103
