cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xd6dba6b6d6dba6b6 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 84.837916 secs
Exciton, frame 0 ran in:  18.450551748275757
Exciton, frame 1 ran in:  13.943164110183716
Exciton, frame 2 ran in:  14.211254835128784
Exciton, frame 3 ran in:  14.145322561264038
Exciton, frame 4 ran in:  13.957759857177734
Exciton, frame 5 ran in:  13.91560673713684
Exciton, frame 6 ran in:  13.960001230239868
Exciton, frame 7 ran in:  13.755970001220703
Exciton, frame 8 ran in:  14.264744997024536
Exciton, frame 9 ran in:  13.35515022277832
Exciton, frame 10 ran in:  14.00398874282837
Exciton, frame 11 ran in:  13.532816648483276
Exciton, frame 12 ran in:  13.644307136535645
Exciton, frame 13 ran in:  13.219170570373535
Exciton, frame 14 ran in:  13.911071538925171
Exciton, frame 15 ran in:  13.754865646362305
Exciton, frame 16 ran in:  13.39072036743164
Exciton, frame 17 ran in:  13.939340829849243
Exciton, frame 18 ran in:  13.997232437133789
Exciton, frame 19 ran in:  13.534335374832153
Exciton, frame 20 ran in:  13.74622654914856
Exciton, frame 21 ran in:  13.778398036956787
Exciton, frame 22 ran in:  14.221422910690308
Exciton, frame 23 ran in:  13.741630792617798
Exciton, frame 24 ran in:  13.97005844116211
Exciton, frame 25 ran in:  13.99151873588562
Exciton, frame 26 ran in:  13.83544397354126
Exciton, frame 27 ran in:  14.141887903213501
Exciton, frame 28 ran in:  13.973664999008179
Exciton, frame 29 ran in:  13.899234533309937
Exciton, frame 30 ran in:  13.840523958206177
Exciton, frame 31 ran in:  13.847482442855835
Exciton, frame 32 ran in:  13.689372301101685
Exciton, frame 33 ran in:  13.52590012550354
Exciton, frame 34 ran in:  13.478260278701782
Exciton, frame 35 ran in:  13.956564664840698
Exciton, frame 36 ran in:  14.106106281280518
Exciton, frame 37 ran in:  13.831527948379517
Exciton, frame 38 ran in:  14.182360410690308
