cpu-bind=MASK - bp1-compute129, task 4294967295 4294967295 [0]: mask 0x7ffbbb007ffbbb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 75.113663 secs
Exciton, frame 3000 ran in:  17.785709142684937
Exciton, frame 3001 ran in:  13.58138918876648
Exciton, frame 3002 ran in:  13.398711204528809
Exciton, frame 3003 ran in:  13.699526071548462
Exciton, frame 3004 ran in:  13.052033424377441
Exciton, frame 3005 ran in:  13.62032175064087
Exciton, frame 3006 ran in:  13.393285989761353
Exciton, frame 3007 ran in:  13.579370021820068
Exciton, frame 3008 ran in:  14.13196063041687
Exciton, frame 3009 ran in:  14.077598094940186
Exciton, frame 3010 ran in:  13.916881322860718
Exciton, frame 3011 ran in:  13.448933839797974
Exciton, frame 3012 ran in:  13.424741983413696
Exciton, frame 3013 ran in:  13.876645565032959
Exciton, frame 3014 ran in:  13.689357042312622
Exciton, frame 3015 ran in:  13.594780206680298
Exciton, frame 3016 ran in:  13.492548704147339
Exciton, frame 3017 ran in:  13.471030235290527
Exciton, frame 3018 ran in:  13.6718270778656
Exciton, frame 3019 ran in:  13.531027555465698
Exciton, frame 3020 ran in:  13.577853202819824
Exciton, frame 3021 ran in:  13.561185598373413
Exciton, frame 3022 ran in:  13.457783699035645
Exciton, frame 3023 ran in:  13.697864294052124
Exciton, frame 3024 ran in:  13.386817455291748
Exciton, frame 3025 ran in:  13.582290887832642
Exciton, frame 3026 ran in:  13.768277883529663
Exciton, frame 3027 ran in:  13.534174919128418
Exciton, frame 3028 ran in:  14.01394271850586
Exciton, frame 3029 ran in:  13.84585428237915
Exciton, frame 3030 ran in:  13.37873387336731
Exciton, frame 3031 ran in:  13.763890504837036
Exciton, frame 3032 ran in:  13.952162504196167
Exciton, frame 3033 ran in:  13.406485080718994
Exciton, frame 3034 ran in:  13.667467594146729
Exciton, frame 3035 ran in:  13.736722946166992
Exciton, frame 3036 ran in:  13.318777322769165
Exciton, frame 3037 ran in:  13.593173503875732
Exciton, frame 3038 ran in:  14.039295434951782
Exciton, frame 3039 ran in:  13.388211488723755
