cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 43.442608 secs
Exciton, frame 8000 ran in:  13.231096267700195
Exciton, frame 8001 ran in:  13.252090454101562
Exciton, frame 8002 ran in:  12.849882125854492
Exciton, frame 8003 ran in:  12.600114107131958
Exciton, frame 8004 ran in:  12.359476089477539
Exciton, frame 8005 ran in:  13.013054132461548
Exciton, frame 8006 ran in:  12.60349178314209
Exciton, frame 8007 ran in:  12.664058208465576
Exciton, frame 8008 ran in:  12.92880630493164
Exciton, frame 8009 ran in:  12.715674638748169
Exciton, frame 8010 ran in:  12.561384916305542
Exciton, frame 8011 ran in:  12.452084064483643
Exciton, frame 8012 ran in:  12.432056903839111
Exciton, frame 8013 ran in:  12.873506546020508
Exciton, frame 8014 ran in:  12.680757522583008
Exciton, frame 8015 ran in:  13.400471925735474
Exciton, frame 8016 ran in:  13.142915964126587
Exciton, frame 8017 ran in:  13.731082439422607
Exciton, frame 8018 ran in:  13.680678129196167
Exciton, frame 8019 ran in:  13.926422595977783
Exciton, frame 8020 ran in:  12.103576898574829
Exciton, frame 8021 ran in:  12.566512823104858
Exciton, frame 8022 ran in:  12.475268125534058
Exciton, frame 8023 ran in:  13.979442834854126
Exciton, frame 8024 ran in:  12.777055740356445
Exciton, frame 8025 ran in:  12.947466373443604
Exciton, frame 8026 ran in:  12.385329008102417
Exciton, frame 8027 ran in:  12.631311178207397
Exciton, frame 8028 ran in:  14.665026426315308
Exciton, frame 8029 ran in:  13.330965518951416
Exciton, frame 8030 ran in:  12.698712825775146
Exciton, frame 8031 ran in:  12.852163076400757
Exciton, frame 8032 ran in:  12.664980411529541
Exciton, frame 8033 ran in:  12.492117166519165
Exciton, frame 8034 ran in:  13.242098093032837
Exciton, frame 8035 ran in:  12.281981945037842
Exciton, frame 8036 ran in:  13.216552257537842
Exciton, frame 8037 ran in:  12.487102508544922
Exciton, frame 8038 ran in:  13.596867322921753
Exciton, frame 8039 ran in:  12.279431104660034
Exciton, frame 8040 ran in:  12.558571338653564
Exciton, frame 8041 ran in:  12.645183086395264
Exciton, frame 8042 ran in:  13.748976469039917
Exciton, frame 8043 ran in:  13.780377864837646
Exciton, frame 8044 ran in:  12.615071773529053
Exciton, frame 8045 ran in:  12.525736093521118
Exciton, frame 8046 ran in:  12.398816347122192
Exciton, frame 8047 ran in:  12.52605938911438
Exciton, frame 8048 ran in:  12.636634111404419
Exciton, frame 8049 ran in:  12.45546817779541
Exciton, frame 8050 ran in:  12.602249145507812
Exciton, frame 8051 ran in:  12.916959762573242
Exciton, frame 8052 ran in:  12.871210098266602
Exciton, frame 8053 ran in:  12.856757879257202
Exciton, frame 8054 ran in:  12.508501529693604
Exciton, frame 8055 ran in:  12.687610864639282
Exciton, frame 8056 ran in:  12.62063455581665
Exciton, frame 8057 ran in:  12.995301008224487
Exciton, frame 8058 ran in:  13.900397300720215
Exciton, frame 8059 ran in:  12.546943187713623
Exciton, frame 8060 ran in:  12.830416440963745
Exciton, frame 8061 ran in:  12.340168476104736
Exciton, frame 8062 ran in:  12.5478835105896
Exciton, frame 8063 ran in:  13.07536244392395
Exciton, frame 8064 ran in:  12.6230788230896
Exciton, frame 8065 ran in:  12.8159499168396
Exciton, frame 8066 ran in:  13.494470596313477
Exciton, frame 8067 ran in:  12.360238313674927
Exciton, frame 8068 ran in:  12.540132761001587
Exciton, frame 8069 ran in:  12.627699136734009
Exciton, frame 8070 ran in:  12.761060953140259
Exciton, frame 8071 ran in:  13.03890872001648
Exciton, frame 8072 ran in:  14.12960147857666
Exciton, frame 8073 ran in:  14.185917615890503
Exciton, frame 8074 ran in:  13.024603366851807
Exciton, frame 8075 ran in:  12.615099668502808
Exciton, frame 8076 ran in:  12.752098798751831
Exciton, frame 8077 ran in:  13.503487348556519
Exciton, frame 8078 ran in:  12.477952003479004
Exciton, frame 8079 ran in:  12.31037449836731
Exciton, frame 8080 ran in:  12.557003259658813
Exciton, frame 8081 ran in:  12.770571947097778
Exciton, frame 8082 ran in:  12.674935817718506
Exciton, frame 8083 ran in:  13.835692405700684
Exciton, frame 8084 ran in:  12.606305360794067
Exciton, frame 8085 ran in:  12.65130066871643
Exciton, frame 8086 ran in:  12.457855224609375
Exciton, frame 8087 ran in:  11.955660820007324
Exciton, frame 8088 ran in:  12.736157655715942
Exciton, frame 8089 ran in:  12.454165935516357
Exciton, frame 8090 ran in:  12.79640817642212
Exciton, frame 8091 ran in:  12.65757966041565
Exciton, frame 8092 ran in:  12.539013147354126
Exciton, frame 8093 ran in:  12.49764108657837
Exciton, frame 8094 ran in:  13.073418378829956
Exciton, frame 8095 ran in:  14.54349136352539
Exciton, frame 8096 ran in:  12.66755485534668
Exciton, frame 8097 ran in:  13.55857253074646
Exciton, frame 8098 ran in:  12.646052360534668
Exciton, frame 8099 ran in:  12.920352458953857
Exciton, frame 8100 ran in:  12.450425148010254
Exciton, frame 8101 ran in:  12.56118631362915
Exciton, frame 8102 ran in:  13.214847803115845
Exciton, frame 8103 ran in:  12.867748737335205
Exciton, frame 8104 ran in:  12.677843570709229
Exciton, frame 8105 ran in:  12.731750249862671
Exciton, frame 8106 ran in:  13.795680284500122
Exciton, frame 8107 ran in:  12.519248485565186
Exciton, frame 8108 ran in:  13.920283794403076
Exciton, frame 8109 ran in:  12.426955699920654
Exciton, frame 8110 ran in:  13.12349820137024
Exciton, frame 8111 ran in:  12.579190015792847
Exciton, frame 8112 ran in:  13.26473617553711
Exciton, frame 8113 ran in:  12.422657489776611
Exciton, frame 8114 ran in:  12.639721870422363
Exciton, frame 8115 ran in:  12.567744016647339
Exciton, frame 8116 ran in:  13.368073225021362
Exciton, frame 8117 ran in:  12.571010828018188
Exciton, frame 8118 ran in:  12.382051944732666
Exciton, frame 8119 ran in:  12.922263860702515
Exciton, frame 8120 ran in:  12.32704472541809
Exciton, frame 8121 ran in:  12.58756136894226
Exciton, frame 8122 ran in:  12.83379578590393
Exciton, frame 8123 ran in:  12.623326778411865
Exciton, frame 8124 ran in:  12.736335277557373
Exciton, frame 8125 ran in:  12.950822353363037
Exciton, frame 8126 ran in:  12.691411256790161
Exciton, frame 8127 ran in:  12.419337272644043
Exciton, frame 8128 ran in:  12.658612728118896
Exciton, frame 8129 ran in:  12.614622354507446
Exciton, frame 8130 ran in:  12.538618803024292
Exciton, frame 8131 ran in:  12.551205158233643
Exciton, frame 8132 ran in:  14.636720657348633
Exciton, frame 8133 ran in:  14.276897668838501
Exciton, frame 8134 ran in:  12.306876182556152
Exciton, frame 8135 ran in:  13.054160356521606
