cpu-bind=MASK - bp1-compute117, task 4294967295 4294967295 [0]: mask 0x3f6fff3f6fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 31.458374 secs
Exciton, frame 3000 ran in:  12.544601678848267
Exciton, frame 3001 ran in:  11.526013374328613
Exciton, frame 3002 ran in:  11.29322624206543
Exciton, frame 3003 ran in:  12.191110134124756
Exciton, frame 3004 ran in:  11.63639497756958
Exciton, frame 3005 ran in:  11.708059072494507
Exciton, frame 3006 ran in:  12.160271644592285
Exciton, frame 3007 ran in:  12.149275064468384
Exciton, frame 3008 ran in:  12.231608867645264
Exciton, frame 3009 ran in:  12.016189575195312
Exciton, frame 3010 ran in:  12.160717964172363
Exciton, frame 3011 ran in:  11.709118127822876
Exciton, frame 3012 ran in:  12.223058223724365
Exciton, frame 3013 ran in:  12.605984210968018
Exciton, frame 3014 ran in:  11.777789831161499
Exciton, frame 3015 ran in:  11.943090915679932
Exciton, frame 3016 ran in:  11.692116498947144
Exciton, frame 3017 ran in:  11.888983726501465
Exciton, frame 3018 ran in:  12.378069162368774
Exciton, frame 3019 ran in:  11.767199993133545
Exciton, frame 3020 ran in:  11.882024049758911
Exciton, frame 3021 ran in:  11.448699474334717
Exciton, frame 3022 ran in:  11.937642097473145
Exciton, frame 3023 ran in:  12.555336236953735
Exciton, frame 3024 ran in:  12.049579381942749
Exciton, frame 3025 ran in:  11.843037843704224
Exciton, frame 3026 ran in:  11.864576816558838
Exciton, frame 3027 ran in:  12.135551452636719
Exciton, frame 3028 ran in:  11.87134861946106
Exciton, frame 3029 ran in:  12.189931154251099
Exciton, frame 3030 ran in:  11.72395634651184
Exciton, frame 3031 ran in:  11.71732211112976
Exciton, frame 3032 ran in:  12.045171976089478
Exciton, frame 3033 ran in:  11.921213626861572
Exciton, frame 3034 ran in:  11.841413497924805
Exciton, frame 3035 ran in:  11.69430923461914
Exciton, frame 3036 ran in:  11.74507761001587
Exciton, frame 3037 ran in:  11.69246506690979
Exciton, frame 3038 ran in:  11.779277324676514
Exciton, frame 3039 ran in:  11.801483392715454
Exciton, frame 3040 ran in:  11.78310775756836
Exciton, frame 3041 ran in:  11.500744581222534
Exciton, frame 3042 ran in:  11.483550310134888
Exciton, frame 3043 ran in:  12.10380482673645
Exciton, frame 3044 ran in:  11.586513996124268
Exciton, frame 3045 ran in:  11.757428407669067
Exciton, frame 3046 ran in:  12.148125886917114
Exciton, frame 3047 ran in:  12.004208326339722
Exciton, frame 3048 ran in:  11.863147974014282
Exciton, frame 3049 ran in:  11.734578847885132
Exciton, frame 3050 ran in:  11.773212909698486
Exciton, frame 3051 ran in:  11.65268588066101
Exciton, frame 3052 ran in:  11.75136685371399
Exciton, frame 3053 ran in:  12.02342963218689
Exciton, frame 3054 ran in:  11.672830820083618
Exciton, frame 3055 ran in:  11.82272982597351
Exciton, frame 3056 ran in:  11.485609531402588
Exciton, frame 3057 ran in:  11.872572660446167
Exciton, frame 3058 ran in:  12.542384147644043
Exciton, frame 3059 ran in:  11.904729127883911
Exciton, frame 3060 ran in:  12.122166156768799
Exciton, frame 3061 ran in:  11.882024049758911
Exciton, frame 3062 ran in:  12.049062967300415
Exciton, frame 3063 ran in:  11.73799443244934
Exciton, frame 3064 ran in:  11.865593194961548
Exciton, frame 3065 ran in:  11.710101842880249
Exciton, frame 3066 ran in:  11.523873567581177
Exciton, frame 3067 ran in:  12.004846572875977
Exciton, frame 3068 ran in:  11.63124418258667
Exciton, frame 3069 ran in:  11.716060876846313
Exciton, frame 3070 ran in:  11.779098510742188
Exciton, frame 3071 ran in:  11.714025497436523
Exciton, frame 3072 ran in:  11.9797682762146
Exciton, frame 3073 ran in:  12.20789122581482
Exciton, frame 3074 ran in:  11.980454921722412
Exciton, frame 3075 ran in:  11.650959730148315
Exciton, frame 3076 ran in:  11.65458607673645
Exciton, frame 3077 ran in:  12.16138482093811
Exciton, frame 3078 ran in:  11.745539426803589
Exciton, frame 3079 ran in:  12.216949224472046
Exciton, frame 3080 ran in:  11.831856727600098
Exciton, frame 3081 ran in:  12.182163000106812
Exciton, frame 3082 ran in:  11.7106294631958
Exciton, frame 3083 ran in:  12.217366218566895
Exciton, frame 3084 ran in:  11.539850234985352
Exciton, frame 3085 ran in:  11.789041996002197
Exciton, frame 3086 ran in:  11.777177333831787
Exciton, frame 3087 ran in:  11.785590648651123
Exciton, frame 3088 ran in:  11.969894886016846
Exciton, frame 3089 ran in:  12.425900936126709
Exciton, frame 3090 ran in:  12.125076293945312
Exciton, frame 3091 ran in:  11.909825563430786
Exciton, frame 3092 ran in:  11.518452882766724
Exciton, frame 3093 ran in:  11.990596532821655
Exciton, frame 3094 ran in:  11.965335845947266
Exciton, frame 3095 ran in:  11.725691318511963
Exciton, frame 3096 ran in:  11.65472412109375
Exciton, frame 3097 ran in:  11.758898973464966
Exciton, frame 3098 ran in:  11.653241634368896
Exciton, frame 3099 ran in:  11.666598081588745
Exciton, frame 3100 ran in:  11.861523389816284
Exciton, frame 3101 ran in:  11.992979049682617
Exciton, frame 3102 ran in:  11.714045524597168
Exciton, frame 3103 ran in:  12.114172220230103
Exciton, frame 3104 ran in:  11.754210710525513
Exciton, frame 3105 ran in:  12.16289210319519
Exciton, frame 3106 ran in:  11.7341890335083
Exciton, frame 3107 ran in:  11.725038766860962
Exciton, frame 3108 ran in:  11.581682205200195
Exciton, frame 3109 ran in:  12.454286813735962
Exciton, frame 3110 ran in:  11.884609937667847
Exciton, frame 3111 ran in:  12.157395124435425
Exciton, frame 3112 ran in:  11.856178522109985
Exciton, frame 3113 ran in:  12.056676864624023
Exciton, frame 3114 ran in:  11.97885513305664
Exciton, frame 3115 ran in:  11.763505220413208
Exciton, frame 3116 ran in:  11.933759689331055
Exciton, frame 3117 ran in:  11.349135875701904
Exciton, frame 3118 ran in:  11.881250619888306
Exciton, frame 3119 ran in:  11.748796463012695
Exciton, frame 3120 ran in:  11.793474435806274
Exciton, frame 3121 ran in:  11.9082932472229
Exciton, frame 3122 ran in:  11.476537466049194
Exciton, frame 3123 ran in:  11.904258251190186
Exciton, frame 3124 ran in:  11.676202297210693
Exciton, frame 3125 ran in:  11.581397771835327
Exciton, frame 3126 ran in:  11.649232387542725
Exciton, frame 3127 ran in:  11.945774793624878
Exciton, frame 3128 ran in:  11.70777177810669
Exciton, frame 3129 ran in:  11.931623935699463
Exciton, frame 3130 ran in:  11.70392918586731
Exciton, frame 3131 ran in:  11.77409553527832
Exciton, frame 3132 ran in:  12.030842304229736
Exciton, frame 3133 ran in:  11.932302474975586
Exciton, frame 3134 ran in:  11.954284429550171
Exciton, frame 3135 ran in:  11.924468040466309
Exciton, frame 3136 ran in:  11.717907428741455
Exciton, frame 3137 ran in:  12.07913589477539
Exciton, frame 3138 ran in:  11.947559833526611
Exciton, frame 3139 ran in:  11.778254270553589
Exciton, frame 3140 ran in:  11.989687204360962
Exciton, frame 3141 ran in:  11.611528635025024
Exciton, frame 3142 ran in:  11.708117008209229
Exciton, frame 3143 ran in:  12.326182126998901
Exciton, frame 3144 ran in:  11.741626024246216
Exciton, frame 3145 ran in:  11.822789907455444
Exciton, frame 3146 ran in:  11.866535902023315
Exciton, frame 3147 ran in:  11.963901996612549
Exciton, frame 3148 ran in:  11.69787311553955
Exciton, frame 3149 ran in:  11.665839195251465
Exciton, frame 3150 ran in:  11.881263256072998
Exciton, frame 3151 ran in:  11.792960166931152
Exciton, frame 3152 ran in:  11.7901451587677
Exciton, frame 3153 ran in:  11.799875259399414
Exciton, frame 3154 ran in:  11.770673513412476
Exciton, frame 3155 ran in:  12.053971290588379
Exciton, frame 3156 ran in:  11.947401762008667
Exciton, frame 3157 ran in:  11.64730191230774
Exciton, frame 3158 ran in:  11.65399980545044
Exciton, frame 3159 ran in:  12.08156442642212
Exciton, frame 3160 ran in:  11.915043830871582
Exciton, frame 3161 ran in:  11.774864435195923
Exciton, frame 3162 ran in:  11.673834085464478
Exciton, frame 3163 ran in:  11.830260515213013
Exciton, frame 3164 ran in:  11.522348403930664
Exciton, frame 3165 ran in:  11.64070725440979
Exciton, frame 3166 ran in:  11.634682893753052
Exciton, frame 3167 ran in:  11.913700342178345
Exciton, frame 3168 ran in:  11.808188676834106
Exciton, frame 3169 ran in:  11.771183013916016
Exciton, frame 3170 ran in:  11.677945613861084
Exciton, frame 3171 ran in:  11.790852546691895
Exciton, frame 3172 ran in:  11.495197534561157
Exciton, frame 3173 ran in:  11.883694171905518
Exciton, frame 3174 ran in:  11.730998039245605
Exciton, frame 3175 ran in:  11.578385353088379
Exciton, frame 3176 ran in:  11.75388240814209
Exciton, frame 3177 ran in:  11.57858681678772
Exciton, frame 3178 ran in:  11.86492919921875
Exciton, frame 3179 ran in:  11.56635069847107
Exciton, frame 3180 ran in:  11.383249044418335
Exciton, frame 3181 ran in:  11.749342918395996
Exciton, frame 3182 ran in:  11.597724914550781
Exciton, frame 3183 ran in:  12.136739492416382
Exciton, frame 3184 ran in:  12.03927993774414
Exciton, frame 3185 ran in:  12.049487352371216
Exciton, frame 3186 ran in:  12.348161220550537
Exciton, frame 3187 ran in:  11.722047090530396
Exciton, frame 3188 ran in:  12.0603928565979
Exciton, frame 3189 ran in:  11.481503963470459
Exciton, frame 3190 ran in:  12.19062876701355
Exciton, frame 3191 ran in:  11.984202146530151
Exciton, frame 3192 ran in:  12.110275983810425
Exciton, frame 3193 ran in:  11.85490608215332
Exciton, frame 3194 ran in:  11.890925407409668
Exciton, frame 3195 ran in:  11.657043933868408
Exciton, frame 3196 ran in:  11.745426654815674
Exciton, frame 3197 ran in:  12.097818851470947
Exciton, frame 3198 ran in:  11.860854864120483
Exciton, frame 3199 ran in:  11.40821886062622
Exciton, frame 3200 ran in:  11.445802450180054
Exciton, frame 3201 ran in:  11.530717611312866
Exciton, frame 3202 ran in:  11.57602834701538
Exciton, frame 3203 ran in:  12.058061838150024
Exciton, frame 3204 ran in:  11.739747047424316
Exciton, frame 3205 ran in:  11.833821296691895
Exciton, frame 3206 ran in:  12.125633239746094
Exciton, frame 3207 ran in:  11.87279462814331
Exciton, frame 3208 ran in:  11.697750091552734
Exciton, frame 3209 ran in:  12.245197772979736
Exciton, frame 3210 ran in:  11.705379962921143
Exciton, frame 3211 ran in:  11.874134302139282
Exciton, frame 3212 ran in:  11.514739990234375
Exciton, frame 3213 ran in:  12.080643892288208
Exciton, frame 3214 ran in:  11.908087491989136
Exciton, frame 3215 ran in:  11.569075584411621
Exciton, frame 3216 ran in:  11.668917179107666
Exciton, frame 3217 ran in:  11.947628498077393
Exciton, frame 3218 ran in:  11.731525421142578
Exciton, frame 3219 ran in:  11.895995140075684
