cpu-bind=MASK - bp1-compute157, task 4294967295 4294967295 [0]: mask 0x1fbf6dd01fbf6dd set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 21.669063 secs
Exciton, frame 4000 ran in:  15.483062505722046
Exciton, frame 4001 ran in:  13.988853216171265
Exciton, frame 4002 ran in:  13.473201990127563
Exciton, frame 4003 ran in:  14.023382902145386
Exciton, frame 4004 ran in:  14.227634191513062
Exciton, frame 4005 ran in:  13.64330005645752
Exciton, frame 4006 ran in:  13.384508848190308
Exciton, frame 4007 ran in:  13.99397587776184
Exciton, frame 4008 ran in:  14.060856819152832
Exciton, frame 4009 ran in:  13.699592351913452
Exciton, frame 4010 ran in:  13.832140684127808
Exciton, frame 4011 ran in:  13.68674373626709
Exciton, frame 4012 ran in:  13.760466575622559
Exciton, frame 4013 ran in:  13.606421947479248
Exciton, frame 4014 ran in:  14.054488182067871
Exciton, frame 4015 ran in:  13.615690469741821
Exciton, frame 4016 ran in:  13.937260866165161
Exciton, frame 4017 ran in:  14.014922618865967
Exciton, frame 4018 ran in:  14.012274503707886
Exciton, frame 4019 ran in:  13.9410560131073
Exciton, frame 4020 ran in:  13.686055421829224
Exciton, frame 4021 ran in:  13.572808027267456
Exciton, frame 4022 ran in:  13.91563868522644
Exciton, frame 4023 ran in:  14.061223983764648
Exciton, frame 4024 ran in:  14.154524803161621
Exciton, frame 4025 ran in:  13.697386741638184
Exciton, frame 4026 ran in:  13.713190078735352
Exciton, frame 4027 ran in:  13.471421241760254
Exciton, frame 4028 ran in:  13.829214096069336
Exciton, frame 4029 ran in:  13.613317251205444
Exciton, frame 4030 ran in:  13.867882251739502
Exciton, frame 4031 ran in:  13.996901512145996
Exciton, frame 4032 ran in:  14.080714225769043
Exciton, frame 4033 ran in:  13.512937784194946
Exciton, frame 4034 ran in:  13.916911602020264
Exciton, frame 4035 ran in:  13.902719736099243
Exciton, frame 4036 ran in:  13.512335538864136
Exciton, frame 4037 ran in:  14.115692615509033
Exciton, frame 4038 ran in:  14.206464529037476
Exciton, frame 4039 ran in:  13.700298309326172
Exciton, frame 4040 ran in:  14.120330810546875
Exciton, frame 4041 ran in:  13.840014457702637
Exciton, frame 4042 ran in:  13.548359632492065
Exciton, frame 4043 ran in:  13.714671611785889
Exciton, frame 4044 ran in:  13.500756025314331
Exciton, frame 4045 ran in:  13.616510391235352
Exciton, frame 4046 ran in:  13.603858232498169
Exciton, frame 4047 ran in:  13.959468841552734
Exciton, frame 4048 ran in:  13.879656076431274
Exciton, frame 4049 ran in:  14.010017395019531
Exciton, frame 4050 ran in:  13.492498636245728
Exciton, frame 4051 ran in:  13.996838331222534
Exciton, frame 4052 ran in:  13.943035364151001
Exciton, frame 4053 ran in:  13.763514518737793
Exciton, frame 4054 ran in:  13.694434881210327
Exciton, frame 4055 ran in:  13.803864479064941
Exciton, frame 4056 ran in:  14.178577899932861
Exciton, frame 4057 ran in:  13.459956407546997
Exciton, frame 4058 ran in:  14.071909666061401
Exciton, frame 4059 ran in:  13.99800705909729
Exciton, frame 4060 ran in:  13.802661895751953
Exciton, frame 4061 ran in:  13.536242485046387
Exciton, frame 4062 ran in:  13.797575950622559
Exciton, frame 4063 ran in:  13.988763093948364
Exciton, frame 4064 ran in:  13.613158702850342
Exciton, frame 4065 ran in:  14.002822875976562
Exciton, frame 4066 ran in:  14.050986289978027
Exciton, frame 4067 ran in:  13.839765787124634
Exciton, frame 4068 ran in:  14.03961181640625
Exciton, frame 4069 ran in:  13.815787553787231
Exciton, frame 4070 ran in:  13.368841171264648
Exciton, frame 4071 ran in:  14.013201236724854
Exciton, frame 4072 ran in:  13.723537683486938
Exciton, frame 4073 ran in:  13.617101430892944
Exciton, frame 4074 ran in:  14.044912576675415
Exciton, frame 4075 ran in:  13.523494720458984
Exciton, frame 4076 ran in:  13.979922533035278
Exciton, frame 4077 ran in:  14.095231771469116
Exciton, frame 4078 ran in:  14.076991319656372
Exciton, frame 4079 ran in:  14.194728374481201
Exciton, frame 4080 ran in:  14.016161680221558
Exciton, frame 4081 ran in:  13.66126561164856
Exciton, frame 4082 ran in:  13.682507276535034
Exciton, frame 4083 ran in:  13.988403797149658
Exciton, frame 4084 ran in:  13.844799757003784
Exciton, frame 4085 ran in:  13.507606506347656
Exciton, frame 4086 ran in:  13.62480640411377
Exciton, frame 4087 ran in:  14.082132577896118
Exciton, frame 4088 ran in:  13.765461683273315
Exciton, frame 4089 ran in:  14.00845980644226
Exciton, frame 4090 ran in:  14.008342504501343
Exciton, frame 4091 ran in:  13.564744472503662
