cpu-bind=MASK - bp1-compute184, task 4294967295 4294967295 [0]: mask 0x1ffffe001ffffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.885451 secs
Exciton, frame 0 ran in:  13.75460171699524
Exciton, frame 1 ran in:  12.251923322677612
Exciton, frame 2 ran in:  10.60027551651001
Exciton, frame 3 ran in:  11.906815767288208
Exciton, frame 4 ran in:  10.550478458404541
Exciton, frame 5 ran in:  12.240037441253662
Exciton, frame 6 ran in:  11.912925481796265
Exciton, frame 7 ran in:  10.643882989883423
Exciton, frame 8 ran in:  11.329874753952026
Exciton, frame 9 ran in:  12.063961505889893
Exciton, frame 10 ran in:  10.515060424804688
Exciton, frame 11 ran in:  12.147299766540527
Exciton, frame 12 ran in:  11.93602991104126
Exciton, frame 13 ran in:  12.078413009643555
Exciton, frame 14 ran in:  12.118141412734985
Exciton, frame 15 ran in:  12.13599419593811
Exciton, frame 16 ran in:  12.065810680389404
Exciton, frame 17 ran in:  12.104212045669556
Exciton, frame 18 ran in:  12.06294298171997
Exciton, frame 19 ran in:  10.748745918273926
Exciton, frame 20 ran in:  11.98491907119751
Exciton, frame 21 ran in:  11.866907358169556
Exciton, frame 22 ran in:  12.113341093063354
Exciton, frame 23 ran in:  11.856574535369873
Exciton, frame 24 ran in:  11.951636552810669
Exciton, frame 25 ran in:  11.768325805664062
Exciton, frame 26 ran in:  11.850155353546143
Exciton, frame 27 ran in:  12.090936660766602
Exciton, frame 28 ran in:  10.588154792785645
Exciton, frame 29 ran in:  12.074066638946533
Exciton, frame 30 ran in:  11.778244972229004
Exciton, frame 31 ran in:  10.608938217163086
Exciton, frame 32 ran in:  12.046769142150879
Exciton, frame 33 ran in:  11.846704244613647
Exciton, frame 34 ran in:  11.163807153701782
Exciton, frame 35 ran in:  11.791273593902588
Exciton, frame 36 ran in:  11.884300231933594
Exciton, frame 37 ran in:  11.997837543487549
Exciton, frame 38 ran in:  11.995389938354492
Exciton, frame 39 ran in:  11.968884944915771
Exciton, frame 40 ran in:  11.970836877822876
Exciton, frame 41 ran in:  12.189316272735596
Exciton, frame 42 ran in:  10.59890866279602
Exciton, frame 43 ran in:  12.054989099502563
Exciton, frame 44 ran in:  11.93579912185669
Exciton, frame 45 ran in:  11.170946598052979
Exciton, frame 46 ran in:  11.702967166900635
Exciton, frame 47 ran in:  11.40778136253357
Exciton, frame 48 ran in:  11.946823835372925
Exciton, frame 49 ran in:  11.800865650177002
Exciton, frame 50 ran in:  11.213985443115234
Exciton, frame 51 ran in:  11.909705638885498
Exciton, frame 52 ran in:  11.897956371307373
Exciton, frame 53 ran in:  11.555244207382202
Exciton, frame 54 ran in:  11.79506516456604
Exciton, frame 55 ran in:  11.475019693374634
Exciton, frame 56 ran in:  11.337299346923828
Exciton, frame 57 ran in:  10.663321256637573
Exciton, frame 58 ran in:  11.479666471481323
Exciton, frame 59 ran in:  12.112529754638672
Exciton, frame 60 ran in:  11.926327466964722
Exciton, frame 61 ran in:  10.739722490310669
Exciton, frame 62 ran in:  12.400621891021729
Exciton, frame 63 ran in:  11.878809928894043
Exciton, frame 64 ran in:  12.0428307056427
Exciton, frame 65 ran in:  11.862830638885498
Exciton, frame 66 ran in:  12.184151411056519
Exciton, frame 67 ran in:  12.129638910293579
Exciton, frame 68 ran in:  11.567542791366577
Exciton, frame 69 ran in:  12.378194570541382
Exciton, frame 70 ran in:  11.624608755111694
Exciton, frame 71 ran in:  12.269476890563965
Exciton, frame 72 ran in:  11.84454894065857
Exciton, frame 73 ran in:  11.978339672088623
Exciton, frame 74 ran in:  12.283591270446777
Exciton, frame 75 ran in:  12.053700685501099
Exciton, frame 76 ran in:  10.681773662567139
Exciton, frame 77 ran in:  12.195473909378052
Exciton, frame 78 ran in:  12.190694808959961
Exciton, frame 79 ran in:  12.090946674346924
Exciton, frame 80 ran in:  12.302090406417847
Exciton, frame 81 ran in:  11.744408369064331
Exciton, frame 82 ran in:  12.313374757766724
Exciton, frame 83 ran in:  12.167194604873657
Exciton, frame 84 ran in:  12.250736951828003
Exciton, frame 85 ran in:  11.970754146575928
Exciton, frame 86 ran in:  11.39492654800415
Exciton, frame 87 ran in:  11.735038042068481
Exciton, frame 88 ran in:  12.453827142715454
Exciton, frame 89 ran in:  11.219061851501465
Exciton, frame 90 ran in:  12.140199661254883
Exciton, frame 91 ran in:  11.375482082366943
Exciton, frame 92 ran in:  11.865747928619385
Exciton, frame 93 ran in:  10.580875635147095
Exciton, frame 94 ran in:  12.146780014038086
Exciton, frame 95 ran in:  12.244533777236938
Exciton, frame 96 ran in:  12.158956050872803
Exciton, frame 97 ran in:  12.395591259002686
Exciton, frame 98 ran in:  10.564998149871826
Exciton, frame 99 ran in:  11.916559219360352
Exciton, frame 100 ran in:  11.8865385055542
Exciton, frame 101 ran in:  12.516292095184326
Exciton, frame 102 ran in:  12.434410572052002
Exciton, frame 103 ran in:  11.701541662216187
Exciton, frame 104 ran in:  12.210811138153076
Exciton, frame 105 ran in:  12.196337699890137
Exciton, frame 106 ran in:  11.795803308486938
Exciton, frame 107 ran in:  12.341423034667969
Exciton, frame 108 ran in:  12.288796663284302
Exciton, frame 109 ran in:  12.12566089630127
Exciton, frame 110 ran in:  12.058951616287231
Exciton, frame 111 ran in:  10.429372787475586
Exciton, frame 112 ran in:  12.060874938964844
Exciton, frame 113 ran in:  12.125351667404175
Exciton, frame 114 ran in:  11.399983406066895
Exciton, frame 115 ran in:  12.276158094406128
Exciton, frame 116 ran in:  12.10060167312622
Exciton, frame 117 ran in:  11.886409044265747
Exciton, frame 118 ran in:  11.611914157867432
Exciton, frame 119 ran in:  12.081673383712769
Exciton, frame 120 ran in:  11.013956785202026
Exciton, frame 121 ran in:  11.84289026260376
