cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xf000000007f9fe000000000000000000f000000007f9fe000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.798286 secs
Exciton, frame 114000 ran in:  18.629788160324097
Exciton, frame 114001 ran in:  16.69242525100708
Exciton, frame 114002 ran in:  16.494205236434937
Exciton, frame 114003 ran in:  16.318849563598633
Exciton, frame 114004 ran in:  16.590856313705444
Exciton, frame 114005 ran in:  16.275866270065308
Exciton, frame 114006 ran in:  16.511674880981445
Exciton, frame 114007 ran in:  16.596510648727417
Exciton, frame 114008 ran in:  16.545465230941772
Exciton, frame 114009 ran in:  16.26357388496399
Exciton, frame 114010 ran in:  16.465803146362305
Exciton, frame 114011 ran in:  16.371094703674316
Exciton, frame 114012 ran in:  16.34157967567444
Exciton, frame 114013 ran in:  16.549325942993164
Exciton, frame 114014 ran in:  16.56053066253662
Exciton, frame 114015 ran in:  16.713732957839966
Exciton, frame 114016 ran in:  16.621448755264282
Exciton, frame 114017 ran in:  16.549602031707764
Exciton, frame 114018 ran in:  16.20238709449768
Exciton, frame 114019 ran in:  16.62614154815674
Exciton, frame 114020 ran in:  16.491915941238403
Exciton, frame 114021 ran in:  16.53060030937195
Exciton, frame 114022 ran in:  16.75439691543579
Exciton, frame 114023 ran in:  16.69910478591919
Exciton, frame 114024 ran in:  16.39549994468689
Exciton, frame 114025 ran in:  16.461673498153687
Exciton, frame 114026 ran in:  16.20212149620056
Exciton, frame 114027 ran in:  16.55784273147583
Exciton, frame 114028 ran in:  16.353932857513428
Exciton, frame 114029 ran in:  16.459514141082764
Exciton, frame 114030 ran in:  16.800477981567383
Exciton, frame 114031 ran in:  16.856256246566772
Exciton, frame 114032 ran in:  16.31818413734436
Exciton, frame 114033 ran in:  16.418363571166992
Exciton, frame 114034 ran in:  16.524242162704468
Exciton, frame 114035 ran in:  16.553603887557983
Exciton, frame 114036 ran in:  16.754591941833496
Exciton, frame 114037 ran in:  16.29541015625
Exciton, frame 114038 ran in:  16.77246117591858
Exciton, frame 114039 ran in:  16.59244704246521
Exciton, frame 114040 ran in:  16.50939440727234
Exciton, frame 114041 ran in:  16.73474621772766
Exciton, frame 114042 ran in:  16.372028350830078
Exciton, frame 114043 ran in:  16.322242259979248
Exciton, frame 114044 ran in:  16.554640531539917
Exciton, frame 114045 ran in:  16.672529458999634
Exciton, frame 114046 ran in:  16.485392332077026
Exciton, frame 114047 ran in:  16.749785900115967
Exciton, frame 114048 ran in:  16.606467962265015
Exciton, frame 114049 ran in:  16.55984616279602
Exciton, frame 114050 ran in:  16.442886352539062
Exciton, frame 114051 ran in:  16.422646522521973
Exciton, frame 114052 ran in:  16.835506439208984
Exciton, frame 114053 ran in:  16.46689510345459
Exciton, frame 114054 ran in:  16.491810083389282
Exciton, frame 114055 ran in:  16.738516569137573
Exciton, frame 114056 ran in:  16.616974115371704
Exciton, frame 114057 ran in:  16.731261730194092
Exciton, frame 114058 ran in:  16.69939088821411
Exciton, frame 114059 ran in:  16.96461582183838
Exciton, frame 114060 ran in:  16.732336044311523
Exciton, frame 114061 ran in:  16.57548427581787
Exciton, frame 114062 ran in:  16.59437346458435
Exciton, frame 114063 ran in:  16.457184076309204
Exciton, frame 114064 ran in:  16.503047227859497
Exciton, frame 114065 ran in:  16.508326530456543
Exciton, frame 114066 ran in:  16.500439882278442
Exciton, frame 114067 ran in:  16.85943078994751
Exciton, frame 114068 ran in:  16.76569366455078
Exciton, frame 114069 ran in:  16.83102560043335
Exciton, frame 114070 ran in:  16.749000072479248
Exciton, frame 114071 ran in:  16.745718717575073
Exciton, frame 114072 ran in:  16.64718723297119
Exciton, frame 114073 ran in:  16.544177293777466
Exciton, frame 114074 ran in:  16.48504614830017
Exciton, frame 114075 ran in:  16.458556175231934
Exciton, frame 114076 ran in:  16.952325344085693
Exciton, frame 114077 ran in:  16.738309383392334
Exciton, frame 114078 ran in:  16.68994164466858
Exciton, frame 114079 ran in:  16.60482406616211
Exciton, frame 114080 ran in:  16.245898246765137
Exciton, frame 114081 ran in:  16.2126362323761
Exciton, frame 114082 ran in:  16.645018339157104
Exciton, frame 114083 ran in:  16.56478762626648
Exciton, frame 114084 ran in:  16.933329582214355
Exciton, frame 114085 ran in:  16.52994418144226
Exciton, frame 114086 ran in:  16.473793745040894
Exciton, frame 114087 ran in:  16.52859878540039
Exciton, frame 114088 ran in:  16.3702175617218
Exciton, frame 114089 ran in:  16.175844192504883
Exciton, frame 114090 ran in:  16.53108048439026
Exciton, frame 114091 ran in:  16.484177827835083
Exciton, frame 114092 ran in:  16.530664443969727
Exciton, frame 114093 ran in:  16.22165036201477
Exciton, frame 114094 ran in:  16.896167993545532
Exciton, frame 114095 ran in:  16.521800994873047
Exciton, frame 114096 ran in:  16.674466609954834
Exciton, frame 114097 ran in:  16.65995478630066
Exciton, frame 114098 ran in:  16.78819990158081
Exciton, frame 114099 ran in:  17.113075971603394
Exciton, frame 114100 ran in:  16.945342779159546
Exciton, frame 114101 ran in:  16.19215202331543
Exciton, frame 114102 ran in:  16.68726897239685
Exciton, frame 114103 ran in:  16.067865133285522
Exciton, frame 114104 ran in:  16.46237826347351
Exciton, frame 114105 ran in:  17.061868906021118
Exciton, frame 114106 ran in:  17.18666934967041
Exciton, frame 114107 ran in:  16.6303813457489
Exciton, frame 114108 ran in:  16.794270992279053
Exciton, frame 114109 ran in:  16.86134433746338
Exciton, frame 114110 ran in:  16.551860094070435
Exciton, frame 114111 ran in:  16.60043239593506
Exciton, frame 114112 ran in:  16.503596782684326
Exciton, frame 114113 ran in:  16.56866765022278
Exciton, frame 114114 ran in:  16.45481824874878
Exciton, frame 114115 ran in:  16.597229480743408
Exciton, frame 114116 ran in:  16.517406940460205
Exciton, frame 114117 ran in:  16.112572193145752
Exciton, frame 114118 ran in:  16.40275812149048
Exciton, frame 114119 ran in:  16.446182250976562
Exciton, frame 114120 ran in:  16.600319862365723
Exciton, frame 114121 ran in:  16.358680725097656
Exciton, frame 114122 ran in:  16.536667823791504
Exciton, frame 114123 ran in:  16.83697748184204
Exciton, frame 114124 ran in:  16.34565544128418
Exciton, frame 114125 ran in:  16.320641040802002
Exciton, frame 114126 ran in:  16.5199613571167
Exciton, frame 114127 ran in:  16.19934868812561
Exciton, frame 114128 ran in:  16.647130727767944
Exciton, frame 114129 ran in:  16.774526596069336
Exciton, frame 114130 ran in:  16.594584941864014
Exciton, frame 114131 ran in:  16.45855164527893
Exciton, frame 114132 ran in:  16.68984603881836
Exciton, frame 114133 ran in:  16.49421191215515
Exciton, frame 114134 ran in:  16.636558055877686
Exciton, frame 114135 ran in:  16.714869022369385
Exciton, frame 114136 ran in:  16.674360513687134
Exciton, frame 114137 ran in:  16.593833684921265
Exciton, frame 114138 ran in:  16.298654794692993
Exciton, frame 114139 ran in:  16.31343698501587
Exciton, frame 114140 ran in:  16.398558139801025
Exciton, frame 114141 ran in:  16.45530366897583
Exciton, frame 114142 ran in:  16.456178188323975
Exciton, frame 114143 ran in:  16.60914707183838
Exciton, frame 114144 ran in:  16.709510803222656
Exciton, frame 114145 ran in:  16.373881340026855
Exciton, frame 114146 ran in:  16.703078508377075
Exciton, frame 114147 ran in:  16.27120304107666
Exciton, frame 114148 ran in:  16.678442239761353
Exciton, frame 114149 ran in:  16.61590600013733
Exciton, frame 114150 ran in:  16.916993856430054
Exciton, frame 114151 ran in:  16.780615091323853
Exciton, frame 114152 ran in:  16.79354238510132
Exciton, frame 114153 ran in:  16.57201862335205
Exciton, frame 114154 ran in:  16.319632053375244
Exciton, frame 114155 ran in:  16.715681314468384
Exciton, frame 114156 ran in:  16.619229555130005
Exciton, frame 114157 ran in:  16.67630434036255
Exciton, frame 114158 ran in:  16.547078371047974
Exciton, frame 114159 ran in:  16.052444458007812
Exciton, frame 114160 ran in:  16.680843114852905
Exciton, frame 114161 ran in:  16.938037633895874
Exciton, frame 114162 ran in:  16.909385442733765
Exciton, frame 114163 ran in:  16.891010999679565
Exciton, frame 114164 ran in:  16.553918838500977
Exciton, frame 114165 ran in:  16.04740810394287
Exciton, frame 114166 ran in:  16.53919291496277
Exciton, frame 114167 ran in:  16.471861362457275
Exciton, frame 114168 ran in:  16.601120233535767
Exciton, frame 114169 ran in:  16.609763145446777
Exciton, frame 114170 ran in:  16.34304118156433
