cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129000 ran in:  15.006819009780884
Exciton, frame 129001 ran in:  13.213348150253296
Exciton, frame 129002 ran in:  13.181467771530151
Exciton, frame 129003 ran in:  13.242595195770264
Exciton, frame 129004 ran in:  13.226415157318115
Exciton, frame 129005 ran in:  13.05642032623291
Exciton, frame 129006 ran in:  13.20803165435791
Exciton, frame 129007 ran in:  12.901067972183228
Exciton, frame 129008 ran in:  12.995709657669067
Exciton, frame 129009 ran in:  13.120208740234375
Exciton, frame 129010 ran in:  12.798130750656128
Exciton, frame 129011 ran in:  13.216553926467896
Exciton, frame 129012 ran in:  12.979163885116577
Exciton, frame 129013 ran in:  12.590677499771118
Exciton, frame 129014 ran in:  13.36712121963501
Exciton, frame 129015 ran in:  12.923293590545654
Exciton, frame 129016 ran in:  13.28484582901001
Exciton, frame 129017 ran in:  13.136727809906006
Exciton, frame 129018 ran in:  13.309824705123901
Exciton, frame 129019 ran in:  13.373108148574829
Exciton, frame 129020 ran in:  12.707227230072021
Exciton, frame 129021 ran in:  13.07015061378479
Exciton, frame 129022 ran in:  13.29575777053833
Exciton, frame 129023 ran in:  13.260022401809692
Exciton, frame 129024 ran in:  13.349179029464722
Exciton, frame 129025 ran in:  12.79589319229126
Exciton, frame 129026 ran in:  12.959800004959106
Exciton, frame 129027 ran in:  13.039584636688232
Exciton, frame 129028 ran in:  13.162229776382446
Exciton, frame 129029 ran in:  12.98790431022644
Exciton, frame 129030 ran in:  12.824558734893799
Exciton, frame 129031 ran in:  13.44507884979248
Exciton, frame 129032 ran in:  13.263975858688354
Exciton, frame 129033 ran in:  13.431016206741333
Exciton, frame 129034 ran in:  13.308836460113525
Exciton, frame 129035 ran in:  13.494141578674316
Exciton, frame 129036 ran in:  13.39207410812378
Exciton, frame 129037 ran in:  12.952958583831787
Exciton, frame 129038 ran in:  13.5698561668396
Exciton, frame 129039 ran in:  13.017797708511353
Exciton, frame 129040 ran in:  13.497053623199463
Exciton, frame 129041 ran in:  13.359009742736816
Exciton, frame 129042 ran in:  13.283550262451172
Exciton, frame 129043 ran in:  13.479981422424316
Exciton, frame 129044 ran in:  12.968870162963867
Exciton, frame 129045 ran in:  13.214949131011963
Exciton, frame 129046 ran in:  13.324549674987793
Exciton, frame 129047 ran in:  13.499671936035156
Exciton, frame 129048 ran in:  12.922812461853027
Exciton, frame 129049 ran in:  12.953781604766846
Exciton, frame 129050 ran in:  13.48550271987915
Exciton, frame 129051 ran in:  13.373541355133057
Exciton, frame 129052 ran in:  13.300891160964966
Exciton, frame 129053 ran in:  12.894262790679932
Exciton, frame 129054 ran in:  13.024545669555664
Exciton, frame 129055 ran in:  13.64685606956482
Exciton, frame 129056 ran in:  13.396100997924805
Exciton, frame 129057 ran in:  12.963554859161377
Exciton, frame 129058 ran in:  13.242510080337524
Exciton, frame 129059 ran in:  13.098284244537354
Exciton, frame 129060 ran in:  13.221015691757202
Exciton, frame 129061 ran in:  13.098703622817993
Exciton, frame 129062 ran in:  13.544968128204346
Exciton, frame 129063 ran in:  13.564197778701782
Exciton, frame 129064 ran in:  13.29552173614502
Exciton, frame 129065 ran in:  13.381490468978882
Exciton, frame 129066 ran in:  13.311046838760376
Exciton, frame 129067 ran in:  13.60127067565918
Exciton, frame 129068 ran in:  13.400686740875244
Exciton, frame 129069 ran in:  12.984435081481934
Exciton, frame 129070 ran in:  13.432981252670288
Exciton, frame 129071 ran in:  13.174623012542725
Exciton, frame 129072 ran in:  12.942875623703003
Exciton, frame 129073 ran in:  13.382644176483154
Exciton, frame 129074 ran in:  13.70029067993164
Exciton, frame 129075 ran in:  13.49862003326416
Exciton, frame 129076 ran in:  14.068423748016357
Exciton, frame 129077 ran in:  13.981972217559814
Exciton, frame 129078 ran in:  13.353348731994629
Exciton, frame 129079 ran in:  13.526073694229126
Exciton, frame 129080 ran in:  13.097698211669922
Exciton, frame 129081 ran in:  13.371490716934204
Exciton, frame 129082 ran in:  13.508331298828125
Exciton, frame 129083 ran in:  13.558797121047974
Exciton, frame 129084 ran in:  13.258698225021362
Exciton, frame 129085 ran in:  13.303242444992065
Exciton, frame 129086 ran in:  13.171558856964111
Exciton, frame 129087 ran in:  13.01755142211914
Exciton, frame 129088 ran in:  13.031570434570312
Exciton, frame 129089 ran in:  13.25632619857788
Exciton, frame 129090 ran in:  13.02869462966919
Exciton, frame 129091 ran in:  13.358762502670288
Exciton, frame 129092 ran in:  13.247907638549805
Exciton, frame 129093 ran in:  13.22939419746399
Exciton, frame 129094 ran in:  13.00556206703186
Exciton, frame 129095 ran in:  13.893670082092285
Exciton, frame 129096 ran in:  13.004852533340454
Exciton, frame 129097 ran in:  13.09017038345337
Exciton, frame 129098 ran in:  13.340048789978027
Exciton, frame 129099 ran in:  13.22320008277893
Exciton, frame 129100 ran in:  12.745603084564209
Exciton, frame 129101 ran in:  13.296741962432861
Exciton, frame 129102 ran in:  13.556856393814087
Exciton, frame 129103 ran in:  13.141881942749023
Exciton, frame 129104 ran in:  13.073302984237671
Exciton, frame 129105 ran in:  13.147080659866333
Exciton, frame 129106 ran in:  12.996315956115723
Exciton, frame 129107 ran in:  13.240288019180298
Exciton, frame 129108 ran in:  13.048504829406738
Exciton, frame 129109 ran in:  13.275519132614136
Exciton, frame 129110 ran in:  13.322808027267456
Exciton, frame 129111 ran in:  12.949089050292969
Exciton, frame 129112 ran in:  12.965409994125366
Exciton, frame 129113 ran in:  13.358045816421509
Exciton, frame 129114 ran in:  13.48696780204773
Exciton, frame 129115 ran in:  13.284252643585205
Exciton, frame 129116 ran in:  13.202670335769653
Exciton, frame 129117 ran in:  12.979052066802979
Exciton, frame 129118 ran in:  12.904146194458008
Exciton, frame 129119 ran in:  13.486541271209717
Exciton, frame 129120 ran in:  13.13431191444397
Exciton, frame 129121 ran in:  13.172317028045654
Exciton, frame 129122 ran in:  13.618931531906128
Exciton, frame 129123 ran in:  13.367412805557251
Exciton, frame 129124 ran in:  13.305127620697021
Exciton, frame 129125 ran in:  13.448968410491943
Exciton, frame 129126 ran in:  13.47590160369873
Exciton, frame 129127 ran in:  13.312755107879639
Exciton, frame 129128 ran in:  13.103408336639404
Exciton, frame 129129 ran in:  13.27708649635315
Exciton, frame 129130 ran in:  13.306824684143066
Exciton, frame 129131 ran in:  12.979568481445312
Exciton, frame 129132 ran in:  13.152522325515747
Exciton, frame 129133 ran in:  13.189991235733032
Exciton, frame 129134 ran in:  13.334214687347412
Exciton, frame 129135 ran in:  13.307733297348022
Exciton, frame 129136 ran in:  13.192337274551392
Exciton, frame 129137 ran in:  13.263314723968506
Exciton, frame 129138 ran in:  13.06444764137268
Exciton, frame 129139 ran in:  12.618309736251831
Exciton, frame 129140 ran in:  13.630699157714844
Exciton, frame 129141 ran in:  13.275504112243652
Exciton, frame 129142 ran in:  13.394412755966187
Exciton, frame 129143 ran in:  13.183428287506104
Exciton, frame 129144 ran in:  13.274325132369995
Exciton, frame 129145 ran in:  13.073601961135864
