cpu-bind=MASK - bp1-compute038, task 4294967295 4294967295 [0]: mask 0xff0fffff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.268157 secs
Exciton, frame 147000 ran in:  12.54426622390747
Exciton, frame 147001 ran in:  10.695013999938965
Exciton, frame 147002 ran in:  10.904671669006348
Exciton, frame 147003 ran in:  11.116274118423462
Exciton, frame 147004 ran in:  10.99835729598999
Exciton, frame 147005 ran in:  11.195929527282715
Exciton, frame 147006 ran in:  11.289318561553955
Exciton, frame 147007 ran in:  11.150323390960693
Exciton, frame 147008 ran in:  11.326664924621582
Exciton, frame 147009 ran in:  10.916299104690552
Exciton, frame 147010 ran in:  10.963764429092407
Exciton, frame 147011 ran in:  11.530526161193848
Exciton, frame 147012 ran in:  10.868457317352295
Exciton, frame 147013 ran in:  11.54432225227356
Exciton, frame 147014 ran in:  11.177591562271118
Exciton, frame 147015 ran in:  11.11899185180664
Exciton, frame 147016 ran in:  11.108649253845215
Exciton, frame 147017 ran in:  11.017226934432983
Exciton, frame 147018 ran in:  10.786655187606812
Exciton, frame 147019 ran in:  10.903036832809448
Exciton, frame 147020 ran in:  11.490337610244751
Exciton, frame 147021 ran in:  11.068001985549927
Exciton, frame 147022 ran in:  11.251154661178589
Exciton, frame 147023 ran in:  11.147474527359009
Exciton, frame 147024 ran in:  10.796556949615479
Exciton, frame 147025 ran in:  11.048471212387085
Exciton, frame 147026 ran in:  11.111992120742798
Exciton, frame 147027 ran in:  10.973299741744995
Exciton, frame 147028 ran in:  11.066282987594604
Exciton, frame 147029 ran in:  11.80766224861145
Exciton, frame 147030 ran in:  11.395691871643066
Exciton, frame 147031 ran in:  10.96358871459961
Exciton, frame 147032 ran in:  10.869282722473145
Exciton, frame 147033 ran in:  11.14150333404541
Exciton, frame 147034 ran in:  10.548681735992432
Exciton, frame 147035 ran in:  11.10011100769043
Exciton, frame 147036 ran in:  11.175467014312744
Exciton, frame 147037 ran in:  11.584911346435547
Exciton, frame 147038 ran in:  10.866902112960815
Exciton, frame 147039 ran in:  11.40675163269043
Exciton, frame 147040 ran in:  11.064255237579346
