cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18000 ran in:  15.87273907661438
Exciton, frame 18001 ran in:  14.02350926399231
Exciton, frame 18002 ran in:  14.32187294960022
Exciton, frame 18003 ran in:  14.222055673599243
Exciton, frame 18004 ran in:  14.30199384689331
Exciton, frame 18005 ran in:  13.9734206199646
Exciton, frame 18006 ran in:  14.172858476638794
Exciton, frame 18007 ran in:  14.384950399398804
Exciton, frame 18008 ran in:  14.021846771240234
Exciton, frame 18009 ran in:  14.259275674819946
Exciton, frame 18010 ran in:  14.024070501327515
Exciton, frame 18011 ran in:  14.204836130142212
Exciton, frame 18012 ran in:  14.380802392959595
Exciton, frame 18013 ran in:  14.26415228843689
Exciton, frame 18014 ran in:  14.224396705627441
Exciton, frame 18015 ran in:  14.259214639663696
Exciton, frame 18016 ran in:  14.48692536354065
Exciton, frame 18017 ran in:  14.197606801986694
Exciton, frame 18018 ran in:  14.098195314407349
Exciton, frame 18019 ran in:  14.237215042114258
Exciton, frame 18020 ran in:  14.386018514633179
Exciton, frame 18021 ran in:  14.537832260131836
Exciton, frame 18022 ran in:  14.423390626907349
Exciton, frame 18023 ran in:  13.984667301177979
Exciton, frame 18024 ran in:  14.244993925094604
Exciton, frame 18025 ran in:  14.602073192596436
Exciton, frame 18026 ran in:  14.565412521362305
Exciton, frame 18027 ran in:  14.472552299499512
Exciton, frame 18028 ran in:  14.203450441360474
Exciton, frame 18029 ran in:  14.083969831466675
Exciton, frame 18030 ran in:  14.264488697052002
Exciton, frame 18031 ran in:  14.049568176269531
Exciton, frame 18032 ran in:  14.001208543777466
Exciton, frame 18033 ran in:  14.19985032081604
Exciton, frame 18034 ran in:  14.616670608520508
Exciton, frame 18035 ran in:  14.065171003341675
Exciton, frame 18036 ran in:  14.155368328094482
Exciton, frame 18037 ran in:  14.29957389831543
Exciton, frame 18038 ran in:  14.298053979873657
Exciton, frame 18039 ran in:  14.142794370651245
Exciton, frame 18040 ran in:  14.35597038269043
Exciton, frame 18041 ran in:  14.00686001777649
Exciton, frame 18042 ran in:  14.177636623382568
Exciton, frame 18043 ran in:  14.205224514007568
Exciton, frame 18044 ran in:  14.159746646881104
Exciton, frame 18045 ran in:  14.039543151855469
Exciton, frame 18046 ran in:  14.086491107940674
Exciton, frame 18047 ran in:  14.291977643966675
Exciton, frame 18048 ran in:  14.222005128860474
Exciton, frame 18049 ran in:  14.166537761688232
Exciton, frame 18050 ran in:  14.274633169174194
Exciton, frame 18051 ran in:  14.146040201187134
Exciton, frame 18052 ran in:  14.232426166534424
Exciton, frame 18053 ran in:  14.103285312652588
Exciton, frame 18054 ran in:  14.152408123016357
Exciton, frame 18055 ran in:  14.032313823699951
Exciton, frame 18056 ran in:  14.235597133636475
Exciton, frame 18057 ran in:  14.319696187973022
Exciton, frame 18058 ran in:  14.209705591201782
Exciton, frame 18059 ran in:  14.170878648757935
Exciton, frame 18060 ran in:  14.249046325683594
Exciton, frame 18061 ran in:  14.440808534622192
Exciton, frame 18062 ran in:  14.486563920974731
Exciton, frame 18063 ran in:  13.987612247467041
Exciton, frame 18064 ran in:  14.23956298828125
Exciton, frame 18065 ran in:  14.140167713165283
Exciton, frame 18066 ran in:  14.297227621078491
Exciton, frame 18067 ran in:  14.168981075286865
Exciton, frame 18068 ran in:  14.376420497894287
Exciton, frame 18069 ran in:  14.041820049285889
Exciton, frame 18070 ran in:  14.310285568237305
Exciton, frame 18071 ran in:  14.03626275062561
Exciton, frame 18072 ran in:  13.944499969482422
Exciton, frame 18073 ran in:  14.112795114517212
Exciton, frame 18074 ran in:  14.217865943908691
Exciton, frame 18075 ran in:  14.236543416976929
Exciton, frame 18076 ran in:  14.335189580917358
Exciton, frame 18077 ran in:  14.316456079483032
Exciton, frame 18078 ran in:  14.37063479423523
Exciton, frame 18079 ran in:  14.093544721603394
Exciton, frame 18080 ran in:  14.013753890991211
Exciton, frame 18081 ran in:  14.291467666625977
Exciton, frame 18082 ran in:  14.422964811325073
Exciton, frame 18083 ran in:  14.236162424087524
Exciton, frame 18084 ran in:  14.310973167419434
Exciton, frame 18085 ran in:  14.285922527313232
Exciton, frame 18086 ran in:  14.277474641799927
Exciton, frame 18087 ran in:  14.231032609939575
Exciton, frame 18088 ran in:  14.065642833709717
Exciton, frame 18089 ran in:  14.220800399780273
Exciton, frame 18090 ran in:  13.992544889450073
Exciton, frame 18091 ran in:  14.72962498664856
Exciton, frame 18092 ran in:  14.249665021896362
Exciton, frame 18093 ran in:  14.24602746963501
Exciton, frame 18094 ran in:  14.294128179550171
Exciton, frame 18095 ran in:  14.043583393096924
Exciton, frame 18096 ran in:  14.204748392105103
Exciton, frame 18097 ran in:  14.120478868484497
Exciton, frame 18098 ran in:  14.09460163116455
Exciton, frame 18099 ran in:  14.15341830253601
Exciton, frame 18100 ran in:  13.901970386505127
Exciton, frame 18101 ran in:  13.90186882019043
Exciton, frame 18102 ran in:  14.278214693069458
Exciton, frame 18103 ran in:  14.382146120071411
Exciton, frame 18104 ran in:  14.26238465309143
Exciton, frame 18105 ran in:  14.361978769302368
Exciton, frame 18106 ran in:  14.246922969818115
Exciton, frame 18107 ran in:  14.096432209014893
Exciton, frame 18108 ran in:  13.936071872711182
Exciton, frame 18109 ran in:  14.277412414550781
