cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3000 ran in:  13.5902099609375
Exciton, frame 3001 ran in:  12.064099788665771
Exciton, frame 3002 ran in:  11.709620237350464
Exciton, frame 3003 ran in:  13.146212816238403
Exciton, frame 3004 ran in:  12.237382411956787
Exciton, frame 3005 ran in:  11.794079542160034
Exciton, frame 3006 ran in:  11.79206657409668
Exciton, frame 3007 ran in:  12.051961660385132
Exciton, frame 3008 ran in:  12.208244800567627
Exciton, frame 3009 ran in:  11.803707599639893
Exciton, frame 3010 ran in:  12.105236053466797
Exciton, frame 3011 ran in:  11.802749395370483
Exciton, frame 3012 ran in:  12.007843017578125
Exciton, frame 3013 ran in:  12.05621075630188
Exciton, frame 3014 ran in:  11.903560876846313
Exciton, frame 3015 ran in:  11.847010850906372
Exciton, frame 3016 ran in:  11.764490127563477
Exciton, frame 3017 ran in:  12.070910692214966
Exciton, frame 3018 ran in:  11.872177600860596
Exciton, frame 3019 ran in:  11.90036392211914
Exciton, frame 3020 ran in:  11.904898881912231
Exciton, frame 3021 ran in:  11.939346551895142
Exciton, frame 3022 ran in:  12.370099782943726
Exciton, frame 3023 ran in:  11.604852676391602
Exciton, frame 3024 ran in:  11.947603225708008
Exciton, frame 3025 ran in:  11.865137815475464
Exciton, frame 3026 ran in:  11.871605396270752
Exciton, frame 3027 ran in:  11.957475185394287
Exciton, frame 3028 ran in:  11.741831064224243
Exciton, frame 3029 ran in:  12.055799961090088
Exciton, frame 3030 ran in:  11.96737551689148
Exciton, frame 3031 ran in:  12.087272644042969
Exciton, frame 3032 ran in:  12.017301321029663
Exciton, frame 3033 ran in:  11.912865400314331
Exciton, frame 3034 ran in:  12.002380609512329
Exciton, frame 3035 ran in:  11.955390930175781
Exciton, frame 3036 ran in:  11.975610494613647
Exciton, frame 3037 ran in:  11.76307725906372
Exciton, frame 3038 ran in:  12.085497617721558
Exciton, frame 3039 ran in:  11.657483339309692
Exciton, frame 3040 ran in:  12.35903000831604
Exciton, frame 3041 ran in:  12.319281339645386
Exciton, frame 3042 ran in:  11.9170503616333
Exciton, frame 3043 ran in:  11.835955381393433
Exciton, frame 3044 ran in:  11.875368118286133
