cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30000 ran in:  14.078108549118042
Exciton, frame 30001 ran in:  12.110478401184082
Exciton, frame 30002 ran in:  12.605419874191284
Exciton, frame 30003 ran in:  12.277058362960815
Exciton, frame 30004 ran in:  12.839959144592285
Exciton, frame 30005 ran in:  12.24069094657898
Exciton, frame 30006 ran in:  12.48404049873352
Exciton, frame 30007 ran in:  12.155779838562012
Exciton, frame 30008 ran in:  12.268637895584106
Exciton, frame 30009 ran in:  12.945733070373535
Exciton, frame 30010 ran in:  13.077940464019775
Exciton, frame 30011 ran in:  12.685344696044922
Exciton, frame 30012 ran in:  12.354921817779541
Exciton, frame 30013 ran in:  12.288450956344604
Exciton, frame 30014 ran in:  12.570286512374878
Exciton, frame 30015 ran in:  12.101461172103882
Exciton, frame 30016 ran in:  12.98696780204773
Exciton, frame 30017 ran in:  12.615567445755005
Exciton, frame 30018 ran in:  13.152050495147705
Exciton, frame 30019 ran in:  13.050933599472046
Exciton, frame 30020 ran in:  12.759301662445068
Exciton, frame 30021 ran in:  12.804155111312866
Exciton, frame 30022 ran in:  12.10893440246582
Exciton, frame 30023 ran in:  12.211844682693481
Exciton, frame 30024 ran in:  12.503939151763916
Exciton, frame 30025 ran in:  12.01927924156189
Exciton, frame 30026 ran in:  12.449901580810547
Exciton, frame 30027 ran in:  12.159501791000366
Exciton, frame 30028 ran in:  11.960985898971558
Exciton, frame 30029 ran in:  12.202862024307251
Exciton, frame 30030 ran in:  12.3054780960083
Exciton, frame 30031 ran in:  12.412503480911255
Exciton, frame 30032 ran in:  12.659390687942505
Exciton, frame 30033 ran in:  12.03148603439331
Exciton, frame 30034 ran in:  12.493376016616821
Exciton, frame 30035 ran in:  12.857550621032715
Exciton, frame 30036 ran in:  12.606908321380615
Exciton, frame 30037 ran in:  12.57825255393982
Exciton, frame 30038 ran in:  12.58018946647644
Exciton, frame 30039 ran in:  12.226245403289795
Exciton, frame 30040 ran in:  12.409400463104248
Exciton, frame 30041 ran in:  12.466026306152344
Exciton, frame 30042 ran in:  12.285156011581421
Exciton, frame 30043 ran in:  12.710506439208984
Exciton, frame 30044 ran in:  12.580997705459595
Exciton, frame 30045 ran in:  12.152438163757324
Exciton, frame 30046 ran in:  12.474510669708252
Exciton, frame 30047 ran in:  12.556927680969238
Exciton, frame 30048 ran in:  12.517398118972778
Exciton, frame 30049 ran in:  12.214890480041504
Exciton, frame 30050 ran in:  13.132060527801514
Exciton, frame 30051 ran in:  12.390621185302734
Exciton, frame 30052 ran in:  12.492370128631592
Exciton, frame 30053 ran in:  12.385632514953613
Exciton, frame 30054 ran in:  12.501678228378296
Exciton, frame 30055 ran in:  12.355759143829346
Exciton, frame 30056 ran in:  12.643518447875977
Exciton, frame 30057 ran in:  12.759807586669922
Exciton, frame 30058 ran in:  12.334048986434937
Exciton, frame 30059 ran in:  12.678253650665283
Exciton, frame 30060 ran in:  12.652464389801025
Exciton, frame 30061 ran in:  12.353332996368408
Exciton, frame 30062 ran in:  12.386984586715698
Exciton, frame 30063 ran in:  12.19681167602539
Exciton, frame 30064 ran in:  12.107470035552979
Exciton, frame 30065 ran in:  12.764584302902222
Exciton, frame 30066 ran in:  12.468897104263306
Exciton, frame 30067 ran in:  12.405642747879028
Exciton, frame 30068 ran in:  12.559906721115112
Exciton, frame 30069 ran in:  11.948946475982666
Exciton, frame 30070 ran in:  12.770949602127075
Exciton, frame 30071 ran in:  12.885820150375366
Exciton, frame 30072 ran in:  12.980969429016113
Exciton, frame 30073 ran in:  12.512858629226685
Exciton, frame 30074 ran in:  12.771937847137451
Exciton, frame 30075 ran in:  12.68799376487732
Exciton, frame 30076 ran in:  12.797652959823608
Exciton, frame 30077 ran in:  12.939003705978394
Exciton, frame 30078 ran in:  12.574040412902832
Exciton, frame 30079 ran in:  12.635226964950562
Exciton, frame 30080 ran in:  12.621695756912231
Exciton, frame 30081 ran in:  12.637518882751465
Exciton, frame 30082 ran in:  12.537501096725464
Exciton, frame 30083 ran in:  12.994653463363647
Exciton, frame 30084 ran in:  12.570279121398926
Exciton, frame 30085 ran in:  12.782960891723633
Exciton, frame 30086 ran in:  12.949946165084839
Exciton, frame 30087 ran in:  12.876828908920288
Exciton, frame 30088 ran in:  12.803306579589844
Exciton, frame 30089 ran in:  12.871863603591919
Exciton, frame 30090 ran in:  12.9987051486969
Exciton, frame 30091 ran in:  12.925986051559448
Exciton, frame 30092 ran in:  12.773497819900513
Exciton, frame 30093 ran in:  13.03145718574524
Exciton, frame 30094 ran in:  12.828382015228271
Exciton, frame 30095 ran in:  12.701939582824707
Exciton, frame 30096 ran in:  12.79690408706665
Exciton, frame 30097 ran in:  12.485625267028809
Exciton, frame 30098 ran in:  12.290122270584106
Exciton, frame 30099 ran in:  11.972423791885376
Exciton, frame 30100 ran in:  11.947744369506836
Exciton, frame 30101 ran in:  12.02109956741333
Exciton, frame 30102 ran in:  12.112175941467285
Exciton, frame 30103 ran in:  12.223283052444458
Exciton, frame 30104 ran in:  12.253480911254883
Exciton, frame 30105 ran in:  12.132183313369751
Exciton, frame 30106 ran in:  11.912897825241089
Exciton, frame 30107 ran in:  12.025110244750977
Exciton, frame 30108 ran in:  12.426402568817139
Exciton, frame 30109 ran in:  12.010149002075195
Exciton, frame 30110 ran in:  12.092771053314209
Exciton, frame 30111 ran in:  12.199506759643555
Exciton, frame 30112 ran in:  12.24228572845459
Exciton, frame 30113 ran in:  12.2382493019104
Exciton, frame 30114 ran in:  11.963742017745972
Exciton, frame 30115 ran in:  12.154629468917847
Exciton, frame 30116 ran in:  12.078001976013184
Exciton, frame 30117 ran in:  12.059982299804688
Exciton, frame 30118 ran in:  12.056199073791504
Exciton, frame 30119 ran in:  12.130822658538818
Exciton, frame 30120 ran in:  12.60630178451538
Exciton, frame 30121 ran in:  12.133149862289429
Exciton, frame 30122 ran in:  12.226810693740845
Exciton, frame 30123 ran in:  12.038055419921875
Exciton, frame 30124 ran in:  12.040194034576416
Exciton, frame 30125 ran in:  12.14836049079895
Exciton, frame 30126 ran in:  12.104089498519897
Exciton, frame 30127 ran in:  12.06273341178894
Exciton, frame 30128 ran in:  12.152235984802246
Exciton, frame 30129 ran in:  12.153734683990479
Exciton, frame 30130 ran in:  12.013172388076782
Exciton, frame 30131 ran in:  12.200815916061401
Exciton, frame 30132 ran in:  12.418984651565552
Exciton, frame 30133 ran in:  12.413019180297852
Exciton, frame 30134 ran in:  12.020709037780762
Exciton, frame 30135 ran in:  12.22887897491455
Exciton, frame 30136 ran in:  12.45063853263855
Exciton, frame 30137 ran in:  12.32902979850769
Exciton, frame 30138 ran in:  12.912589073181152
Exciton, frame 30139 ran in:  13.048430681228638
Exciton, frame 30140 ran in:  12.936623573303223
Exciton, frame 30141 ran in:  12.265654802322388
Exciton, frame 30142 ran in:  12.92147946357727
Exciton, frame 30143 ran in:  13.009214162826538
Exciton, frame 30144 ran in:  12.738729476928711
Exciton, frame 30145 ran in:  12.74544095993042
Exciton, frame 30146 ran in:  12.880370378494263
Exciton, frame 30147 ran in:  12.438043355941772
Exciton, frame 30148 ran in:  12.882128715515137
Exciton, frame 30149 ran in:  13.030180931091309
Exciton, frame 30150 ran in:  12.945369243621826
Exciton, frame 30151 ran in:  12.891865491867065
