cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.747597 secs
Exciton, frame 33000 ran in:  12.570343255996704
Exciton, frame 33001 ran in:  11.812875270843506
Exciton, frame 33002 ran in:  12.112282752990723
Exciton, frame 33003 ran in:  11.871862173080444
Exciton, frame 33004 ran in:  12.105914831161499
Exciton, frame 33005 ran in:  11.742348432540894
Exciton, frame 33006 ran in:  11.723431587219238
Exciton, frame 33007 ran in:  11.772016048431396
Exciton, frame 33008 ran in:  11.81407618522644
Exciton, frame 33009 ran in:  11.891886234283447
Exciton, frame 33010 ran in:  11.75048041343689
Exciton, frame 33011 ran in:  11.714766502380371
Exciton, frame 33012 ran in:  11.563370704650879
Exciton, frame 33013 ran in:  11.949018478393555
Exciton, frame 33014 ran in:  11.9100182056427
Exciton, frame 33015 ran in:  12.149696111679077
Exciton, frame 33016 ran in:  11.882134199142456
Exciton, frame 33017 ran in:  12.207292556762695
Exciton, frame 33018 ran in:  11.886669874191284
Exciton, frame 33019 ran in:  11.869479656219482
Exciton, frame 33020 ran in:  12.202705383300781
Exciton, frame 33021 ran in:  11.979349613189697
Exciton, frame 33022 ran in:  11.747905492782593
Exciton, frame 33023 ran in:  12.016124725341797
Exciton, frame 33024 ran in:  12.155704736709595
Exciton, frame 33025 ran in:  11.995054960250854
Exciton, frame 33026 ran in:  11.805424928665161
Exciton, frame 33027 ran in:  12.31946325302124
Exciton, frame 33028 ran in:  11.789690971374512
Exciton, frame 33029 ran in:  11.723658084869385
Exciton, frame 33030 ran in:  11.937212467193604
Exciton, frame 33031 ran in:  12.009942531585693
Exciton, frame 33032 ran in:  12.065711736679077
Exciton, frame 33033 ran in:  11.955366849899292
Exciton, frame 33034 ran in:  11.912142276763916
Exciton, frame 33035 ran in:  12.145410299301147
Exciton, frame 33036 ran in:  12.232794761657715
Exciton, frame 33037 ran in:  12.031641960144043
Exciton, frame 33038 ran in:  12.072956323623657
Exciton, frame 33039 ran in:  11.96050214767456
Exciton, frame 33040 ran in:  11.741934776306152
Exciton, frame 33041 ran in:  11.836568117141724
Exciton, frame 33042 ran in:  12.172932624816895
Exciton, frame 33043 ran in:  11.755155801773071
Exciton, frame 33044 ran in:  11.619328737258911
Exciton, frame 33045 ran in:  12.26158094406128
Exciton, frame 33046 ran in:  11.621647596359253
Exciton, frame 33047 ran in:  12.386880874633789
Exciton, frame 33048 ran in:  11.896523475646973
Exciton, frame 33049 ran in:  12.086163520812988
Exciton, frame 33050 ran in:  11.918728113174438
Exciton, frame 33051 ran in:  12.020374059677124
Exciton, frame 33052 ran in:  12.144094467163086
Exciton, frame 33053 ran in:  11.929865598678589
Exciton, frame 33054 ran in:  12.027253866195679
Exciton, frame 33055 ran in:  11.955323934555054
Exciton, frame 33056 ran in:  11.94573450088501
Exciton, frame 33057 ran in:  11.952645540237427
Exciton, frame 33058 ran in:  12.139968633651733
Exciton, frame 33059 ran in:  12.215960025787354
Exciton, frame 33060 ran in:  11.867059230804443
Exciton, frame 33061 ran in:  11.950082540512085
Exciton, frame 33062 ran in:  11.849654912948608
Exciton, frame 33063 ran in:  11.78669285774231
Exciton, frame 33064 ran in:  12.027721643447876
Exciton, frame 33065 ran in:  11.952046155929565
Exciton, frame 33066 ran in:  11.741594076156616
Exciton, frame 33067 ran in:  12.240959882736206
Exciton, frame 33068 ran in:  13.576926708221436
Exciton, frame 33069 ran in:  12.011645317077637
Exciton, frame 33070 ran in:  11.879928350448608
Exciton, frame 33071 ran in:  11.941405296325684
Exciton, frame 33072 ran in:  11.921057939529419
Exciton, frame 33073 ran in:  12.08628797531128
Exciton, frame 33074 ran in:  12.196007013320923
Exciton, frame 33075 ran in:  12.11068058013916
Exciton, frame 33076 ran in:  11.816302061080933
Exciton, frame 33077 ran in:  11.95409893989563
Exciton, frame 33078 ran in:  11.895894765853882
Exciton, frame 33079 ran in:  11.694084167480469
Exciton, frame 33080 ran in:  11.746968030929565
Exciton, frame 33081 ran in:  11.723004579544067
Exciton, frame 33082 ran in:  11.843584775924683
Exciton, frame 33083 ran in:  11.896996021270752
Exciton, frame 33084 ran in:  11.978450298309326
Exciton, frame 33085 ran in:  12.000611305236816
Exciton, frame 33086 ran in:  11.992230892181396
Exciton, frame 33087 ran in:  11.978448867797852
Exciton, frame 33088 ran in:  11.935588359832764
Exciton, frame 33089 ran in:  11.782174110412598
