cpu-bind=MASK - bp1-compute093, task 4294967295 4294967295 [0]: mask 0xf78ffff78fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.090245 secs
Exciton, frame 36000 ran in:  13.501383066177368
Exciton, frame 36001 ran in:  12.488075017929077
Exciton, frame 36002 ran in:  11.921835660934448
Exciton, frame 36003 ran in:  12.271842956542969
Exciton, frame 36004 ran in:  12.22177505493164
Exciton, frame 36005 ran in:  12.03794550895691
Exciton, frame 36006 ran in:  11.83744215965271
Exciton, frame 36007 ran in:  11.84314227104187
Exciton, frame 36008 ran in:  11.979954242706299
Exciton, frame 36009 ran in:  12.066583395004272
Exciton, frame 36010 ran in:  11.780559301376343
Exciton, frame 36011 ran in:  12.393569946289062
Exciton, frame 36012 ran in:  11.578121423721313
Exciton, frame 36013 ran in:  12.004833221435547
Exciton, frame 36014 ran in:  12.10685920715332
Exciton, frame 36015 ran in:  12.316425561904907
Exciton, frame 36016 ran in:  12.280957221984863
Exciton, frame 36017 ran in:  11.833612203598022
Exciton, frame 36018 ran in:  12.185044765472412
Exciton, frame 36019 ran in:  12.269015312194824
Exciton, frame 36020 ran in:  12.807061433792114
Exciton, frame 36021 ran in:  12.096274137496948
Exciton, frame 36022 ran in:  12.296688079833984
Exciton, frame 36023 ran in:  11.678131341934204
Exciton, frame 36024 ran in:  12.0024733543396
Exciton, frame 36025 ran in:  12.337779760360718
Exciton, frame 36026 ran in:  12.511574983596802
Exciton, frame 36027 ran in:  11.937129259109497
Exciton, frame 36028 ran in:  11.73752236366272
Exciton, frame 36029 ran in:  11.730549097061157
Exciton, frame 36030 ran in:  12.230182409286499
Exciton, frame 36031 ran in:  13.106986284255981
Exciton, frame 36032 ran in:  12.143979549407959
Exciton, frame 36033 ran in:  12.093992233276367
Exciton, frame 36034 ran in:  11.868750810623169
Exciton, frame 36035 ran in:  12.289688348770142
Exciton, frame 36036 ran in:  11.933646440505981
Exciton, frame 36037 ran in:  11.758232355117798
Exciton, frame 36038 ran in:  11.905093908309937
Exciton, frame 36039 ran in:  12.007635116577148
Exciton, frame 36040 ran in:  11.818162679672241
Exciton, frame 36041 ran in:  12.352813005447388
Exciton, frame 36042 ran in:  11.74817705154419
Exciton, frame 36043 ran in:  12.290361404418945
Exciton, frame 36044 ran in:  11.902549505233765
Exciton, frame 36045 ran in:  11.8267662525177
Exciton, frame 36046 ran in:  11.647299766540527
Exciton, frame 36047 ran in:  11.805619239807129
Exciton, frame 36048 ran in:  11.914316892623901
Exciton, frame 36049 ran in:  12.050309181213379
Exciton, frame 36050 ran in:  11.84796953201294
Exciton, frame 36051 ran in:  11.95722770690918
Exciton, frame 36052 ran in:  12.016040325164795
Exciton, frame 36053 ran in:  12.091434240341187
Exciton, frame 36054 ran in:  12.272968053817749
Exciton, frame 36055 ran in:  12.274638175964355
Exciton, frame 36056 ran in:  12.170369625091553
Exciton, frame 36057 ran in:  12.479175567626953
Exciton, frame 36058 ran in:  11.897078037261963
Exciton, frame 36059 ran in:  12.063889026641846
Exciton, frame 36060 ran in:  12.122758626937866
Exciton, frame 36061 ran in:  12.056163787841797
Exciton, frame 36062 ran in:  12.840922117233276
Exciton, frame 36063 ran in:  12.404679536819458
Exciton, frame 36064 ran in:  11.650269746780396
Exciton, frame 36065 ran in:  11.745469808578491
Exciton, frame 36066 ran in:  11.913383483886719
Exciton, frame 36067 ran in:  12.0696382522583
Exciton, frame 36068 ran in:  12.267484664916992
Exciton, frame 36069 ran in:  11.964126348495483
Exciton, frame 36070 ran in:  11.851731300354004
Exciton, frame 36071 ran in:  12.443125009536743
Exciton, frame 36072 ran in:  12.01909589767456
Exciton, frame 36073 ran in:  11.723687171936035
Exciton, frame 36074 ran in:  12.164071559906006
Exciton, frame 36075 ran in:  12.439627408981323
Exciton, frame 36076 ran in:  12.03080439567566
Exciton, frame 36077 ran in:  12.557339668273926
Exciton, frame 36078 ran in:  11.672139167785645
Exciton, frame 36079 ran in:  12.860860109329224
Exciton, frame 36080 ran in:  11.775787591934204
Exciton, frame 36081 ran in:  12.232328653335571
Exciton, frame 36082 ran in:  11.881309509277344
Exciton, frame 36083 ran in:  12.035690307617188
Exciton, frame 36084 ran in:  12.19323205947876
Exciton, frame 36085 ran in:  11.968123197555542
Exciton, frame 36086 ran in:  11.73998498916626
Exciton, frame 36087 ran in:  11.882964849472046
Exciton, frame 36088 ran in:  11.796094417572021
Exciton, frame 36089 ran in:  12.169490098953247
Exciton, frame 36090 ran in:  12.376962423324585
Exciton, frame 36091 ran in:  11.87798023223877
Exciton, frame 36092 ran in:  12.075809240341187
Exciton, frame 36093 ran in:  11.934989929199219
Exciton, frame 36094 ran in:  11.940568923950195
Exciton, frame 36095 ran in:  11.903510093688965
Exciton, frame 36096 ran in:  12.166462659835815
Exciton, frame 36097 ran in:  12.05748701095581
Exciton, frame 36098 ran in:  12.182498931884766
Exciton, frame 36099 ran in:  11.822728872299194
Exciton, frame 36100 ran in:  11.935498476028442
Exciton, frame 36101 ran in:  12.047338962554932
Exciton, frame 36102 ran in:  12.12059736251831
Exciton, frame 36103 ran in:  11.576011419296265
Exciton, frame 36104 ran in:  11.822284698486328
Exciton, frame 36105 ran in:  11.975163221359253
Exciton, frame 36106 ran in:  11.969030857086182
Exciton, frame 36107 ran in:  12.565939664840698
Exciton, frame 36108 ran in:  11.994226217269897
Exciton, frame 36109 ran in:  11.905832529067993
Exciton, frame 36110 ran in:  12.101132154464722
Exciton, frame 36111 ran in:  11.499899864196777
Exciton, frame 36112 ran in:  11.754153966903687
Exciton, frame 36113 ran in:  11.681511640548706
Exciton, frame 36114 ran in:  11.5144944190979
Exciton, frame 36115 ran in:  12.421739339828491
Exciton, frame 36116 ran in:  12.248600482940674
Exciton, frame 36117 ran in:  12.149397134780884
Exciton, frame 36118 ran in:  12.427208423614502
Exciton, frame 36119 ran in:  12.051598072052002
