cpu-bind=MASK - bp1-compute095, task 4294967295 4294967295 [0]: mask 0x3fcfff3fcfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.683531 secs
Exciton, frame 39000 ran in:  12.907028675079346
Exciton, frame 39001 ran in:  11.644794464111328
Exciton, frame 39002 ran in:  11.805585145950317
Exciton, frame 39003 ran in:  11.826893091201782
Exciton, frame 39004 ran in:  12.18002986907959
Exciton, frame 39005 ran in:  11.967067003250122
Exciton, frame 39006 ran in:  11.7466561794281
Exciton, frame 39007 ran in:  12.31725287437439
Exciton, frame 39008 ran in:  11.839537143707275
Exciton, frame 39009 ran in:  11.727722883224487
Exciton, frame 39010 ran in:  11.895121335983276
Exciton, frame 39011 ran in:  11.869865655899048
Exciton, frame 39012 ran in:  11.73747181892395
Exciton, frame 39013 ran in:  12.149290323257446
Exciton, frame 39014 ran in:  12.091125726699829
Exciton, frame 39015 ran in:  11.732293367385864
Exciton, frame 39016 ran in:  12.085659265518188
Exciton, frame 39017 ran in:  11.974262475967407
Exciton, frame 39018 ran in:  11.852980852127075
Exciton, frame 39019 ran in:  11.731123924255371
Exciton, frame 39020 ran in:  12.112777471542358
Exciton, frame 39021 ran in:  12.16716194152832
Exciton, frame 39022 ran in:  11.99924349784851
Exciton, frame 39023 ran in:  12.266554117202759
Exciton, frame 39024 ran in:  11.842818021774292
Exciton, frame 39025 ran in:  12.283613204956055
Exciton, frame 39026 ran in:  12.045102834701538
Exciton, frame 39027 ran in:  11.842112064361572
Exciton, frame 39028 ran in:  11.787679195404053
Exciton, frame 39029 ran in:  12.205275535583496
Exciton, frame 39030 ran in:  11.54089617729187
Exciton, frame 39031 ran in:  11.66101336479187
Exciton, frame 39032 ran in:  11.790821552276611
Exciton, frame 39033 ran in:  11.891951560974121
Exciton, frame 39034 ran in:  11.90893816947937
Exciton, frame 39035 ran in:  11.940824270248413
Exciton, frame 39036 ran in:  11.730305194854736
Exciton, frame 39037 ran in:  11.821303129196167
Exciton, frame 39038 ran in:  12.089865684509277
Exciton, frame 39039 ran in:  12.008404016494751
Exciton, frame 39040 ran in:  11.527097940444946
Exciton, frame 39041 ran in:  11.839521408081055
Exciton, frame 39042 ran in:  11.64513349533081
Exciton, frame 39043 ran in:  12.247206211090088
Exciton, frame 39044 ran in:  12.216174125671387
Exciton, frame 39045 ran in:  11.99674367904663
Exciton, frame 39046 ran in:  11.8326096534729
Exciton, frame 39047 ran in:  11.745848894119263
Exciton, frame 39048 ran in:  11.80777382850647
Exciton, frame 39049 ran in:  11.919597864151001
Exciton, frame 39050 ran in:  12.354876041412354
Exciton, frame 39051 ran in:  11.906258344650269
Exciton, frame 39052 ran in:  11.94455885887146
Exciton, frame 39053 ran in:  12.00963568687439
Exciton, frame 39054 ran in:  12.014689683914185
Exciton, frame 39055 ran in:  11.74295711517334
Exciton, frame 39056 ran in:  11.95047903060913
Exciton, frame 39057 ran in:  12.05656886100769
Exciton, frame 39058 ran in:  11.987191438674927
Exciton, frame 39059 ran in:  12.316001176834106
Exciton, frame 39060 ran in:  12.134366512298584
Exciton, frame 39061 ran in:  11.628989458084106
Exciton, frame 39062 ran in:  11.867228507995605
Exciton, frame 39063 ran in:  11.713358163833618
Exciton, frame 39064 ran in:  11.686872720718384
