cpu-bind=MASK - bp1-compute089, task 4294967295 4294967295 [0]: mask 0xffe7f5ffe7f5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.070396 secs
Exciton, frame 42000 ran in:  14.20509386062622
Exciton, frame 42001 ran in:  12.991246938705444
Exciton, frame 42002 ran in:  13.084277391433716
Exciton, frame 42003 ran in:  12.4094979763031
Exciton, frame 42004 ran in:  12.437626600265503
Exciton, frame 42005 ran in:  12.375860214233398
Exciton, frame 42006 ran in:  12.669652223587036
Exciton, frame 42007 ran in:  13.028119564056396
Exciton, frame 42008 ran in:  12.967931270599365
Exciton, frame 42009 ran in:  12.573864459991455
Exciton, frame 42010 ran in:  12.679570436477661
Exciton, frame 42011 ran in:  12.967356443405151
Exciton, frame 42012 ran in:  12.293570041656494
Exciton, frame 42013 ran in:  12.367984533309937
Exciton, frame 42014 ran in:  12.76248574256897
Exciton, frame 42015 ran in:  12.469332218170166
Exciton, frame 42016 ran in:  12.890017032623291
Exciton, frame 42017 ran in:  13.015123128890991
Exciton, frame 42018 ran in:  12.599398374557495
Exciton, frame 42019 ran in:  12.583264350891113
Exciton, frame 42020 ran in:  12.45566177368164
Exciton, frame 42021 ran in:  12.396546840667725
Exciton, frame 42022 ran in:  12.433299541473389
Exciton, frame 42023 ran in:  12.537961959838867
Exciton, frame 42024 ran in:  12.421534299850464
Exciton, frame 42025 ran in:  12.673165082931519
Exciton, frame 42026 ran in:  12.604138612747192
Exciton, frame 42027 ran in:  12.820369720458984
Exciton, frame 42028 ran in:  12.464064836502075
Exciton, frame 42029 ran in:  12.512511491775513
Exciton, frame 42030 ran in:  12.629500389099121
Exciton, frame 42031 ran in:  12.387157678604126
Exciton, frame 42032 ran in:  12.480092287063599
Exciton, frame 42033 ran in:  12.342043161392212
Exciton, frame 42034 ran in:  12.755774736404419
Exciton, frame 42035 ran in:  12.619182825088501
Exciton, frame 42036 ran in:  12.331817865371704
Exciton, frame 42037 ran in:  12.414996862411499
Exciton, frame 42038 ran in:  12.855521202087402
Exciton, frame 42039 ran in:  12.98255205154419
Exciton, frame 42040 ran in:  12.58217716217041
Exciton, frame 42041 ran in:  12.472318172454834
Exciton, frame 42042 ran in:  12.968328714370728
Exciton, frame 42043 ran in:  12.893260955810547
Exciton, frame 42044 ran in:  12.35172700881958
Exciton, frame 42045 ran in:  12.629613637924194
Exciton, frame 42046 ran in:  12.897963285446167
Exciton, frame 42047 ran in:  12.601892948150635
Exciton, frame 42048 ran in:  12.99113917350769
Exciton, frame 42049 ran in:  12.55932092666626
Exciton, frame 42050 ran in:  12.524713516235352
Exciton, frame 42051 ran in:  12.435031414031982
Exciton, frame 42052 ran in:  12.600252151489258
Exciton, frame 42053 ran in:  12.856172561645508
Exciton, frame 42054 ran in:  12.940006256103516
Exciton, frame 42055 ran in:  12.393473386764526
Exciton, frame 42056 ran in:  13.005102396011353
Exciton, frame 42057 ran in:  12.515145778656006
Exciton, frame 42058 ran in:  12.394094228744507
Exciton, frame 42059 ran in:  12.717963933944702
Exciton, frame 42060 ran in:  12.687341690063477
Exciton, frame 42061 ran in:  12.253488540649414
Exciton, frame 42062 ran in:  12.760207414627075
Exciton, frame 42063 ran in:  12.25594711303711
Exciton, frame 42064 ran in:  12.471853733062744
Exciton, frame 42065 ran in:  12.995601177215576
Exciton, frame 42066 ran in:  13.392816305160522
Exciton, frame 42067 ran in:  13.033865451812744
Exciton, frame 42068 ran in:  12.867304801940918
Exciton, frame 42069 ran in:  12.686660289764404
Exciton, frame 42070 ran in:  12.692249774932861
Exciton, frame 42071 ran in:  13.098925590515137
Exciton, frame 42072 ran in:  12.842600584030151
Exciton, frame 42073 ran in:  12.377942085266113
Exciton, frame 42074 ran in:  12.899000883102417
Exciton, frame 42075 ran in:  12.988249063491821
Exciton, frame 42076 ran in:  12.943375825881958
Exciton, frame 42077 ran in:  13.080110549926758
Exciton, frame 42078 ran in:  13.025827884674072
Exciton, frame 42079 ran in:  13.05931305885315
Exciton, frame 42080 ran in:  12.58166766166687
Exciton, frame 42081 ran in:  12.430777072906494
Exciton, frame 42082 ran in:  12.427001476287842
Exciton, frame 42083 ran in:  12.761731624603271
Exciton, frame 42084 ran in:  12.361244678497314
Exciton, frame 42085 ran in:  12.37004566192627
Exciton, frame 42086 ran in:  13.062693357467651
Exciton, frame 42087 ran in:  12.962172746658325
Exciton, frame 42088 ran in:  12.51171088218689
Exciton, frame 42089 ran in:  12.494861602783203
Exciton, frame 42090 ran in:  12.716099500656128
Exciton, frame 42091 ran in:  13.089994668960571
Exciton, frame 42092 ran in:  13.124042987823486
Exciton, frame 42093 ran in:  13.341620683670044
Exciton, frame 42094 ran in:  12.593815565109253
Exciton, frame 42095 ran in:  13.310806035995483
Exciton, frame 42096 ran in:  13.007444381713867
Exciton, frame 42097 ran in:  13.403907060623169
Exciton, frame 42098 ran in:  13.31850266456604
Exciton, frame 42099 ran in:  13.053764343261719
Exciton, frame 42100 ran in:  12.819279909133911
Exciton, frame 42101 ran in:  13.241411924362183
Exciton, frame 42102 ran in:  12.772685050964355
Exciton, frame 42103 ran in:  13.050163269042969
Exciton, frame 42104 ran in:  13.131084680557251
Exciton, frame 42105 ran in:  13.183553695678711
Exciton, frame 42106 ran in:  12.953160285949707
Exciton, frame 42107 ran in:  13.438568115234375
Exciton, frame 42108 ran in:  13.366575956344604
Exciton, frame 42109 ran in:  13.297792673110962
Exciton, frame 42110 ran in:  12.82107162475586
Exciton, frame 42111 ran in:  13.340829610824585
Exciton, frame 42112 ran in:  12.789600849151611
Exciton, frame 42113 ran in:  13.275740623474121
Exciton, frame 42114 ran in:  13.361677169799805
Exciton, frame 42115 ran in:  13.172872543334961
Exciton, frame 42116 ran in:  13.400286436080933
Exciton, frame 42117 ran in:  13.283922672271729
Exciton, frame 42118 ran in:  13.270341396331787
Exciton, frame 42119 ran in:  12.965692043304443
Exciton, frame 42120 ran in:  13.25758147239685
Exciton, frame 42121 ran in:  12.7716064453125
Exciton, frame 42122 ran in:  13.330684185028076
Exciton, frame 42123 ran in:  12.715801477432251
Exciton, frame 42124 ran in:  12.97155499458313
Exciton, frame 42125 ran in:  13.190281391143799
Exciton, frame 42126 ran in:  13.378277778625488
Exciton, frame 42127 ran in:  12.942536115646362
Exciton, frame 42128 ran in:  13.04086422920227
Exciton, frame 42129 ran in:  12.969788312911987
Exciton, frame 42130 ran in:  12.991698026657104
Exciton, frame 42131 ran in:  13.569346189498901
Exciton, frame 42132 ran in:  13.022606611251831
Exciton, frame 42133 ran in:  12.957977294921875
Exciton, frame 42134 ran in:  12.986290216445923
Exciton, frame 42135 ran in:  13.155283689498901
Exciton, frame 42136 ran in:  12.921101570129395
Exciton, frame 42137 ran in:  12.824974298477173
Exciton, frame 42138 ran in:  13.053019523620605
Exciton, frame 42139 ran in:  13.05705189704895
Exciton, frame 42140 ran in:  12.878132104873657
Exciton, frame 42141 ran in:  12.906137466430664
Exciton, frame 42142 ran in:  12.98798942565918
Exciton, frame 42143 ran in:  12.524329900741577
Exciton, frame 42144 ran in:  12.540407657623291
Exciton, frame 42145 ran in:  12.652493715286255
Exciton, frame 42146 ran in:  13.029340505599976
Exciton, frame 42147 ran in:  12.189618825912476
Exciton, frame 42148 ran in:  12.741411685943604
Exciton, frame 42149 ran in:  12.422000646591187
Exciton, frame 42150 ran in:  12.915908575057983
Exciton, frame 42151 ran in:  13.053922891616821
Exciton, frame 42152 ran in:  12.519367933273315
Exciton, frame 42153 ran in:  12.59664535522461
Exciton, frame 42154 ran in:  12.520019054412842
Exciton, frame 42155 ran in:  12.89285922050476
Exciton, frame 42156 ran in:  13.062121152877808
Exciton, frame 42157 ran in:  12.386797428131104
Exciton, frame 42158 ran in:  13.051090478897095
Exciton, frame 42159 ran in:  12.568350553512573
Exciton, frame 42160 ran in:  12.620009660720825
Exciton, frame 42161 ran in:  12.550140380859375
Exciton, frame 42162 ran in:  12.792707681655884
Exciton, frame 42163 ran in:  12.803434133529663
Exciton, frame 42164 ran in:  12.804428100585938
Exciton, frame 42165 ran in:  12.25146770477295
Exciton, frame 42166 ran in:  12.40498948097229
Exciton, frame 42167 ran in:  12.504943609237671
Exciton, frame 42168 ran in:  12.52940821647644
Exciton, frame 42169 ran in:  13.063839673995972
Exciton, frame 42170 ran in:  12.990171432495117
Exciton, frame 42171 ran in:  12.461760759353638
Exciton, frame 42172 ran in:  12.668076515197754
Exciton, frame 42173 ran in:  13.033163785934448
Exciton, frame 42174 ran in:  12.393707513809204
Exciton, frame 42175 ran in:  12.526432752609253
Exciton, frame 42176 ran in:  12.531234502792358
Exciton, frame 42177 ran in:  12.287965774536133
Exciton, frame 42178 ran in:  12.90850281715393
Exciton, frame 42179 ran in:  12.618463039398193
Exciton, frame 42180 ran in:  12.72594165802002
Exciton, frame 42181 ran in:  12.281409978866577
Exciton, frame 42182 ran in:  12.351554870605469
Exciton, frame 42183 ran in:  12.327394247055054
Exciton, frame 42184 ran in:  12.542471408843994
Exciton, frame 42185 ran in:  12.41474986076355
Exciton, frame 42186 ran in:  12.593101501464844
Exciton, frame 42187 ran in:  12.42106294631958
Exciton, frame 42188 ran in:  12.284586191177368
Exciton, frame 42189 ran in:  12.418495416641235
Exciton, frame 42190 ran in:  12.910616397857666
Exciton, frame 42191 ran in:  12.821261644363403
Exciton, frame 42192 ran in:  12.425301313400269
Exciton, frame 42193 ran in:  12.562900304794312
Exciton, frame 42194 ran in:  12.479523658752441
Exciton, frame 42195 ran in:  12.94535231590271
Exciton, frame 42196 ran in:  13.052489757537842
Exciton, frame 42197 ran in:  12.340723037719727
Exciton, frame 42198 ran in:  12.493807315826416
Exciton, frame 42199 ran in:  12.401495456695557
Exciton, frame 42200 ran in:  12.689764261245728
Exciton, frame 42201 ran in:  12.515365839004517
Exciton, frame 42202 ran in:  12.975839853286743
Exciton, frame 42203 ran in:  12.316875457763672
Exciton, frame 42204 ran in:  12.876651525497437
Exciton, frame 42205 ran in:  12.570159196853638
Exciton, frame 42206 ran in:  12.609497547149658
Exciton, frame 42207 ran in:  13.055673599243164
Exciton, frame 42208 ran in:  12.65617036819458
Exciton, frame 42209 ran in:  12.560113668441772
Exciton, frame 42210 ran in:  12.761241436004639
Exciton, frame 42211 ran in:  12.62674069404602
Exciton, frame 42212 ran in:  12.465750932693481
Exciton, frame 42213 ran in:  12.661864757537842
Exciton, frame 42214 ran in:  12.850758790969849
Exciton, frame 42215 ran in:  12.67832350730896
Exciton, frame 42216 ran in:  12.43134593963623
Exciton, frame 42217 ran in:  12.515868663787842
Exciton, frame 42218 ran in:  12.465258359909058
Exciton, frame 42219 ran in:  12.566842079162598
Exciton, frame 42220 ran in:  12.47874903678894
Exciton, frame 42221 ran in:  12.74950647354126
Exciton, frame 42222 ran in:  12.963152170181274
Exciton, frame 42223 ran in:  13.039936065673828
Exciton, frame 42224 ran in:  12.609458446502686
Exciton, frame 42225 ran in:  12.864081859588623
Exciton, frame 42226 ran in:  12.743596315383911
Exciton, frame 42227 ran in:  12.542440176010132
Exciton, frame 42228 ran in:  12.518726825714111
Exciton, frame 42229 ran in:  12.83971619606018
Exciton, frame 42230 ran in:  12.881276845932007
Exciton, frame 42231 ran in:  12.550713300704956
Exciton, frame 42232 ran in:  12.87075662612915
Exciton, frame 42233 ran in:  12.405096769332886
Exciton, frame 42234 ran in:  12.437547445297241
Exciton, frame 42235 ran in:  13.023248195648193
Exciton, frame 42236 ran in:  13.128507614135742
Exciton, frame 42237 ran in:  12.809305191040039
Exciton, frame 42238 ran in:  13.254674911499023
Exciton, frame 42239 ran in:  12.40663743019104
Exciton, frame 42240 ran in:  12.292830467224121
Exciton, frame 42241 ran in:  12.669320583343506
Exciton, frame 42242 ran in:  12.372413873672485
Exciton, frame 42243 ran in:  12.371992588043213
Exciton, frame 42244 ran in:  12.44553017616272
Exciton, frame 42245 ran in:  12.972076177597046
Exciton, frame 42246 ran in:  12.956656694412231
Exciton, frame 42247 ran in:  12.7678701877594
Exciton, frame 42248 ran in:  12.601310729980469
Exciton, frame 42249 ran in:  12.600828647613525
Exciton, frame 42250 ran in:  12.529637813568115
Exciton, frame 42251 ran in:  12.758074045181274
Exciton, frame 42252 ran in:  12.519972562789917
Exciton, frame 42253 ran in:  12.461450338363647
Exciton, frame 42254 ran in:  12.898043632507324
Exciton, frame 42255 ran in:  12.670346736907959
Exciton, frame 42256 ran in:  13.005804538726807
Exciton, frame 42257 ran in:  12.559125661849976
Exciton, frame 42258 ran in:  12.928648710250854
Exciton, frame 42259 ran in:  12.37004017829895
Exciton, frame 42260 ran in:  12.684988260269165
Exciton, frame 42261 ran in:  12.727542638778687
Exciton, frame 42262 ran in:  13.180548429489136
Exciton, frame 42263 ran in:  12.668980360031128
Exciton, frame 42264 ran in:  12.956243515014648
Exciton, frame 42265 ran in:  12.82170844078064
Exciton, frame 42266 ran in:  12.504426956176758
Exciton, frame 42267 ran in:  12.541116714477539
Exciton, frame 42268 ran in:  12.47490906715393
Exciton, frame 42269 ran in:  12.202879905700684
Exciton, frame 42270 ran in:  12.152488231658936
Exciton, frame 42271 ran in:  12.722736358642578
Exciton, frame 42272 ran in:  13.083351135253906
Exciton, frame 42273 ran in:  12.935979843139648
Exciton, frame 42274 ran in:  12.915038347244263
Exciton, frame 42275 ran in:  12.387427568435669
Exciton, frame 42276 ran in:  12.706830263137817
Exciton, frame 42277 ran in:  12.387059926986694
Exciton, frame 42278 ran in:  12.704751253128052
Exciton, frame 42279 ran in:  12.740751266479492
