cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48000 ran in:  14.731024503707886
Exciton, frame 48001 ran in:  12.933861255645752
Exciton, frame 48002 ran in:  13.631151676177979
Exciton, frame 48003 ran in:  12.883461713790894
Exciton, frame 48004 ran in:  13.04697585105896
Exciton, frame 48005 ran in:  12.708466053009033
Exciton, frame 48006 ran in:  13.041293144226074
Exciton, frame 48007 ran in:  13.057186841964722
Exciton, frame 48008 ran in:  12.971748352050781
Exciton, frame 48009 ran in:  13.239018201828003
Exciton, frame 48010 ran in:  12.57424259185791
Exciton, frame 48011 ran in:  13.236499071121216
Exciton, frame 48012 ran in:  12.405349254608154
Exciton, frame 48013 ran in:  12.287962913513184
Exciton, frame 48014 ran in:  12.263174533843994
Exciton, frame 48015 ran in:  12.66391110420227
Exciton, frame 48016 ran in:  13.075603485107422
Exciton, frame 48017 ran in:  12.814199686050415
Exciton, frame 48018 ran in:  12.821940660476685
Exciton, frame 48019 ran in:  12.694432258605957
Exciton, frame 48020 ran in:  13.093556642532349
Exciton, frame 48021 ran in:  12.881154775619507
Exciton, frame 48022 ran in:  12.310302734375
Exciton, frame 48023 ran in:  12.540563583374023
Exciton, frame 48024 ran in:  12.174335479736328
Exciton, frame 48025 ran in:  13.196995735168457
Exciton, frame 48026 ran in:  12.81819462776184
Exciton, frame 48027 ran in:  12.246930837631226
Exciton, frame 48028 ran in:  13.398224592208862
Exciton, frame 48029 ran in:  12.516162633895874
Exciton, frame 48030 ran in:  12.42703628540039
Exciton, frame 48031 ran in:  13.325253248214722
Exciton, frame 48032 ran in:  12.43185544013977
Exciton, frame 48033 ran in:  13.247522354125977
Exciton, frame 48034 ran in:  13.06418752670288
Exciton, frame 48035 ran in:  13.397629976272583
Exciton, frame 48036 ran in:  13.00975751876831
Exciton, frame 48037 ran in:  13.020745992660522
Exciton, frame 48038 ran in:  13.1298086643219
Exciton, frame 48039 ran in:  12.994285583496094
Exciton, frame 48040 ran in:  12.889720439910889
Exciton, frame 48041 ran in:  12.367623329162598
Exciton, frame 48042 ran in:  13.326513528823853
Exciton, frame 48043 ran in:  12.324663400650024
Exciton, frame 48044 ran in:  12.880572080612183
Exciton, frame 48045 ran in:  12.253112554550171
Exciton, frame 48046 ran in:  12.240701675415039
Exciton, frame 48047 ran in:  12.387954473495483
Exciton, frame 48048 ran in:  13.48152756690979
Exciton, frame 48049 ran in:  13.711981773376465
