cpu-bind=MASK - bp1-compute063, task 4294967295 4294967295 [0]: mask 0xffffb1fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.648379 secs
Exciton, frame 51000 ran in:  14.82605266571045
Exciton, frame 51001 ran in:  13.22862434387207
Exciton, frame 51002 ran in:  12.323439836502075
Exciton, frame 51003 ran in:  12.332775354385376
Exciton, frame 51004 ran in:  13.396205186843872
Exciton, frame 51005 ran in:  12.560840368270874
Exciton, frame 51006 ran in:  13.194202423095703
Exciton, frame 51007 ran in:  12.218841552734375
Exciton, frame 51008 ran in:  13.335014820098877
Exciton, frame 51009 ran in:  13.47498106956482
Exciton, frame 51010 ran in:  11.820484638214111
Exciton, frame 51011 ran in:  11.895657300949097
Exciton, frame 51012 ran in:  12.04868221282959
Exciton, frame 51013 ran in:  11.828758716583252
Exciton, frame 51014 ran in:  11.827566623687744
Exciton, frame 51015 ran in:  11.84493112564087
Exciton, frame 51016 ran in:  12.605689287185669
Exciton, frame 51017 ran in:  12.64183759689331
Exciton, frame 51018 ran in:  12.21993637084961
Exciton, frame 51019 ran in:  11.721009254455566
Exciton, frame 51020 ran in:  11.694847106933594
Exciton, frame 51021 ran in:  12.76053786277771
Exciton, frame 51022 ran in:  12.509858846664429
Exciton, frame 51023 ran in:  11.857050895690918
Exciton, frame 51024 ran in:  13.165391206741333
Exciton, frame 51025 ran in:  12.791824579238892
Exciton, frame 51026 ran in:  13.459858417510986
Exciton, frame 51027 ran in:  12.3177969455719
Exciton, frame 51028 ran in:  13.097010135650635
Exciton, frame 51029 ran in:  12.788962125778198
Exciton, frame 51030 ran in:  13.046380281448364
Exciton, frame 51031 ran in:  12.7392897605896
Exciton, frame 51032 ran in:  12.179864406585693
Exciton, frame 51033 ran in:  12.536321878433228
Exciton, frame 51034 ran in:  12.308184146881104
Exciton, frame 51035 ran in:  13.516135931015015
Exciton, frame 51036 ran in:  12.46648359298706
Exciton, frame 51037 ran in:  13.158955335617065
Exciton, frame 51038 ran in:  13.13631272315979
Exciton, frame 51039 ran in:  13.371059656143188
Exciton, frame 51040 ran in:  11.964786291122437
Exciton, frame 51041 ran in:  12.481194972991943
Exciton, frame 51042 ran in:  13.281728982925415
Exciton, frame 51043 ran in:  12.210992813110352
Exciton, frame 51044 ran in:  11.747578382492065
Exciton, frame 51045 ran in:  11.718417406082153
Exciton, frame 51046 ran in:  12.786922454833984
Exciton, frame 51047 ran in:  11.937511682510376
Exciton, frame 51048 ran in:  13.265114068984985
Exciton, frame 51049 ran in:  11.884167432785034
Exciton, frame 51050 ran in:  11.913391351699829
Exciton, frame 51051 ran in:  11.834206819534302
Exciton, frame 51052 ran in:  13.413377046585083
Exciton, frame 51053 ran in:  11.76610541343689
Exciton, frame 51054 ran in:  11.747817993164062
Exciton, frame 51055 ran in:  13.056602954864502
Exciton, frame 51056 ran in:  11.841297149658203
Exciton, frame 51057 ran in:  12.655977249145508
Exciton, frame 51058 ran in:  11.786529541015625
Exciton, frame 51059 ran in:  13.13479208946228
Exciton, frame 51060 ran in:  12.738776445388794
Exciton, frame 51061 ran in:  11.87063217163086
Exciton, frame 51062 ran in:  13.279709577560425
Exciton, frame 51063 ran in:  11.886715650558472
Exciton, frame 51064 ran in:  12.976759672164917
Exciton, frame 51065 ran in:  11.829849243164062
Exciton, frame 51066 ran in:  12.290332317352295
Exciton, frame 51067 ran in:  12.134748458862305
Exciton, frame 51068 ran in:  12.091216564178467
Exciton, frame 51069 ran in:  11.898344993591309
Exciton, frame 51070 ran in:  12.69624400138855
Exciton, frame 51071 ran in:  13.16469407081604
Exciton, frame 51072 ran in:  11.87900161743164
Exciton, frame 51073 ran in:  11.785714626312256
Exciton, frame 51074 ran in:  12.001143217086792
Exciton, frame 51075 ran in:  12.853461503982544
Exciton, frame 51076 ran in:  11.703470945358276
Exciton, frame 51077 ran in:  11.86132264137268
Exciton, frame 51078 ran in:  11.800025939941406
Exciton, frame 51079 ran in:  11.78246545791626
Exciton, frame 51080 ran in:  12.931987762451172
Exciton, frame 51081 ran in:  13.431331396102905
Exciton, frame 51082 ran in:  13.178483963012695
Exciton, frame 51083 ran in:  11.791365146636963
Exciton, frame 51084 ran in:  12.60440468788147
Exciton, frame 51085 ran in:  11.79260778427124
Exciton, frame 51086 ran in:  13.099574327468872
Exciton, frame 51087 ran in:  12.717923879623413
Exciton, frame 51088 ran in:  11.857301712036133
Exciton, frame 51089 ran in:  11.886472702026367
Exciton, frame 51090 ran in:  11.685234785079956
Exciton, frame 51091 ran in:  11.965921878814697
Exciton, frame 51092 ran in:  13.039509534835815
Exciton, frame 51093 ran in:  11.822181940078735
Exciton, frame 51094 ran in:  11.882386445999146
Exciton, frame 51095 ran in:  13.48469591140747
Exciton, frame 51096 ran in:  11.906620740890503
Exciton, frame 51097 ran in:  12.010565280914307
Exciton, frame 51098 ran in:  13.454751014709473
Exciton, frame 51099 ran in:  11.715364456176758
Exciton, frame 51100 ran in:  12.025615215301514
Exciton, frame 51101 ran in:  11.97771167755127
Exciton, frame 51102 ran in:  11.833852291107178
Exciton, frame 51103 ran in:  11.818591594696045
Exciton, frame 51104 ran in:  11.765931844711304
Exciton, frame 51105 ran in:  11.847437381744385
Exciton, frame 51106 ran in:  12.102252006530762
Exciton, frame 51107 ran in:  12.6375572681427
Exciton, frame 51108 ran in:  12.636101961135864
Exciton, frame 51109 ran in:  11.994749307632446
Exciton, frame 51110 ran in:  11.973569631576538
Exciton, frame 51111 ran in:  11.953381538391113
Exciton, frame 51112 ran in:  13.383036613464355
Exciton, frame 51113 ran in:  13.216247320175171
Exciton, frame 51114 ran in:  13.282330989837646
Exciton, frame 51115 ran in:  13.34331727027893
Exciton, frame 51116 ran in:  11.911551475524902
Exciton, frame 51117 ran in:  11.963421106338501
Exciton, frame 51118 ran in:  11.811325550079346
Exciton, frame 51119 ran in:  13.093304872512817
Exciton, frame 51120 ran in:  11.79057788848877
Exciton, frame 51121 ran in:  11.869765758514404
Exciton, frame 51122 ran in:  11.897871971130371
Exciton, frame 51123 ran in:  11.854542970657349
Exciton, frame 51124 ran in:  12.655450105667114
Exciton, frame 51125 ran in:  12.56999397277832
Exciton, frame 51126 ran in:  12.617477655410767
Exciton, frame 51127 ran in:  12.044183492660522
Exciton, frame 51128 ran in:  12.938195705413818
Exciton, frame 51129 ran in:  11.854391813278198
Exciton, frame 51130 ran in:  12.031586170196533
Exciton, frame 51131 ran in:  13.145148992538452
Exciton, frame 51132 ran in:  13.062105178833008
Exciton, frame 51133 ran in:  12.46230149269104
Exciton, frame 51134 ran in:  13.229658603668213
Exciton, frame 51135 ran in:  11.880038976669312
Exciton, frame 51136 ran in:  11.914880752563477
Exciton, frame 51137 ran in:  12.22801685333252
Exciton, frame 51138 ran in:  12.916970491409302
Exciton, frame 51139 ran in:  12.462172031402588
Exciton, frame 51140 ran in:  13.092547178268433
Exciton, frame 51141 ran in:  13.044479608535767
Exciton, frame 51142 ran in:  11.758715629577637
Exciton, frame 51143 ran in:  12.532088994979858
Exciton, frame 51144 ran in:  12.034074783325195
Exciton, frame 51145 ran in:  11.89887285232544
Exciton, frame 51146 ran in:  11.933876991271973
Exciton, frame 51147 ran in:  11.85161566734314
Exciton, frame 51148 ran in:  13.119342565536499
Exciton, frame 51149 ran in:  11.935772895812988
Exciton, frame 51150 ran in:  11.89875316619873
Exciton, frame 51151 ran in:  13.1258544921875
Exciton, frame 51152 ran in:  12.41229796409607
Exciton, frame 51153 ran in:  12.982922554016113
Exciton, frame 51154 ran in:  11.639201641082764
Exciton, frame 51155 ran in:  13.005212545394897
Exciton, frame 51156 ran in:  11.977847814559937
Exciton, frame 51157 ran in:  12.036246061325073
Exciton, frame 51158 ran in:  12.037829399108887
Exciton, frame 51159 ran in:  11.839195728302002
Exciton, frame 51160 ran in:  11.857672691345215
Exciton, frame 51161 ran in:  12.161845922470093
Exciton, frame 51162 ran in:  11.926344871520996
Exciton, frame 51163 ran in:  11.807906150817871
Exciton, frame 51164 ran in:  13.168609142303467
Exciton, frame 51165 ran in:  13.309595823287964
Exciton, frame 51166 ran in:  12.058561325073242
Exciton, frame 51167 ran in:  13.271408796310425
Exciton, frame 51168 ran in:  11.719037771224976
Exciton, frame 51169 ran in:  11.71083688735962
Exciton, frame 51170 ran in:  13.086539506912231
Exciton, frame 51171 ran in:  11.862322330474854
Exciton, frame 51172 ran in:  11.657449007034302
Exciton, frame 51173 ran in:  11.931765794754028
Exciton, frame 51174 ran in:  11.956528663635254
Exciton, frame 51175 ran in:  11.758177757263184
Exciton, frame 51176 ran in:  11.749671697616577
Exciton, frame 51177 ran in:  11.80403208732605
Exciton, frame 51178 ran in:  11.94777226448059
Exciton, frame 51179 ran in:  11.741652011871338
Exciton, frame 51180 ran in:  11.734893560409546
Exciton, frame 51181 ran in:  13.03639554977417
Exciton, frame 51182 ran in:  12.287025928497314
Exciton, frame 51183 ran in:  11.861550569534302
Exciton, frame 51184 ran in:  11.64688491821289
Exciton, frame 51185 ran in:  12.679076194763184
Exciton, frame 51186 ran in:  11.817825555801392
Exciton, frame 51187 ran in:  12.447461366653442
Exciton, frame 51188 ran in:  11.751342058181763
Exciton, frame 51189 ran in:  13.094406843185425
Exciton, frame 51190 ran in:  11.60963773727417
Exciton, frame 51191 ran in:  13.115230798721313
Exciton, frame 51192 ran in:  11.991227149963379
Exciton, frame 51193 ran in:  11.84229040145874
Exciton, frame 51194 ran in:  11.723253011703491
Exciton, frame 51195 ran in:  11.97857666015625
Exciton, frame 51196 ran in:  12.525286436080933
Exciton, frame 51197 ran in:  11.920459747314453
Exciton, frame 51198 ran in:  11.883400917053223
Exciton, frame 51199 ran in:  12.262037992477417
Exciton, frame 51200 ran in:  13.067396879196167
Exciton, frame 51201 ran in:  11.850531816482544
Exciton, frame 51202 ran in:  12.37434983253479
Exciton, frame 51203 ran in:  12.274799823760986
Exciton, frame 51204 ran in:  11.878545045852661
Exciton, frame 51205 ran in:  11.978129148483276
Exciton, frame 51206 ran in:  11.927728414535522
Exciton, frame 51207 ran in:  13.289615392684937
Exciton, frame 51208 ran in:  13.512446165084839
Exciton, frame 51209 ran in:  11.904052257537842
Exciton, frame 51210 ran in:  11.887792825698853
Exciton, frame 51211 ran in:  12.412797927856445
Exciton, frame 51212 ran in:  12.639524698257446
Exciton, frame 51213 ran in:  11.825763940811157
Exciton, frame 51214 ran in:  11.76016616821289
Exciton, frame 51215 ran in:  13.2229163646698
Exciton, frame 51216 ran in:  11.879603862762451
Exciton, frame 51217 ran in:  11.861161708831787
Exciton, frame 51218 ran in:  11.870896100997925
Exciton, frame 51219 ran in:  13.342593908309937
Exciton, frame 51220 ran in:  12.00666880607605
Exciton, frame 51221 ran in:  11.818410158157349
Exciton, frame 51222 ran in:  11.948299407958984
Exciton, frame 51223 ran in:  13.23214340209961
Exciton, frame 51224 ran in:  12.141591310501099
Exciton, frame 51225 ran in:  11.870909214019775
Exciton, frame 51226 ran in:  13.04677438735962
Exciton, frame 51227 ran in:  11.885057926177979
Exciton, frame 51228 ran in:  12.845501184463501
Exciton, frame 51229 ran in:  12.021430492401123
Exciton, frame 51230 ran in:  12.273378372192383
Exciton, frame 51231 ran in:  11.748018741607666
Exciton, frame 51232 ran in:  11.97860598564148
Exciton, frame 51233 ran in:  12.91645359992981
Exciton, frame 51234 ran in:  13.256646871566772
Exciton, frame 51235 ran in:  12.329338550567627
Exciton, frame 51236 ran in:  11.946244478225708
Exciton, frame 51237 ran in:  11.876280069351196
Exciton, frame 51238 ran in:  11.838245630264282
Exciton, frame 51239 ran in:  11.819796562194824
Exciton, frame 51240 ran in:  11.997889041900635
Exciton, frame 51241 ran in:  11.926940202713013
Exciton, frame 51242 ran in:  11.714411735534668
Exciton, frame 51243 ran in:  11.736883640289307
Exciton, frame 51244 ran in:  11.73867392539978
Exciton, frame 51245 ran in:  12.103678226470947
Exciton, frame 51246 ran in:  11.854336977005005
Exciton, frame 51247 ran in:  11.815780401229858
Exciton, frame 51248 ran in:  12.111289262771606
Exciton, frame 51249 ran in:  12.994132041931152
Exciton, frame 51250 ran in:  12.596040487289429
Exciton, frame 51251 ran in:  11.925243854522705
Exciton, frame 51252 ran in:  12.169787406921387
Exciton, frame 51253 ran in:  13.250087261199951
Exciton, frame 51254 ran in:  12.372302293777466
Exciton, frame 51255 ran in:  12.083399772644043
Exciton, frame 51256 ran in:  11.93965458869934
Exciton, frame 51257 ran in:  11.969912767410278
Exciton, frame 51258 ran in:  11.928423881530762
Exciton, frame 51259 ran in:  11.77920651435852
Exciton, frame 51260 ran in:  11.724801063537598
Exciton, frame 51261 ran in:  11.63220739364624
Exciton, frame 51262 ran in:  11.688804388046265
Exciton, frame 51263 ran in:  11.785594463348389
Exciton, frame 51264 ran in:  11.68742322921753
Exciton, frame 51265 ran in:  12.770514488220215
Exciton, frame 51266 ran in:  11.887750148773193
Exciton, frame 51267 ran in:  11.951094388961792
Exciton, frame 51268 ran in:  11.923417568206787
Exciton, frame 51269 ran in:  12.000486373901367
Exciton, frame 51270 ran in:  12.570392608642578
Exciton, frame 51271 ran in:  12.777055740356445
Exciton, frame 51272 ran in:  11.796957731246948
Exciton, frame 51273 ran in:  11.793626308441162
Exciton, frame 51274 ran in:  11.886274814605713
Exciton, frame 51275 ran in:  11.769330024719238
Exciton, frame 51276 ran in:  11.84792160987854
Exciton, frame 51277 ran in:  12.341082334518433
Exciton, frame 51278 ran in:  11.981830835342407
Exciton, frame 51279 ran in:  11.92505669593811
Exciton, frame 51280 ran in:  11.92832088470459
Exciton, frame 51281 ran in:  12.659717082977295
Exciton, frame 51282 ran in:  12.86610722541809
Exciton, frame 51283 ran in:  11.709176540374756
Exciton, frame 51284 ran in:  11.87736701965332
Exciton, frame 51285 ran in:  11.79561471939087
Exciton, frame 51286 ran in:  11.780693531036377
Exciton, frame 51287 ran in:  13.174675703048706
Exciton, frame 51288 ran in:  12.536095380783081
Exciton, frame 51289 ran in:  11.975664377212524
Exciton, frame 51290 ran in:  11.856779336929321
Exciton, frame 51291 ran in:  11.94571566581726
Exciton, frame 51292 ran in:  11.934961318969727
Exciton, frame 51293 ran in:  11.85511565208435
Exciton, frame 51294 ran in:  11.807002067565918
Exciton, frame 51295 ran in:  11.792742490768433
Exciton, frame 51296 ran in:  11.874455213546753
Exciton, frame 51297 ran in:  11.720748662948608
Exciton, frame 51298 ran in:  13.019184112548828
Exciton, frame 51299 ran in:  13.05809497833252
Exciton, frame 51300 ran in:  11.932618379592896
Exciton, frame 51301 ran in:  11.727993726730347
Exciton, frame 51302 ran in:  11.6807119846344
Exciton, frame 51303 ran in:  12.990557670593262
Exciton, frame 51304 ran in:  11.78103756904602
Exciton, frame 51305 ran in:  11.86837887763977
Exciton, frame 51306 ran in:  11.844398498535156
Exciton, frame 51307 ran in:  12.002103805541992
Exciton, frame 51308 ran in:  11.911928653717041
Exciton, frame 51309 ran in:  11.78108549118042
Exciton, frame 51310 ran in:  13.02367115020752
Exciton, frame 51311 ran in:  11.913107872009277
Exciton, frame 51312 ran in:  11.775945663452148
Exciton, frame 51313 ran in:  11.98584270477295
Exciton, frame 51314 ran in:  11.80023980140686
Exciton, frame 51315 ran in:  11.849445581436157
Exciton, frame 51316 ran in:  11.812188148498535
Exciton, frame 51317 ran in:  11.867396354675293
Exciton, frame 51318 ran in:  11.786449909210205
Exciton, frame 51319 ran in:  11.863373279571533
Exciton, frame 51320 ran in:  11.99590539932251
Exciton, frame 51321 ran in:  11.91880202293396
Exciton, frame 51322 ran in:  11.979187488555908
Exciton, frame 51323 ran in:  12.031065225601196
Exciton, frame 51324 ran in:  11.844713687896729
Exciton, frame 51325 ran in:  11.959416151046753
Exciton, frame 51326 ran in:  11.878084421157837
Exciton, frame 51327 ran in:  13.304610252380371
Exciton, frame 51328 ran in:  13.078234672546387
Exciton, frame 51329 ran in:  11.911848306655884
Exciton, frame 51330 ran in:  11.832811832427979
Exciton, frame 51331 ran in:  12.00703477859497
Exciton, frame 51332 ran in:  13.324166297912598
Exciton, frame 51333 ran in:  12.120548725128174
Exciton, frame 51334 ran in:  12.960466861724854
Exciton, frame 51335 ran in:  13.013607025146484
Exciton, frame 51336 ran in:  11.918456792831421
Exciton, frame 51337 ran in:  11.888469219207764
Exciton, frame 51338 ran in:  11.998229265213013
