cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x1ffffe000000000000000000000000001ffffe00000000000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.122433 secs
Exciton, frame 54000 ran in:  14.87568974494934
Exciton, frame 54001 ran in:  14.088934898376465
Exciton, frame 54002 ran in:  13.849864959716797
Exciton, frame 54003 ran in:  14.314367294311523
Exciton, frame 54004 ran in:  14.028029441833496
Exciton, frame 54005 ran in:  13.70640754699707
Exciton, frame 54006 ran in:  14.131299257278442
Exciton, frame 54007 ran in:  14.274290561676025
Exciton, frame 54008 ran in:  14.350304126739502
Exciton, frame 54009 ran in:  13.884958744049072
Exciton, frame 54010 ran in:  13.647917032241821
Exciton, frame 54011 ran in:  13.59327244758606
Exciton, frame 54012 ran in:  14.211685419082642
Exciton, frame 54013 ran in:  13.656611204147339
Exciton, frame 54014 ran in:  13.615946054458618
Exciton, frame 54015 ran in:  13.272252559661865
Exciton, frame 54016 ran in:  13.95478343963623
Exciton, frame 54017 ran in:  14.222068071365356
Exciton, frame 54018 ran in:  14.128662109375
Exciton, frame 54019 ran in:  14.031150817871094
Exciton, frame 54020 ran in:  14.124008417129517
Exciton, frame 54021 ran in:  15.763904809951782
Exciton, frame 54022 ran in:  15.640397787094116
Exciton, frame 54023 ran in:  15.049888849258423
Exciton, frame 54024 ran in:  14.673944234848022
Exciton, frame 54025 ran in:  16.06164026260376
Exciton, frame 54026 ran in:  15.514899015426636
Exciton, frame 54027 ran in:  15.897833585739136
Exciton, frame 54028 ran in:  15.649755001068115
Exciton, frame 54029 ran in:  15.241139888763428
Exciton, frame 54030 ran in:  15.841616153717041
Exciton, frame 54031 ran in:  15.64706015586853
Exciton, frame 54032 ran in:  15.981650829315186
Exciton, frame 54033 ran in:  16.015337705612183
Exciton, frame 54034 ran in:  16.16018056869507
Exciton, frame 54035 ran in:  15.778769731521606
Exciton, frame 54036 ran in:  14.683034896850586
Exciton, frame 54037 ran in:  16.051072120666504
Exciton, frame 54038 ran in:  16.660438537597656
Exciton, frame 54039 ran in:  15.557801723480225
Exciton, frame 54040 ran in:  14.990738153457642
Exciton, frame 54041 ran in:  15.788569450378418
Exciton, frame 54042 ran in:  14.589585065841675
Exciton, frame 54043 ran in:  16.29681134223938
Exciton, frame 54044 ran in:  15.87501311302185
Exciton, frame 54045 ran in:  15.936617136001587
Exciton, frame 54046 ran in:  14.736408710479736
Exciton, frame 54047 ran in:  15.572055101394653
Exciton, frame 54048 ran in:  15.984621524810791
Exciton, frame 54049 ran in:  16.666099548339844
Exciton, frame 54050 ran in:  15.470451354980469
Exciton, frame 54051 ran in:  15.354382991790771
Exciton, frame 54052 ran in:  16.443779945373535
Exciton, frame 54053 ran in:  15.930778503417969
Exciton, frame 54054 ran in:  16.391289234161377
Exciton, frame 54055 ran in:  15.863821268081665
Exciton, frame 54056 ran in:  16.129843711853027
Exciton, frame 54057 ran in:  15.893279790878296
Exciton, frame 54058 ran in:  15.718274116516113
Exciton, frame 54059 ran in:  15.689015626907349
Exciton, frame 54060 ran in:  14.539178609848022
Exciton, frame 54061 ran in:  14.509822845458984
Exciton, frame 54062 ran in:  15.603627681732178
Exciton, frame 54063 ran in:  15.97556471824646
Exciton, frame 54064 ran in:  16.29657244682312
Exciton, frame 54065 ran in:  16.18352437019348
Exciton, frame 54066 ran in:  14.886352300643921
Exciton, frame 54067 ran in:  15.738932132720947
Exciton, frame 54068 ran in:  14.769678354263306
Exciton, frame 54069 ran in:  15.169999599456787
Exciton, frame 54070 ran in:  15.059332609176636
Exciton, frame 54071 ran in:  15.814281940460205
Exciton, frame 54072 ran in:  15.113230466842651
Exciton, frame 54073 ran in:  16.0271098613739
Exciton, frame 54074 ran in:  15.456068277359009
Exciton, frame 54075 ran in:  15.993835687637329
Exciton, frame 54076 ran in:  16.82415270805359
Exciton, frame 54077 ran in:  15.889021158218384
Exciton, frame 54078 ran in:  14.959889650344849
Exciton, frame 54079 ran in:  14.694330930709839
Exciton, frame 54080 ran in:  15.616020917892456
Exciton, frame 54081 ran in:  14.548689365386963
Exciton, frame 54082 ran in:  14.696814060211182
Exciton, frame 54083 ran in:  15.275800228118896
Exciton, frame 54084 ran in:  15.681419134140015
Exciton, frame 54085 ran in:  16.03252148628235
Exciton, frame 54086 ran in:  15.760310173034668
Exciton, frame 54087 ran in:  15.523854494094849
Exciton, frame 54088 ran in:  16.57193636894226
Exciton, frame 54089 ran in:  16.078290462493896
Exciton, frame 54090 ran in:  15.871808767318726
Exciton, frame 54091 ran in:  14.696052312850952
Exciton, frame 54092 ran in:  15.988585710525513
Exciton, frame 54093 ran in:  15.04233980178833
Exciton, frame 54094 ran in:  15.95500659942627
Exciton, frame 54095 ran in:  15.88938021659851
Exciton, frame 54096 ran in:  15.153488397598267
Exciton, frame 54097 ran in:  14.939020872116089
Exciton, frame 54098 ran in:  14.721299648284912
Exciton, frame 54099 ran in:  15.876529216766357
Exciton, frame 54100 ran in:  15.534467935562134
Exciton, frame 54101 ran in:  15.606268644332886
Exciton, frame 54102 ran in:  15.770200729370117
Exciton, frame 54103 ran in:  16.181169033050537
Exciton, frame 54104 ran in:  15.470383644104004
Exciton, frame 54105 ran in:  14.478181838989258
Exciton, frame 54106 ran in:  16.04947829246521
Exciton, frame 54107 ran in:  14.153687238693237
Exciton, frame 54108 ran in:  14.499480962753296
Exciton, frame 54109 ran in:  15.09607982635498
Exciton, frame 54110 ran in:  14.562523603439331
Exciton, frame 54111 ran in:  16.18415093421936
Exciton, frame 54112 ran in:  15.89711856842041
Exciton, frame 54113 ran in:  15.789900779724121
Exciton, frame 54114 ran in:  16.25748920440674
Exciton, frame 54115 ran in:  16.152252912521362
Exciton, frame 54116 ran in:  14.838692426681519
Exciton, frame 54117 ran in:  15.685445308685303
Exciton, frame 54118 ran in:  15.84305453300476
Exciton, frame 54119 ran in:  14.964180946350098
Exciton, frame 54120 ran in:  15.651862144470215
Exciton, frame 54121 ran in:  15.583486318588257
Exciton, frame 54122 ran in:  14.819628715515137
Exciton, frame 54123 ran in:  15.131794691085815
Exciton, frame 54124 ran in:  15.473445415496826
Exciton, frame 54125 ran in:  15.706133127212524
Exciton, frame 54126 ran in:  15.858558893203735
Exciton, frame 54127 ran in:  15.027081966400146
Exciton, frame 54128 ran in:  15.600744485855103
Exciton, frame 54129 ran in:  16.000996828079224
Exciton, frame 54130 ran in:  15.467057228088379
Exciton, frame 54131 ran in:  14.604367971420288
Exciton, frame 54132 ran in:  15.058326005935669
Exciton, frame 54133 ran in:  16.197996139526367
Exciton, frame 54134 ran in:  15.604565382003784
Exciton, frame 54135 ran in:  16.231810569763184
Exciton, frame 54136 ran in:  15.930700540542603
Exciton, frame 54137 ran in:  16.31785249710083
Exciton, frame 54138 ran in:  15.382368564605713
Exciton, frame 54139 ran in:  14.758806705474854
Exciton, frame 54140 ran in:  16.898966789245605
Exciton, frame 54141 ran in:  15.317039012908936
Exciton, frame 54142 ran in:  15.597831726074219
Exciton, frame 54143 ran in:  16.40307641029358
Exciton, frame 54144 ran in:  15.595191717147827
Exciton, frame 54145 ran in:  15.428914546966553
Exciton, frame 54146 ran in:  15.188605785369873
Exciton, frame 54147 ran in:  15.311999797821045
Exciton, frame 54148 ran in:  16.00399947166443
Exciton, frame 54149 ran in:  15.218775987625122
Exciton, frame 54150 ran in:  16.30603265762329
Exciton, frame 54151 ran in:  15.881692171096802
Exciton, frame 54152 ran in:  15.963411092758179
Exciton, frame 54153 ran in:  14.894102096557617
Exciton, frame 54154 ran in:  15.239450216293335
Exciton, frame 54155 ran in:  15.027528047561646
Exciton, frame 54156 ran in:  14.698121309280396
Exciton, frame 54157 ran in:  15.510254621505737
Exciton, frame 54158 ran in:  16.001172065734863
Exciton, frame 54159 ran in:  15.750608205795288
Exciton, frame 54160 ran in:  15.693719625473022
Exciton, frame 54161 ran in:  14.637536764144897
Exciton, frame 54162 ran in:  16.31940722465515
Exciton, frame 54163 ran in:  15.577146530151367
Exciton, frame 54164 ran in:  16.497424840927124
Exciton, frame 54165 ran in:  14.703336000442505
Exciton, frame 54166 ran in:  15.606109380722046
Exciton, frame 54167 ran in:  15.628473997116089
Exciton, frame 54168 ran in:  15.873329639434814
Exciton, frame 54169 ran in:  15.897266864776611
Exciton, frame 54170 ran in:  15.263258457183838
Exciton, frame 54171 ran in:  14.923089265823364
Exciton, frame 54172 ran in:  15.755788803100586
Exciton, frame 54173 ran in:  16.098273992538452
Exciton, frame 54174 ran in:  15.575563907623291
Exciton, frame 54175 ran in:  16.100343942642212
Exciton, frame 54176 ran in:  16.215406894683838
Exciton, frame 54177 ran in:  15.665443897247314
Exciton, frame 54178 ran in:  16.319034576416016
Exciton, frame 54179 ran in:  15.89673924446106
Exciton, frame 54180 ran in:  16.13778591156006
Exciton, frame 54181 ran in:  15.378796339035034
Exciton, frame 54182 ran in:  15.115934371948242
Exciton, frame 54183 ran in:  15.416405200958252
Exciton, frame 54184 ran in:  16.02499270439148
Exciton, frame 54185 ran in:  15.7699613571167
Exciton, frame 54186 ran in:  15.657968044281006
Exciton, frame 54187 ran in:  15.85870099067688
Exciton, frame 54188 ran in:  16.312836408615112
Exciton, frame 54189 ran in:  16.522269010543823
Exciton, frame 54190 ran in:  15.477282524108887
