cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x107f9fe0000000013000000000000000107f9fe000000001300000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 13.874515 secs
Exciton, frame 60000 ran in:  19.102843046188354
Exciton, frame 60001 ran in:  17.47513508796692
Exciton, frame 60002 ran in:  17.70835590362549
Exciton, frame 60003 ran in:  15.708809614181519
Exciton, frame 60004 ran in:  18.325610637664795
Exciton, frame 60005 ran in:  18.20584797859192
Exciton, frame 60006 ran in:  17.698218822479248
Exciton, frame 60007 ran in:  17.5796856880188
Exciton, frame 60008 ran in:  18.6226065158844
Exciton, frame 60009 ran in:  17.63421106338501
Exciton, frame 60010 ran in:  16.635490655899048
Exciton, frame 60011 ran in:  19.672842264175415
Exciton, frame 60012 ran in:  17.54288935661316
Exciton, frame 60013 ran in:  18.211711883544922
Exciton, frame 60014 ran in:  18.382829427719116
Exciton, frame 60015 ran in:  17.358478784561157
Exciton, frame 60016 ran in:  18.141050338745117
Exciton, frame 60017 ran in:  18.62434983253479
Exciton, frame 60018 ran in:  18.36012601852417
Exciton, frame 60019 ran in:  18.46632719039917
Exciton, frame 60020 ran in:  17.6154727935791
Exciton, frame 60021 ran in:  18.023178100585938
Exciton, frame 60022 ran in:  17.1192045211792
Exciton, frame 60023 ran in:  20.027955770492554
Exciton, frame 60024 ran in:  18.973219394683838
Exciton, frame 60025 ran in:  17.357358694076538
Exciton, frame 60026 ran in:  17.116393327713013
Exciton, frame 60027 ran in:  16.264000415802002
Exciton, frame 60028 ran in:  17.604103565216064
Exciton, frame 60029 ran in:  18.800309419631958
Exciton, frame 60030 ran in:  17.771995544433594
Exciton, frame 60031 ran in:  16.70033574104309
Exciton, frame 60032 ran in:  17.291501998901367
Exciton, frame 60033 ran in:  17.57700538635254
Exciton, frame 60034 ran in:  16.05974793434143
Exciton, frame 60035 ran in:  17.42594623565674
Exciton, frame 60036 ran in:  18.43735980987549
Exciton, frame 60037 ran in:  18.614509105682373
Exciton, frame 60038 ran in:  17.318748235702515
Exciton, frame 60039 ran in:  18.87580633163452
Exciton, frame 60040 ran in:  17.91110348701477
Exciton, frame 60041 ran in:  18.781145095825195
Exciton, frame 60042 ran in:  18.667168140411377
Exciton, frame 60043 ran in:  18.79363465309143
Exciton, frame 60044 ran in:  17.664815664291382
Exciton, frame 60045 ran in:  16.075249910354614
Exciton, frame 60046 ran in:  17.580284118652344
Exciton, frame 60047 ran in:  16.776483058929443
Exciton, frame 60048 ran in:  18.161896467208862
Exciton, frame 60049 ran in:  19.140329122543335
Exciton, frame 60050 ran in:  17.948802947998047
Exciton, frame 60051 ran in:  18.661308526992798
Exciton, frame 60052 ran in:  18.371203184127808
Exciton, frame 60053 ran in:  17.780874013900757
Exciton, frame 60054 ran in:  18.769415140151978
Exciton, frame 60055 ran in:  17.822887897491455
Exciton, frame 60056 ran in:  16.91061496734619
