cpu-bind=MASK - bp1-compute192, task 4294967295 4294967295 [0]: mask 0xfc007ffefc007ffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.852066 secs
Exciton, frame 78000 ran in:  12.967543125152588
Exciton, frame 78001 ran in:  11.469226121902466
Exciton, frame 78002 ran in:  11.020596981048584
Exciton, frame 78003 ran in:  11.54335355758667
Exciton, frame 78004 ran in:  10.786714792251587
Exciton, frame 78005 ran in:  11.378344774246216
Exciton, frame 78006 ran in:  10.984320878982544
Exciton, frame 78007 ran in:  10.87253475189209
Exciton, frame 78008 ran in:  11.031848192214966
Exciton, frame 78009 ran in:  10.866001605987549
Exciton, frame 78010 ran in:  10.87209153175354
Exciton, frame 78011 ran in:  11.127578020095825
Exciton, frame 78012 ran in:  11.167873620986938
Exciton, frame 78013 ran in:  10.895087480545044
Exciton, frame 78014 ran in:  11.249585390090942
Exciton, frame 78015 ran in:  11.004729509353638
Exciton, frame 78016 ran in:  10.859397649765015
Exciton, frame 78017 ran in:  11.057224750518799
Exciton, frame 78018 ran in:  10.748743057250977
Exciton, frame 78019 ran in:  10.406359195709229
Exciton, frame 78020 ran in:  11.08800983428955
Exciton, frame 78021 ran in:  11.171844720840454
Exciton, frame 78022 ran in:  10.945088624954224
Exciton, frame 78023 ran in:  10.70735788345337
Exciton, frame 78024 ran in:  11.603455543518066
Exciton, frame 78025 ran in:  11.69667673110962
Exciton, frame 78026 ran in:  11.158220767974854
Exciton, frame 78027 ran in:  10.762539148330688
Exciton, frame 78028 ran in:  10.558133363723755
Exciton, frame 78029 ran in:  11.22218656539917
Exciton, frame 78030 ran in:  11.1839919090271
Exciton, frame 78031 ran in:  10.875600337982178
Exciton, frame 78032 ran in:  11.26326060295105
Exciton, frame 78033 ran in:  11.1552894115448
Exciton, frame 78034 ran in:  11.054293870925903
Exciton, frame 78035 ran in:  11.218550205230713
Exciton, frame 78036 ran in:  11.155099153518677
Exciton, frame 78037 ran in:  10.743804931640625
Exciton, frame 78038 ran in:  10.92688775062561
Exciton, frame 78039 ran in:  10.95177412033081
Exciton, frame 78040 ran in:  11.36852765083313
Exciton, frame 78041 ran in:  11.217365026473999
Exciton, frame 78042 ran in:  10.905171632766724
Exciton, frame 78043 ran in:  11.457383155822754
Exciton, frame 78044 ran in:  12.834507703781128
Exciton, frame 78045 ran in:  11.054864168167114
Exciton, frame 78046 ran in:  10.851717472076416
Exciton, frame 78047 ran in:  10.90423321723938
Exciton, frame 78048 ran in:  11.257253646850586
Exciton, frame 78049 ran in:  10.62913966178894
Exciton, frame 78050 ran in:  10.341805458068848
Exciton, frame 78051 ran in:  11.075623750686646
Exciton, frame 78052 ran in:  10.930301427841187
Exciton, frame 78053 ran in:  11.109276056289673
Exciton, frame 78054 ran in:  11.100216627120972
Exciton, frame 78055 ran in:  11.05887746810913
Exciton, frame 78056 ran in:  10.832265615463257
Exciton, frame 78057 ran in:  12.637582063674927
Exciton, frame 78058 ran in:  12.335546731948853
Exciton, frame 78059 ran in:  11.412440299987793
Exciton, frame 78060 ran in:  10.741501092910767
Exciton, frame 78061 ran in:  10.83711838722229
Exciton, frame 78062 ran in:  10.735559940338135
Exciton, frame 78063 ran in:  10.895906209945679
Exciton, frame 78064 ran in:  11.007268905639648
Exciton, frame 78065 ran in:  10.854426145553589
Exciton, frame 78066 ran in:  11.104564428329468
Exciton, frame 78067 ran in:  10.478594303131104
Exciton, frame 78068 ran in:  11.143149614334106
Exciton, frame 78069 ran in:  10.916704654693604
Exciton, frame 78070 ran in:  10.703383207321167
Exciton, frame 78071 ran in:  10.872010707855225
Exciton, frame 78072 ran in:  11.474663496017456
Exciton, frame 78073 ran in:  11.104515314102173
Exciton, frame 78074 ran in:  11.071114540100098
Exciton, frame 78075 ran in:  11.416883945465088
Exciton, frame 78076 ran in:  11.361972093582153
Exciton, frame 78077 ran in:  10.800208806991577
Exciton, frame 78078 ran in:  10.917810440063477
Exciton, frame 78079 ran in:  11.229511022567749
Exciton, frame 78080 ran in:  12.27425742149353
Exciton, frame 78081 ran in:  11.869011640548706
Exciton, frame 78082 ran in:  10.86133599281311
Exciton, frame 78083 ran in:  11.212966203689575
Exciton, frame 78084 ran in:  11.501051664352417
Exciton, frame 78085 ran in:  11.257869958877563
Exciton, frame 78086 ran in:  11.176442384719849
Exciton, frame 78087 ran in:  11.01963472366333
Exciton, frame 78088 ran in:  11.220161437988281
Exciton, frame 78089 ran in:  10.612746238708496
Exciton, frame 78090 ran in:  11.341946601867676
Exciton, frame 78091 ran in:  11.072137832641602
Exciton, frame 78092 ran in:  11.108659982681274
Exciton, frame 78093 ran in:  11.165866613388062
Exciton, frame 78094 ran in:  11.252694606781006
Exciton, frame 78095 ran in:  11.550132274627686
Exciton, frame 78096 ran in:  10.866360187530518
Exciton, frame 78097 ran in:  10.616170644760132
Exciton, frame 78098 ran in:  11.121522188186646
Exciton, frame 78099 ran in:  11.063788175582886
Exciton, frame 78100 ran in:  10.71825647354126
Exciton, frame 78101 ran in:  10.807432889938354
Exciton, frame 78102 ran in:  11.686147212982178
Exciton, frame 78103 ran in:  11.267063856124878
Exciton, frame 78104 ran in:  11.40003514289856
Exciton, frame 78105 ran in:  11.235955715179443
Exciton, frame 78106 ran in:  11.248850107192993
Exciton, frame 78107 ran in:  11.299200534820557
Exciton, frame 78108 ran in:  10.81371021270752
Exciton, frame 78109 ran in:  10.885410070419312
Exciton, frame 78110 ran in:  11.056689262390137
Exciton, frame 78111 ran in:  11.140982389450073
Exciton, frame 78112 ran in:  11.31209421157837
Exciton, frame 78113 ran in:  11.129657745361328
Exciton, frame 78114 ran in:  10.696722030639648
Exciton, frame 78115 ran in:  10.811920881271362
Exciton, frame 78116 ran in:  11.082630634307861
Exciton, frame 78117 ran in:  11.285950422286987
Exciton, frame 78118 ran in:  11.281832218170166
Exciton, frame 78119 ran in:  11.137194633483887
Exciton, frame 78120 ran in:  11.481875896453857
Exciton, frame 78121 ran in:  10.564261198043823
Exciton, frame 78122 ran in:  10.9026517868042
Exciton, frame 78123 ran in:  10.98423433303833
Exciton, frame 78124 ran in:  10.700577020645142
Exciton, frame 78125 ran in:  11.028488874435425
Exciton, frame 78126 ran in:  11.007532358169556
Exciton, frame 78127 ran in:  11.463599920272827
Exciton, frame 78128 ran in:  10.972853899002075
Exciton, frame 78129 ran in:  10.877696990966797
Exciton, frame 78130 ran in:  10.637398958206177
Exciton, frame 78131 ran in:  11.109746217727661
Exciton, frame 78132 ran in:  10.939197301864624
Exciton, frame 78133 ran in:  10.543001174926758
Exciton, frame 78134 ran in:  10.962056398391724
Exciton, frame 78135 ran in:  10.90993618965149
Exciton, frame 78136 ran in:  10.859506368637085
Exciton, frame 78137 ran in:  10.673032999038696
Exciton, frame 78138 ran in:  11.005584716796875
