cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0x3f3fff003f3fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.103444 secs
Exciton, frame 87000 ran in:  13.008038997650146
Exciton, frame 87001 ran in:  13.112411260604858
Exciton, frame 87002 ran in:  12.803854703903198
Exciton, frame 87003 ran in:  13.15185832977295
Exciton, frame 87004 ran in:  12.878894805908203
Exciton, frame 87005 ran in:  13.01983094215393
Exciton, frame 87006 ran in:  13.182779550552368
Exciton, frame 87007 ran in:  13.331818342208862
Exciton, frame 87008 ran in:  13.48746919631958
Exciton, frame 87009 ran in:  13.520484447479248
Exciton, frame 87010 ran in:  13.024439573287964
Exciton, frame 87011 ran in:  12.935765743255615
Exciton, frame 87012 ran in:  12.80120062828064
Exciton, frame 87013 ran in:  13.005016326904297
Exciton, frame 87014 ran in:  13.067589521408081
Exciton, frame 87015 ran in:  13.053600311279297
Exciton, frame 87016 ran in:  13.025744438171387
Exciton, frame 87017 ran in:  13.312193870544434
Exciton, frame 87018 ran in:  12.624441623687744
Exciton, frame 87019 ran in:  13.150789260864258
Exciton, frame 87020 ran in:  13.132060766220093
Exciton, frame 87021 ran in:  13.00910997390747
Exciton, frame 87022 ran in:  13.00283670425415
Exciton, frame 87023 ran in:  13.231891870498657
Exciton, frame 87024 ran in:  13.277573347091675
Exciton, frame 87025 ran in:  12.907857418060303
Exciton, frame 87026 ran in:  13.44225263595581
Exciton, frame 87027 ran in:  13.077659368515015
Exciton, frame 87028 ran in:  13.12777829170227
Exciton, frame 87029 ran in:  13.26893925666809
Exciton, frame 87030 ran in:  13.022659301757812
Exciton, frame 87031 ran in:  12.917694091796875
Exciton, frame 87032 ran in:  12.701252222061157
Exciton, frame 87033 ran in:  13.131944417953491
Exciton, frame 87034 ran in:  13.179455757141113
Exciton, frame 87035 ran in:  12.817951917648315
Exciton, frame 87036 ran in:  13.175873517990112
Exciton, frame 87037 ran in:  13.161409854888916
Exciton, frame 87038 ran in:  13.359806776046753
Exciton, frame 87039 ran in:  13.115537643432617
Exciton, frame 87040 ran in:  13.093076944351196
Exciton, frame 87041 ran in:  13.051417112350464
Exciton, frame 87042 ran in:  13.223067045211792
Exciton, frame 87043 ran in:  13.395042657852173
Exciton, frame 87044 ran in:  13.048604726791382
Exciton, frame 87045 ran in:  13.440419912338257
Exciton, frame 87046 ran in:  13.358383417129517
Exciton, frame 87047 ran in:  12.910300731658936
Exciton, frame 87048 ran in:  12.670509338378906
Exciton, frame 87049 ran in:  13.065294981002808
Exciton, frame 87050 ran in:  12.766964435577393
Exciton, frame 87051 ran in:  13.253283262252808
Exciton, frame 87052 ran in:  13.481340885162354
Exciton, frame 87053 ran in:  13.005018949508667
Exciton, frame 87054 ran in:  13.27651047706604
Exciton, frame 87055 ran in:  12.878325939178467
Exciton, frame 87056 ran in:  13.35576605796814
Exciton, frame 87057 ran in:  13.121828556060791
Exciton, frame 87058 ran in:  13.484331130981445
Exciton, frame 87059 ran in:  13.011555910110474
Exciton, frame 87060 ran in:  13.275573968887329
Exciton, frame 87061 ran in:  13.094308853149414
Exciton, frame 87062 ran in:  13.507609844207764
Exciton, frame 87063 ran in:  13.333530902862549
Exciton, frame 87064 ran in:  13.03800106048584
Exciton, frame 87065 ran in:  13.149397134780884
Exciton, frame 87066 ran in:  12.967945337295532
Exciton, frame 87067 ran in:  12.823486328125
Exciton, frame 87068 ran in:  13.079895973205566
Exciton, frame 87069 ran in:  13.304030656814575
Exciton, frame 87070 ran in:  13.234637022018433
Exciton, frame 87071 ran in:  13.303399562835693
Exciton, frame 87072 ran in:  13.430397748947144
Exciton, frame 87073 ran in:  13.323235750198364
Exciton, frame 87074 ran in:  12.970882892608643
Exciton, frame 87075 ran in:  12.944554567337036
Exciton, frame 87076 ran in:  13.282474994659424
Exciton, frame 87077 ran in:  13.13809609413147
Exciton, frame 87078 ran in:  13.063320398330688
Exciton, frame 87079 ran in:  12.783752679824829
Exciton, frame 87080 ran in:  13.131541013717651
Exciton, frame 87081 ran in:  13.369225263595581
Exciton, frame 87082 ran in:  13.14684271812439
Exciton, frame 87083 ran in:  13.08541226387024
Exciton, frame 87084 ran in:  13.252108335494995
Exciton, frame 87085 ran in:  13.295795679092407
Exciton, frame 87086 ran in:  13.299198627471924
Exciton, frame 87087 ran in:  13.3245210647583
Exciton, frame 87088 ran in:  13.4559326171875
Exciton, frame 87089 ran in:  13.198240280151367
Exciton, frame 87090 ran in:  12.547215461730957
Exciton, frame 87091 ran in:  12.973862886428833
Exciton, frame 87092 ran in:  13.313788175582886
Exciton, frame 87093 ran in:  13.561151504516602
Exciton, frame 87094 ran in:  13.354631185531616
Exciton, frame 87095 ran in:  13.017894506454468
Exciton, frame 87096 ran in:  13.221433639526367
Exciton, frame 87097 ran in:  13.180393695831299
Exciton, frame 87098 ran in:  13.401265621185303
Exciton, frame 87099 ran in:  12.937238693237305
Exciton, frame 87100 ran in:  13.04276442527771
Exciton, frame 87101 ran in:  13.457202672958374
Exciton, frame 87102 ran in:  13.506380081176758
Exciton, frame 87103 ran in:  13.37977647781372
Exciton, frame 87104 ran in:  12.900937795639038
Exciton, frame 87105 ran in:  12.970646381378174
Exciton, frame 87106 ran in:  12.804328918457031
Exciton, frame 87107 ran in:  12.88426399230957
Exciton, frame 87108 ran in:  13.325408458709717
Exciton, frame 87109 ran in:  12.932783126831055
Exciton, frame 87110 ran in:  13.309895515441895
Exciton, frame 87111 ran in:  12.975502490997314
Exciton, frame 87112 ran in:  13.089101791381836
Exciton, frame 87113 ran in:  13.339947938919067
Exciton, frame 87114 ran in:  12.816006183624268
Exciton, frame 87115 ran in:  12.654201030731201
Exciton, frame 87116 ran in:  13.06831693649292
Exciton, frame 87117 ran in:  13.030405521392822
Exciton, frame 87118 ran in:  12.97566032409668
Exciton, frame 87119 ran in:  13.140369176864624
Exciton, frame 87120 ran in:  12.945724248886108
Exciton, frame 87121 ran in:  13.329282283782959
Exciton, frame 87122 ran in:  13.020731687545776
Exciton, frame 87123 ran in:  13.294051885604858
Exciton, frame 87124 ran in:  13.057557106018066
Exciton, frame 87125 ran in:  13.16460633277893
Exciton, frame 87126 ran in:  12.918238162994385
Exciton, frame 87127 ran in:  13.18164348602295
Exciton, frame 87128 ran in:  13.007675409317017
Exciton, frame 87129 ran in:  13.03364872932434
Exciton, frame 87130 ran in:  13.16016936302185
Exciton, frame 87131 ran in:  13.071850061416626
Exciton, frame 87132 ran in:  13.135994911193848
Exciton, frame 87133 ran in:  13.241686820983887
Exciton, frame 87134 ran in:  13.228318214416504
Exciton, frame 87135 ran in:  13.366004228591919
