cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9000 ran in:  13.005473375320435
Exciton, frame 9001 ran in:  12.145269393920898
Exciton, frame 9002 ran in:  12.11756682395935
Exciton, frame 9003 ran in:  12.239044666290283
Exciton, frame 9004 ran in:  12.49757170677185
Exciton, frame 9005 ran in:  12.325779676437378
Exciton, frame 9006 ran in:  12.34827470779419
Exciton, frame 9007 ran in:  12.181547403335571
Exciton, frame 9008 ran in:  12.32705545425415
Exciton, frame 9009 ran in:  12.574413776397705
Exciton, frame 9010 ran in:  12.018473386764526
Exciton, frame 9011 ran in:  12.277383089065552
Exciton, frame 9012 ran in:  12.316791296005249
Exciton, frame 9013 ran in:  12.686226844787598
Exciton, frame 9014 ran in:  12.32729959487915
Exciton, frame 9015 ran in:  12.463696956634521
Exciton, frame 9016 ran in:  12.188875436782837
Exciton, frame 9017 ran in:  11.871474266052246
Exciton, frame 9018 ran in:  12.180275440216064
Exciton, frame 9019 ran in:  12.176680564880371
Exciton, frame 9020 ran in:  12.150842189788818
Exciton, frame 9021 ran in:  11.94258999824524
Exciton, frame 9022 ran in:  12.407358407974243
Exciton, frame 9023 ran in:  12.318003416061401
Exciton, frame 9024 ran in:  12.584234476089478
Exciton, frame 9025 ran in:  12.459688901901245
Exciton, frame 9026 ran in:  12.313910722732544
Exciton, frame 9027 ran in:  12.250673770904541
Exciton, frame 9028 ran in:  12.636369943618774
Exciton, frame 9029 ran in:  12.425859212875366
Exciton, frame 9030 ran in:  12.738016128540039
Exciton, frame 9031 ran in:  12.199562788009644
Exciton, frame 9032 ran in:  12.521034240722656
Exciton, frame 9033 ran in:  12.567203521728516
Exciton, frame 9034 ran in:  12.737653493881226
Exciton, frame 9035 ran in:  12.646836519241333
Exciton, frame 9036 ran in:  12.449168682098389
Exciton, frame 9037 ran in:  12.085447788238525
Exciton, frame 9038 ran in:  12.596766948699951
Exciton, frame 9039 ran in:  12.206541299819946
Exciton, frame 9040 ran in:  12.08581280708313
Exciton, frame 9041 ran in:  12.510844469070435
Exciton, frame 9042 ran in:  12.229279041290283
Exciton, frame 9043 ran in:  12.139256000518799
Exciton, frame 9044 ran in:  12.35489821434021
Exciton, frame 9045 ran in:  12.41853141784668
Exciton, frame 9046 ran in:  12.669438600540161
Exciton, frame 9047 ran in:  12.592201709747314
Exciton, frame 9048 ran in:  12.325574398040771
Exciton, frame 9049 ran in:  12.34831166267395
Exciton, frame 9050 ran in:  12.152541637420654
Exciton, frame 9051 ran in:  12.220378398895264
Exciton, frame 9052 ran in:  12.53619122505188
Exciton, frame 9053 ran in:  12.020160675048828
Exciton, frame 9054 ran in:  12.181315422058105
Exciton, frame 9055 ran in:  12.564106464385986
Exciton, frame 9056 ran in:  12.27461314201355
Exciton, frame 9057 ran in:  12.489543676376343
Exciton, frame 9058 ran in:  12.528017044067383
Exciton, frame 9059 ran in:  12.388416051864624
Exciton, frame 9060 ran in:  12.554868221282959
Exciton, frame 9061 ran in:  12.52871060371399
Exciton, frame 9062 ran in:  12.242348909378052
Exciton, frame 9063 ran in:  12.177743673324585
