cpu-bind=MASK - bp1-compute126, task 4294967295 4294967295 [0]: mask 0xff9edfff9edf set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.997831 secs
Exciton, frame 99000 ran in:  14.733784675598145
Exciton, frame 99001 ran in:  13.30320692062378
Exciton, frame 99002 ran in:  13.569932222366333
Exciton, frame 99003 ran in:  13.198467493057251
Exciton, frame 99004 ran in:  13.265090703964233
Exciton, frame 99005 ran in:  13.235926628112793
Exciton, frame 99006 ran in:  12.809043884277344
Exciton, frame 99007 ran in:  13.147545337677002
Exciton, frame 99008 ran in:  13.311824798583984
Exciton, frame 99009 ran in:  13.146589756011963
Exciton, frame 99010 ran in:  12.867665767669678
Exciton, frame 99011 ran in:  12.893531799316406
Exciton, frame 99012 ran in:  13.62381386756897
Exciton, frame 99013 ran in:  12.767504215240479
Exciton, frame 99014 ran in:  13.044918775558472
Exciton, frame 99015 ran in:  12.7867271900177
Exciton, frame 99016 ran in:  13.225063562393188
Exciton, frame 99017 ran in:  13.320991277694702
Exciton, frame 99018 ran in:  12.852702856063843
Exciton, frame 99019 ran in:  12.983779430389404
Exciton, frame 99020 ran in:  13.367510080337524
Exciton, frame 99021 ran in:  12.844272375106812
Exciton, frame 99022 ran in:  12.843839645385742
Exciton, frame 99023 ran in:  12.641947984695435
Exciton, frame 99024 ran in:  13.04743242263794
Exciton, frame 99025 ran in:  13.085224628448486
Exciton, frame 99026 ran in:  13.051976203918457
Exciton, frame 99027 ran in:  13.01078724861145
Exciton, frame 99028 ran in:  12.97765588760376
Exciton, frame 99029 ran in:  13.13967490196228
Exciton, frame 99030 ran in:  13.251347303390503
Exciton, frame 99031 ran in:  12.966826915740967
Exciton, frame 99032 ran in:  13.011533260345459
Exciton, frame 99033 ran in:  13.145074367523193
Exciton, frame 99034 ran in:  13.180268287658691
Exciton, frame 99035 ran in:  13.267405033111572
Exciton, frame 99036 ran in:  12.871654748916626
Exciton, frame 99037 ran in:  13.158225297927856
Exciton, frame 99038 ran in:  13.307955741882324
Exciton, frame 99039 ran in:  13.043156862258911
Exciton, frame 99040 ran in:  13.198259830474854
Exciton, frame 99041 ran in:  13.11390995979309
Exciton, frame 99042 ran in:  13.047255039215088
Exciton, frame 99043 ran in:  13.135437250137329
Exciton, frame 99044 ran in:  12.628478288650513
Exciton, frame 99045 ran in:  12.651353597640991
Exciton, frame 99046 ran in:  12.546761512756348
Exciton, frame 99047 ran in:  12.940843343734741
Exciton, frame 99048 ran in:  13.010056257247925
Exciton, frame 99049 ran in:  13.050243139266968
Exciton, frame 99050 ran in:  12.99885106086731
Exciton, frame 99051 ran in:  12.722765684127808
Exciton, frame 99052 ran in:  12.624428510665894
Exciton, frame 99053 ran in:  12.651375532150269
Exciton, frame 99054 ran in:  12.875293731689453
Exciton, frame 99055 ran in:  12.639806747436523
Exciton, frame 99056 ran in:  12.997817277908325
Exciton, frame 99057 ran in:  12.928927898406982
Exciton, frame 99058 ran in:  13.212364196777344
Exciton, frame 99059 ran in:  12.700955390930176
Exciton, frame 99060 ran in:  12.567384958267212
Exciton, frame 99061 ran in:  12.764044523239136
Exciton, frame 99062 ran in:  12.758181810379028
Exciton, frame 99063 ran in:  12.904594898223877
Exciton, frame 99064 ran in:  12.613378524780273
Exciton, frame 99065 ran in:  12.733398199081421
Exciton, frame 99066 ran in:  13.012315511703491
Exciton, frame 99067 ran in:  13.000761985778809
