cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12000 ran in:  14.83776569366455
Exciton, frame 12001 ran in:  13.790221691131592
Exciton, frame 12002 ran in:  13.844547510147095
Exciton, frame 12003 ran in:  13.420070171356201
Exciton, frame 12004 ran in:  13.290315389633179
Exciton, frame 12005 ran in:  13.286192893981934
Exciton, frame 12006 ran in:  13.5200674533844
Exciton, frame 12007 ran in:  13.413660287857056
Exciton, frame 12008 ran in:  13.332478761672974
Exciton, frame 12009 ran in:  13.304338693618774
Exciton, frame 12010 ran in:  13.410868883132935
Exciton, frame 12011 ran in:  13.527076482772827
Exciton, frame 12012 ran in:  13.925868272781372
Exciton, frame 12013 ran in:  13.460646152496338
Exciton, frame 12014 ran in:  13.4938063621521
Exciton, frame 12015 ran in:  13.779584884643555
Exciton, frame 12016 ran in:  13.337966442108154
Exciton, frame 12017 ran in:  13.836585760116577
Exciton, frame 12018 ran in:  13.836708784103394
Exciton, frame 12019 ran in:  13.496993064880371
Exciton, frame 12020 ran in:  13.225977182388306
Exciton, frame 12021 ran in:  13.292668342590332
Exciton, frame 12022 ran in:  13.439939498901367
Exciton, frame 12023 ran in:  13.643720388412476
Exciton, frame 12024 ran in:  13.525393962860107
Exciton, frame 12025 ran in:  13.542007446289062
Exciton, frame 12026 ran in:  13.597188949584961
Exciton, frame 12027 ran in:  13.501251459121704
Exciton, frame 12028 ran in:  13.560073614120483
Exciton, frame 12029 ran in:  13.601910829544067
Exciton, frame 12030 ran in:  13.526447057723999
Exciton, frame 12031 ran in:  13.370099067687988
Exciton, frame 12032 ran in:  13.33124303817749
Exciton, frame 12033 ran in:  13.762803792953491
Exciton, frame 12034 ran in:  13.565069913864136
Exciton, frame 12035 ran in:  13.271909475326538
Exciton, frame 12036 ran in:  13.20780348777771
Exciton, frame 12037 ran in:  13.895077466964722
Exciton, frame 12038 ran in:  13.877928972244263
Exciton, frame 12039 ran in:  13.699800729751587
Exciton, frame 12040 ran in:  13.559654235839844
Exciton, frame 12041 ran in:  13.723928213119507
Exciton, frame 12042 ran in:  13.654244899749756
Exciton, frame 12043 ran in:  13.293267011642456
Exciton, frame 12044 ran in:  13.553536176681519
Exciton, frame 12045 ran in:  13.588778972625732
Exciton, frame 12046 ran in:  13.238870859146118
Exciton, frame 12047 ran in:  13.447800874710083
Exciton, frame 12048 ran in:  13.187574625015259
Exciton, frame 12049 ran in:  13.459619760513306
Exciton, frame 12050 ran in:  13.398995637893677
Exciton, frame 12051 ran in:  13.507948875427246
Exciton, frame 12052 ran in:  13.715842485427856
Exciton, frame 12053 ran in:  13.667836427688599
Exciton, frame 12054 ran in:  13.6151762008667
Exciton, frame 12055 ran in:  14.003711462020874
Exciton, frame 12056 ran in:  13.53482723236084
Exciton, frame 12057 ran in:  13.507917404174805
Exciton, frame 12058 ran in:  13.274017810821533
Exciton, frame 12059 ran in:  13.625718116760254
Exciton, frame 12060 ran in:  13.65394139289856
Exciton, frame 12061 ran in:  13.235189437866211
Exciton, frame 12062 ran in:  13.246663331985474
Exciton, frame 12063 ran in:  13.501771926879883
Exciton, frame 12064 ran in:  13.543680667877197
