cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16000 ran in:  14.195932865142822
Exciton, frame 16001 ran in:  13.385251522064209
Exciton, frame 16002 ran in:  12.658085346221924
Exciton, frame 16003 ran in:  13.204862833023071
Exciton, frame 16004 ran in:  13.101841688156128
Exciton, frame 16005 ran in:  13.764374732971191
Exciton, frame 16006 ran in:  13.03359580039978
Exciton, frame 16007 ran in:  13.485916376113892
Exciton, frame 16008 ran in:  13.353221893310547
Exciton, frame 16009 ran in:  13.38710880279541
Exciton, frame 16010 ran in:  13.34691858291626
Exciton, frame 16011 ran in:  13.188917875289917
Exciton, frame 16012 ran in:  13.190694570541382
Exciton, frame 16013 ran in:  12.791110515594482
Exciton, frame 16014 ran in:  12.889307260513306
Exciton, frame 16015 ran in:  13.286422967910767
Exciton, frame 16016 ran in:  13.544851064682007
Exciton, frame 16017 ran in:  14.091533422470093
Exciton, frame 16018 ran in:  13.994156122207642
Exciton, frame 16019 ran in:  13.680403232574463
Exciton, frame 16020 ran in:  14.17322325706482
Exciton, frame 16021 ran in:  13.31745171546936
Exciton, frame 16022 ran in:  13.89176344871521
Exciton, frame 16023 ran in:  12.903621673583984
Exciton, frame 16024 ran in:  14.155659198760986
Exciton, frame 16025 ran in:  13.669816732406616
Exciton, frame 16026 ran in:  13.138652086257935
Exciton, frame 16027 ran in:  13.861608266830444
Exciton, frame 16028 ran in:  13.745195150375366
Exciton, frame 16029 ran in:  13.96910548210144
Exciton, frame 16030 ran in:  14.221954345703125
Exciton, frame 16031 ran in:  13.662622213363647
Exciton, frame 16032 ran in:  13.260453939437866
Exciton, frame 16033 ran in:  13.862076997756958
Exciton, frame 16034 ran in:  13.978517770767212
Exciton, frame 16035 ran in:  13.903316259384155
Exciton, frame 16036 ran in:  12.61291766166687
Exciton, frame 16037 ran in:  13.85398244857788
Exciton, frame 16038 ran in:  14.172673225402832
Exciton, frame 16039 ran in:  13.880560159683228
Exciton, frame 16040 ran in:  13.839123249053955
Exciton, frame 16041 ran in:  13.803971529006958
Exciton, frame 16042 ran in:  13.512372970581055
Exciton, frame 16043 ran in:  13.927770853042603
Exciton, frame 16044 ran in:  13.40683650970459
Exciton, frame 16045 ran in:  13.935276985168457
Exciton, frame 16046 ran in:  14.208415031433105
Exciton, frame 16047 ran in:  12.765785217285156
Exciton, frame 16048 ran in:  14.184357404708862
