cpu-bind=MASK - bp1-compute172, task 4294967295 4294967295 [0]: mask 0xfff00ff0fff00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.102647 secs
Exciton, frame 24000 ran in:  14.205503225326538
Exciton, frame 24001 ran in:  13.805517673492432
Exciton, frame 24002 ran in:  13.868382453918457
Exciton, frame 24003 ran in:  14.131404876708984
Exciton, frame 24004 ran in:  13.461511850357056
Exciton, frame 24005 ran in:  13.149468898773193
Exciton, frame 24006 ran in:  14.1743745803833
Exciton, frame 24007 ran in:  13.417535066604614
Exciton, frame 24008 ran in:  13.354006052017212
Exciton, frame 24009 ran in:  13.242007493972778
Exciton, frame 24010 ran in:  14.08869481086731
Exciton, frame 24011 ran in:  13.134321928024292
Exciton, frame 24012 ran in:  13.254104137420654
Exciton, frame 24013 ran in:  13.074670553207397
Exciton, frame 24014 ran in:  13.150744438171387
Exciton, frame 24015 ran in:  13.552111864089966
Exciton, frame 24016 ran in:  13.942373991012573
Exciton, frame 24017 ran in:  13.353826999664307
Exciton, frame 24018 ran in:  13.145642280578613
Exciton, frame 24019 ran in:  13.369445562362671
Exciton, frame 24020 ran in:  13.209588527679443
Exciton, frame 24021 ran in:  14.06450891494751
Exciton, frame 24022 ran in:  14.08359169960022
Exciton, frame 24023 ran in:  13.406282186508179
Exciton, frame 24024 ran in:  13.565321207046509
Exciton, frame 24025 ran in:  14.047343730926514
Exciton, frame 24026 ran in:  14.051788091659546
Exciton, frame 24027 ran in:  13.396791219711304
Exciton, frame 24028 ran in:  13.151622772216797
Exciton, frame 24029 ran in:  13.223302841186523
Exciton, frame 24030 ran in:  14.028440237045288
Exciton, frame 24031 ran in:  13.30509877204895
Exciton, frame 24032 ran in:  14.06428074836731
Exciton, frame 24033 ran in:  14.004489660263062
Exciton, frame 24034 ran in:  12.79960012435913
Exciton, frame 24035 ran in:  13.45211935043335
Exciton, frame 24036 ran in:  13.354681730270386
Exciton, frame 24037 ran in:  14.403655052185059
Exciton, frame 24038 ran in:  14.534313440322876
Exciton, frame 24039 ran in:  14.457571744918823
Exciton, frame 24040 ran in:  13.803621530532837
Exciton, frame 24041 ran in:  13.81852126121521
Exciton, frame 24042 ran in:  13.652450799942017
Exciton, frame 24043 ran in:  13.526880979537964
Exciton, frame 24044 ran in:  13.795502662658691
Exciton, frame 24045 ran in:  13.813496828079224
Exciton, frame 24046 ran in:  13.627980709075928
Exciton, frame 24047 ran in:  13.463107347488403
Exciton, frame 24048 ran in:  13.770479440689087
Exciton, frame 24049 ran in:  14.132744789123535
Exciton, frame 24050 ran in:  13.796388626098633
Exciton, frame 24051 ran in:  13.191910982131958
Exciton, frame 24052 ran in:  14.180028676986694
Exciton, frame 24053 ran in:  13.403676509857178
Exciton, frame 24054 ran in:  13.152780532836914
Exciton, frame 24055 ran in:  14.210191011428833
Exciton, frame 24056 ran in:  13.940138101577759
Exciton, frame 24057 ran in:  14.018474817276001
Exciton, frame 24058 ran in:  14.157067060470581
Exciton, frame 24059 ran in:  13.300136089324951
Exciton, frame 24060 ran in:  13.588254928588867
Exciton, frame 24061 ran in:  13.430124044418335
