cpu-bind=MASK - bp1-compute212, task 4294967295 4294967295 [0]: mask 0xffff3210ffff3210 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 53.755255 secs
Exciton, frame 32000 ran in:  15.920358419418335
Exciton, frame 32001 ran in:  13.962142705917358
Exciton, frame 32002 ran in:  11.151301622390747
Exciton, frame 32003 ran in:  11.03156852722168
Exciton, frame 32004 ran in:  10.553027868270874
Exciton, frame 32005 ran in:  10.582104206085205
Exciton, frame 32006 ran in:  11.316600561141968
Exciton, frame 32007 ran in:  12.425628423690796
Exciton, frame 32008 ran in:  11.479260206222534
Exciton, frame 32009 ran in:  10.577613353729248
Exciton, frame 32010 ran in:  10.631499767303467
Exciton, frame 32011 ran in:  11.129040718078613
Exciton, frame 32012 ran in:  11.191103458404541
Exciton, frame 32013 ran in:  11.235004425048828
Exciton, frame 32014 ran in:  13.958815336227417
Exciton, frame 32015 ran in:  11.941589117050171
Exciton, frame 32016 ran in:  10.990626573562622
Exciton, frame 32017 ran in:  10.740478038787842
Exciton, frame 32018 ran in:  11.124048233032227
Exciton, frame 32019 ran in:  13.876103162765503
Exciton, frame 32020 ran in:  11.21125340461731
Exciton, frame 32021 ran in:  11.716058492660522
Exciton, frame 32022 ran in:  10.453779458999634
Exciton, frame 32023 ran in:  10.40909719467163
Exciton, frame 32024 ran in:  14.364234924316406
Exciton, frame 32025 ran in:  11.53444504737854
Exciton, frame 32026 ran in:  10.812928438186646
Exciton, frame 32027 ran in:  14.383070707321167
Exciton, frame 32028 ran in:  10.696081399917603
Exciton, frame 32029 ran in:  10.602927446365356
Exciton, frame 32030 ran in:  14.028461694717407
Exciton, frame 32031 ran in:  13.45747184753418
Exciton, frame 32032 ran in:  10.670260906219482
Exciton, frame 32033 ran in:  15.535818815231323
Exciton, frame 32034 ran in:  11.182292222976685
Exciton, frame 32035 ran in:  10.359097957611084
Exciton, frame 32036 ran in:  10.592600107192993
Exciton, frame 32037 ran in:  12.793681383132935
Exciton, frame 32038 ran in:  14.077762126922607
Exciton, frame 32039 ran in:  14.495439291000366
Exciton, frame 32040 ran in:  12.488635301589966
Exciton, frame 32041 ran in:  13.331665277481079
Exciton, frame 32042 ran in:  14.113407611846924
Exciton, frame 32043 ran in:  10.984575748443604
Exciton, frame 32044 ran in:  11.718152284622192
Exciton, frame 32045 ran in:  13.909791946411133
Exciton, frame 32046 ran in:  13.95574951171875
Exciton, frame 32047 ran in:  12.6239173412323
Exciton, frame 32048 ran in:  11.569056510925293
Exciton, frame 32049 ran in:  16.15123176574707
Exciton, frame 32050 ran in:  13.265910625457764
Exciton, frame 32051 ran in:  11.59435248374939
Exciton, frame 32052 ran in:  12.563965559005737
Exciton, frame 32053 ran in:  13.695952415466309
Exciton, frame 32054 ran in:  12.596006155014038
Exciton, frame 32055 ran in:  10.415698528289795
Exciton, frame 32056 ran in:  10.51520586013794
Exciton, frame 32057 ran in:  11.023446083068848
Exciton, frame 32058 ran in:  14.668232202529907
Exciton, frame 32059 ran in:  12.730089664459229
Exciton, frame 32060 ran in:  12.70036005973816
Exciton, frame 32061 ran in:  13.9020254611969
Exciton, frame 32062 ran in:  13.547680616378784
Exciton, frame 32063 ran in:  12.947259902954102
Exciton, frame 32064 ran in:  11.674984693527222
Exciton, frame 32065 ran in:  13.058532238006592
Exciton, frame 32066 ran in:  10.639615297317505
Exciton, frame 32067 ran in:  10.825442552566528
Exciton, frame 32068 ran in:  14.754594087600708
Exciton, frame 32069 ran in:  14.037957668304443
Exciton, frame 32070 ran in:  11.687152624130249
Exciton, frame 32071 ran in:  10.813439846038818
Exciton, frame 32072 ran in:  11.748238325119019
Exciton, frame 32073 ran in:  10.531261205673218
Exciton, frame 32074 ran in:  10.734274864196777
Exciton, frame 32075 ran in:  10.751089572906494
Exciton, frame 32076 ran in:  11.115650415420532
Exciton, frame 32077 ran in:  10.4765944480896
Exciton, frame 32078 ran in:  10.54793119430542
Exciton, frame 32079 ran in:  10.567750453948975
Exciton, frame 32080 ran in:  10.571556091308594
Exciton, frame 32081 ran in:  11.076672792434692
Exciton, frame 32082 ran in:  11.490187883377075
Exciton, frame 32083 ran in:  10.585777282714844
Exciton, frame 32084 ran in:  10.50630235671997
Exciton, frame 32085 ran in:  10.458812952041626
Exciton, frame 32086 ran in:  11.242753028869629
Exciton, frame 32087 ran in:  12.828941583633423
Exciton, frame 32088 ran in:  10.484205961227417
Exciton, frame 32089 ran in:  10.547668695449829
Exciton, frame 32090 ran in:  15.491577386856079
Exciton, frame 32091 ran in:  14.485665321350098
Exciton, frame 32092 ran in:  10.562627077102661
Exciton, frame 32093 ran in:  11.486629962921143
Exciton, frame 32094 ran in:  11.18582558631897
Exciton, frame 32095 ran in:  11.071354627609253
