cpu-bind=MASK - bp1-compute175, task 4294967295 4294967295 [0]: mask 0x1ffeff001ffeff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 36.232964 secs
Exciton, frame 36000 ran in:  12.466641426086426
Exciton, frame 36001 ran in:  11.537179231643677
Exciton, frame 36002 ran in:  11.496808767318726
Exciton, frame 36003 ran in:  11.375234365463257
Exciton, frame 36004 ran in:  11.371904134750366
Exciton, frame 36005 ran in:  11.520665168762207
Exciton, frame 36006 ran in:  11.581004858016968
Exciton, frame 36007 ran in:  11.465437650680542
Exciton, frame 36008 ran in:  11.652466535568237
Exciton, frame 36009 ran in:  11.579709768295288
Exciton, frame 36010 ran in:  11.631251335144043
Exciton, frame 36011 ran in:  11.639298915863037
Exciton, frame 36012 ran in:  11.432225227355957
Exciton, frame 36013 ran in:  11.989012002944946
Exciton, frame 36014 ran in:  11.437924146652222
Exciton, frame 36015 ran in:  11.464298009872437
Exciton, frame 36016 ran in:  11.356487512588501
Exciton, frame 36017 ran in:  11.596656560897827
Exciton, frame 36018 ran in:  11.622579574584961
Exciton, frame 36019 ran in:  12.127761125564575
Exciton, frame 36020 ran in:  11.619107961654663
Exciton, frame 36021 ran in:  11.667542695999146
Exciton, frame 36022 ran in:  11.57585883140564
Exciton, frame 36023 ran in:  11.433730363845825
Exciton, frame 36024 ran in:  11.6447594165802
Exciton, frame 36025 ran in:  11.635287046432495
Exciton, frame 36026 ran in:  11.536290168762207
Exciton, frame 36027 ran in:  11.535934686660767
Exciton, frame 36028 ran in:  11.586425304412842
Exciton, frame 36029 ran in:  11.778088569641113
Exciton, frame 36030 ran in:  11.480808019638062
Exciton, frame 36031 ran in:  11.519925355911255
Exciton, frame 36032 ran in:  11.344822883605957
Exciton, frame 36033 ran in:  11.599134683609009
Exciton, frame 36034 ran in:  11.485982418060303
Exciton, frame 36035 ran in:  11.558266401290894
Exciton, frame 36036 ran in:  11.4203941822052
Exciton, frame 36037 ran in:  11.612505674362183
Exciton, frame 36038 ran in:  11.62084436416626
Exciton, frame 36039 ran in:  11.389914989471436
Exciton, frame 36040 ran in:  11.498328447341919
Exciton, frame 36041 ran in:  11.774556398391724
Exciton, frame 36042 ran in:  11.482977628707886
Exciton, frame 36043 ran in:  11.667398452758789
Exciton, frame 36044 ran in:  11.54735541343689
Exciton, frame 36045 ran in:  11.778183221817017
Exciton, frame 36046 ran in:  11.732192754745483
Exciton, frame 36047 ran in:  11.465662956237793
Exciton, frame 36048 ran in:  11.356380939483643
Exciton, frame 36049 ran in:  11.479051113128662
Exciton, frame 36050 ran in:  11.583495855331421
Exciton, frame 36051 ran in:  11.520848989486694
Exciton, frame 36052 ran in:  11.638579368591309
Exciton, frame 36053 ran in:  12.111006259918213
Exciton, frame 36054 ran in:  11.368204593658447
Exciton, frame 36055 ran in:  11.909218311309814
Exciton, frame 36056 ran in:  11.891050815582275
Exciton, frame 36057 ran in:  11.694334745407104
Exciton, frame 36058 ran in:  11.541840553283691
Exciton, frame 36059 ran in:  11.863654613494873
Exciton, frame 36060 ran in:  12.387656927108765
Exciton, frame 36061 ran in:  11.399194478988647
Exciton, frame 36062 ran in:  11.508854150772095
Exciton, frame 36063 ran in:  11.491925954818726
Exciton, frame 36064 ran in:  11.530658960342407
Exciton, frame 36065 ran in:  11.61152195930481
Exciton, frame 36066 ran in:  11.787667036056519
Exciton, frame 36067 ran in:  11.4512779712677
Exciton, frame 36068 ran in:  11.58483338356018
Exciton, frame 36069 ran in:  11.53263807296753
Exciton, frame 36070 ran in:  11.39345645904541
Exciton, frame 36071 ran in:  11.672695875167847
Exciton, frame 36072 ran in:  11.337712287902832
Exciton, frame 36073 ran in:  11.603397130966187
Exciton, frame 36074 ran in:  11.629038333892822
Exciton, frame 36075 ran in:  11.657330751419067
Exciton, frame 36076 ran in:  11.56530475616455
Exciton, frame 36077 ran in:  12.800807237625122
