cpu-bind=MASK - bp1-compute213, task 4294967295 4294967295 [0]: mask 0x1e01feff1e01feff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.447200 secs
Exciton, frame 4000 ran in:  14.215436697006226
Exciton, frame 4001 ran in:  10.63411545753479
Exciton, frame 4002 ran in:  12.768095254898071
Exciton, frame 4003 ran in:  10.309682607650757
Exciton, frame 4004 ran in:  12.05107831954956
Exciton, frame 4005 ran in:  10.47356128692627
Exciton, frame 4006 ran in:  12.55815315246582
Exciton, frame 4007 ran in:  12.279359102249146
Exciton, frame 4008 ran in:  12.53242564201355
Exciton, frame 4009 ran in:  11.237491846084595
Exciton, frame 4010 ran in:  12.05237865447998
Exciton, frame 4011 ran in:  12.633277654647827
Exciton, frame 4012 ran in:  12.521447896957397
Exciton, frame 4013 ran in:  12.624885082244873
Exciton, frame 4014 ran in:  12.731678009033203
Exciton, frame 4015 ran in:  11.136255741119385
Exciton, frame 4016 ran in:  11.671361446380615
Exciton, frame 4017 ran in:  11.086144924163818
Exciton, frame 4018 ran in:  12.333301782608032
Exciton, frame 4019 ran in:  11.435573101043701
Exciton, frame 4020 ran in:  10.644525527954102
Exciton, frame 4021 ran in:  10.679381370544434
Exciton, frame 4022 ran in:  10.740192174911499
Exciton, frame 4023 ran in:  10.729836225509644
Exciton, frame 4024 ran in:  10.705975770950317
Exciton, frame 4025 ran in:  11.183586597442627
Exciton, frame 4026 ran in:  10.754199743270874
Exciton, frame 4027 ran in:  11.082186698913574
Exciton, frame 4028 ran in:  10.851983308792114
Exciton, frame 4029 ran in:  10.85646915435791
Exciton, frame 4030 ran in:  10.636345863342285
Exciton, frame 4031 ran in:  10.699246644973755
Exciton, frame 4032 ran in:  10.639954566955566
Exciton, frame 4033 ran in:  10.642798662185669
Exciton, frame 4034 ran in:  10.956025123596191
Exciton, frame 4035 ran in:  11.118302822113037
Exciton, frame 4036 ran in:  10.797497510910034
Exciton, frame 4037 ran in:  10.843069314956665
Exciton, frame 4038 ran in:  10.951104879379272
Exciton, frame 4039 ran in:  10.634011268615723
Exciton, frame 4040 ran in:  10.868052959442139
Exciton, frame 4041 ran in:  10.551053524017334
Exciton, frame 4042 ran in:  10.622973203659058
Exciton, frame 4043 ran in:  10.701467037200928
Exciton, frame 4044 ran in:  10.661713600158691
Exciton, frame 4045 ran in:  10.944398880004883
Exciton, frame 4046 ran in:  10.685675382614136
Exciton, frame 4047 ran in:  10.753627300262451
Exciton, frame 4048 ran in:  10.709274768829346
Exciton, frame 4049 ran in:  10.31480598449707
Exciton, frame 4050 ran in:  10.721368551254272
Exciton, frame 4051 ran in:  10.87372875213623
Exciton, frame 4052 ran in:  10.618577480316162
Exciton, frame 4053 ran in:  10.785086870193481
Exciton, frame 4054 ran in:  10.74813437461853
Exciton, frame 4055 ran in:  11.710653066635132
Exciton, frame 4056 ran in:  11.50189471244812
Exciton, frame 4057 ran in:  11.427825689315796
Exciton, frame 4058 ran in:  11.355112552642822
Exciton, frame 4059 ran in:  11.608952522277832
Exciton, frame 4060 ran in:  11.29994797706604
Exciton, frame 4061 ran in:  11.427961349487305
Exciton, frame 4062 ran in:  11.403270959854126
Exciton, frame 4063 ran in:  11.532271385192871
Exciton, frame 4064 ran in:  11.43507719039917
Exciton, frame 4065 ran in:  11.439927577972412
Exciton, frame 4066 ran in:  11.550493717193604
Exciton, frame 4067 ran in:  11.028717756271362
Exciton, frame 4068 ran in:  11.57787013053894
Exciton, frame 4069 ran in:  11.383959770202637
Exciton, frame 4070 ran in:  11.390594005584717
Exciton, frame 4071 ran in:  10.946923017501831
Exciton, frame 4072 ran in:  11.11831784248352
Exciton, frame 4073 ran in:  11.354875564575195
Exciton, frame 4074 ran in:  11.294651985168457
Exciton, frame 4075 ran in:  11.303322076797485
Exciton, frame 4076 ran in:  11.459774732589722
Exciton, frame 4077 ran in:  11.326143741607666
Exciton, frame 4078 ran in:  11.176467418670654
Exciton, frame 4079 ran in:  11.647322654724121
Exciton, frame 4080 ran in:  11.560028553009033
Exciton, frame 4081 ran in:  11.563040018081665
Exciton, frame 4082 ran in:  11.570648193359375
Exciton, frame 4083 ran in:  11.5672287940979
Exciton, frame 4084 ran in:  11.392641067504883
Exciton, frame 4085 ran in:  11.48180103302002
Exciton, frame 4086 ran in:  11.471866846084595
Exciton, frame 4087 ran in:  11.362084865570068
Exciton, frame 4088 ran in:  11.326265335083008
Exciton, frame 4089 ran in:  11.56786036491394
Exciton, frame 4090 ran in:  11.595289707183838
Exciton, frame 4091 ran in:  11.348297357559204
Exciton, frame 4092 ran in:  11.634387493133545
Exciton, frame 4093 ran in:  11.472481489181519
Exciton, frame 4094 ran in:  11.298291683197021
Exciton, frame 4095 ran in:  11.400920867919922
Exciton, frame 4096 ran in:  11.311768293380737
Exciton, frame 4097 ran in:  11.519663572311401
Exciton, frame 4098 ran in:  11.54325556755066
Exciton, frame 4099 ran in:  10.974601745605469
Exciton, frame 4100 ran in:  10.95265531539917
Exciton, frame 4101 ran in:  11.39335012435913
Exciton, frame 4102 ran in:  11.255239009857178
Exciton, frame 4103 ran in:  11.412919998168945
Exciton, frame 4104 ran in:  11.427799701690674
Exciton, frame 4105 ran in:  11.336327075958252
Exciton, frame 4106 ran in:  11.420473575592041
Exciton, frame 4107 ran in:  11.584834337234497
Exciton, frame 4108 ran in:  11.328469276428223
Exciton, frame 4109 ran in:  11.284483909606934
Exciton, frame 4110 ran in:  11.403793096542358
Exciton, frame 4111 ran in:  11.452507734298706
Exciton, frame 4112 ran in:  11.491986989974976
