cpu-bind=MASK - bp1-compute159, task 4294967295 4294967295 [0]: mask 0xf3f9f0f0f3f9f0f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.296795 secs
Exciton, frame 44000 ran in:  15.04932951927185
Exciton, frame 44001 ran in:  13.971617937088013
Exciton, frame 44002 ran in:  14.601477861404419
Exciton, frame 44003 ran in:  14.333746910095215
Exciton, frame 44004 ran in:  14.441615343093872
Exciton, frame 44005 ran in:  14.51038646697998
Exciton, frame 44006 ran in:  14.169856786727905
Exciton, frame 44007 ran in:  14.14221978187561
Exciton, frame 44008 ran in:  14.351388216018677
Exciton, frame 44009 ran in:  14.45805025100708
Exciton, frame 44010 ran in:  14.316824913024902
Exciton, frame 44011 ran in:  14.478509187698364
Exciton, frame 44012 ran in:  14.164927244186401
Exciton, frame 44013 ran in:  14.252081632614136
Exciton, frame 44014 ran in:  14.036638021469116
Exciton, frame 44015 ran in:  14.2174654006958
Exciton, frame 44016 ran in:  14.414956092834473
Exciton, frame 44017 ran in:  14.222856044769287
Exciton, frame 44018 ran in:  14.35652756690979
Exciton, frame 44019 ran in:  14.439025402069092
Exciton, frame 44020 ran in:  13.96932077407837
Exciton, frame 44021 ran in:  14.52482271194458
Exciton, frame 44022 ran in:  14.42443060874939
Exciton, frame 44023 ran in:  14.429130792617798
Exciton, frame 44024 ran in:  14.181439399719238
Exciton, frame 44025 ran in:  14.08880090713501
Exciton, frame 44026 ran in:  13.661539077758789
Exciton, frame 44027 ran in:  14.236244201660156
Exciton, frame 44028 ran in:  13.965176105499268
Exciton, frame 44029 ran in:  13.852633476257324
Exciton, frame 44030 ran in:  14.334950685501099
Exciton, frame 44031 ran in:  14.69149112701416
Exciton, frame 44032 ran in:  14.474212408065796
Exciton, frame 44033 ran in:  14.60410475730896
Exciton, frame 44034 ran in:  14.531678438186646
Exciton, frame 44035 ran in:  14.314334154129028
Exciton, frame 44036 ran in:  13.915258407592773
Exciton, frame 44037 ran in:  14.704040765762329
Exciton, frame 44038 ran in:  14.73159408569336
Exciton, frame 44039 ran in:  14.708491325378418
Exciton, frame 44040 ran in:  14.433317422866821
Exciton, frame 44041 ran in:  14.606513261795044
Exciton, frame 44042 ran in:  14.822027683258057
Exciton, frame 44043 ran in:  14.975237131118774
Exciton, frame 44044 ran in:  14.693397998809814
Exciton, frame 44045 ran in:  14.452078342437744
Exciton, frame 44046 ran in:  14.797115802764893
Exciton, frame 44047 ran in:  14.268375635147095
Exciton, frame 44048 ran in:  14.340132236480713
Exciton, frame 44049 ran in:  14.454112768173218
Exciton, frame 44050 ran in:  14.3156418800354
Exciton, frame 44051 ran in:  14.5339035987854
Exciton, frame 44052 ran in:  14.384655952453613
Exciton, frame 44053 ran in:  14.168384790420532
Exciton, frame 44054 ran in:  14.636136054992676
Exciton, frame 44055 ran in:  14.53393292427063
Exciton, frame 44056 ran in:  14.260963201522827
Exciton, frame 44057 ran in:  14.558787822723389
Exciton, frame 44058 ran in:  14.712441682815552
Exciton, frame 44059 ran in:  14.140278577804565
Exciton, frame 44060 ran in:  14.323540210723877
Exciton, frame 44061 ran in:  14.240958213806152
Exciton, frame 44062 ran in:  14.685107946395874
Exciton, frame 44063 ran in:  14.373228788375854
Exciton, frame 44064 ran in:  14.223430156707764
Exciton, frame 44065 ran in:  14.409696340560913
Exciton, frame 44066 ran in:  14.403522491455078
Exciton, frame 44067 ran in:  14.159417390823364
Exciton, frame 44068 ran in:  14.026098489761353
Exciton, frame 44069 ran in:  13.642280340194702
Exciton, frame 44070 ran in:  13.81732988357544
Exciton, frame 44071 ran in:  13.78364872932434
Exciton, frame 44072 ran in:  13.761521577835083
Exciton, frame 44073 ran in:  13.791348934173584
Exciton, frame 44074 ran in:  14.017188310623169
Exciton, frame 44075 ran in:  14.540085792541504
Exciton, frame 44076 ran in:  14.325709819793701
Exciton, frame 44077 ran in:  14.159644842147827
Exciton, frame 44078 ran in:  14.402812957763672
Exciton, frame 44079 ran in:  13.778034210205078
Exciton, frame 44080 ran in:  13.953847646713257
Exciton, frame 44081 ran in:  14.344334363937378
Exciton, frame 44082 ran in:  14.532336235046387
Exciton, frame 44083 ran in:  13.869156122207642
Exciton, frame 44084 ran in:  14.047269344329834
Exciton, frame 44085 ran in:  14.910496473312378
Exciton, frame 44086 ran in:  14.905622959136963
Exciton, frame 44087 ran in:  14.337337255477905
Exciton, frame 44088 ran in:  14.583664655685425
Exciton, frame 44089 ran in:  14.189265489578247
Exciton, frame 44090 ran in:  14.443350553512573
Exciton, frame 44091 ran in:  14.336141586303711
Exciton, frame 44092 ran in:  15.065467357635498
Exciton, frame 44093 ran in:  14.70694351196289
Exciton, frame 44094 ran in:  14.760432720184326
Exciton, frame 44095 ran in:  13.737024307250977
Exciton, frame 44096 ran in:  14.461865186691284
Exciton, frame 44097 ran in:  14.25557279586792
Exciton, frame 44098 ran in:  14.087881088256836
Exciton, frame 44099 ran in:  14.422948122024536
Exciton, frame 44100 ran in:  14.37142038345337
Exciton, frame 44101 ran in:  14.161571741104126
Exciton, frame 44102 ran in:  14.696982622146606
Exciton, frame 44103 ran in:  14.766242742538452
Exciton, frame 44104 ran in:  14.557713031768799
Exciton, frame 44105 ran in:  14.769027709960938
Exciton, frame 44106 ran in:  13.944166660308838
Exciton, frame 44107 ran in:  14.033814907073975
Exciton, frame 44108 ran in:  14.46433424949646
Exciton, frame 44109 ran in:  14.246185302734375
Exciton, frame 44110 ran in:  14.443077325820923
Exciton, frame 44111 ran in:  14.609253883361816
Exciton, frame 44112 ran in:  14.405077457427979
Exciton, frame 44113 ran in:  14.42935299873352
Exciton, frame 44114 ran in:  14.971994161605835
Exciton, frame 44115 ran in:  14.32413935661316
Exciton, frame 44116 ran in:  14.40198302268982
Exciton, frame 44117 ran in:  14.292643070220947
Exciton, frame 44118 ran in:  14.52841305732727
Exciton, frame 44119 ran in:  14.13955807685852
Exciton, frame 44120 ran in:  14.378214359283447
Exciton, frame 44121 ran in:  14.293965339660645
Exciton, frame 44122 ran in:  14.747571468353271
Exciton, frame 44123 ran in:  14.667806148529053
Exciton, frame 44124 ran in:  13.908829689025879
Exciton, frame 44125 ran in:  14.764150857925415
Exciton, frame 44126 ran in:  13.928016901016235
Exciton, frame 44127 ran in:  14.49525499343872
Exciton, frame 44128 ran in:  14.75986099243164
Exciton, frame 44129 ran in:  14.431966066360474
Exciton, frame 44130 ran in:  14.047974824905396
Exciton, frame 44131 ran in:  14.571323871612549
Exciton, frame 44132 ran in:  14.372285842895508
Exciton, frame 44133 ran in:  14.316125869750977
Exciton, frame 44134 ran in:  13.87516975402832
Exciton, frame 44135 ran in:  13.94538950920105
Exciton, frame 44136 ran in:  14.056649923324585
Exciton, frame 44137 ran in:  14.081310510635376
Exciton, frame 44138 ran in:  14.10567831993103
Exciton, frame 44139 ran in:  13.897183895111084
Exciton, frame 44140 ran in:  14.40061330795288
Exciton, frame 44141 ran in:  13.988166332244873
Exciton, frame 44142 ran in:  14.281081676483154
Exciton, frame 44143 ran in:  14.121480703353882
Exciton, frame 44144 ran in:  14.501686334609985
Exciton, frame 44145 ran in:  13.926844120025635
Exciton, frame 44146 ran in:  14.365187883377075
Exciton, frame 44147 ran in:  14.234241247177124
Exciton, frame 44148 ran in:  14.478399991989136
Exciton, frame 44149 ran in:  14.429570436477661
Exciton, frame 44150 ran in:  14.502114534378052
Exciton, frame 44151 ran in:  14.081668138504028
Exciton, frame 44152 ran in:  14.432732343673706
Exciton, frame 44153 ran in:  14.206644058227539
Exciton, frame 44154 ran in:  13.809245824813843
