cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfe01fe3bfe01fe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.550530 secs
Exciton, frame 76000 ran in:  15.350735187530518
Exciton, frame 76001 ran in:  13.968276262283325
Exciton, frame 76002 ran in:  13.90091061592102
Exciton, frame 76003 ran in:  13.395535945892334
Exciton, frame 76004 ran in:  13.67739200592041
Exciton, frame 76005 ran in:  13.401223182678223
Exciton, frame 76006 ran in:  13.939067602157593
Exciton, frame 76007 ran in:  13.096857786178589
Exciton, frame 76008 ran in:  13.56105923652649
Exciton, frame 76009 ran in:  13.913225412368774
Exciton, frame 76010 ran in:  13.695236682891846
Exciton, frame 76011 ran in:  13.276820659637451
Exciton, frame 76012 ran in:  13.50930905342102
Exciton, frame 76013 ran in:  13.39026689529419
Exciton, frame 76014 ran in:  13.677551984786987
Exciton, frame 76015 ran in:  13.778731107711792
Exciton, frame 76016 ran in:  13.723422765731812
Exciton, frame 76017 ran in:  13.098931312561035
Exciton, frame 76018 ran in:  13.790882349014282
Exciton, frame 76019 ran in:  14.409319400787354
Exciton, frame 76020 ran in:  14.217698574066162
Exciton, frame 76021 ran in:  13.775776386260986
Exciton, frame 76022 ran in:  14.356488227844238
Exciton, frame 76023 ran in:  14.347952604293823
Exciton, frame 76024 ran in:  14.12544560432434
Exciton, frame 76025 ran in:  13.815696954727173
Exciton, frame 76026 ran in:  13.721511840820312
Exciton, frame 76027 ran in:  13.86737608909607
Exciton, frame 76028 ran in:  13.83228850364685
Exciton, frame 76029 ran in:  13.814394235610962
Exciton, frame 76030 ran in:  14.139601469039917
Exciton, frame 76031 ran in:  14.262316465377808
Exciton, frame 76032 ran in:  14.121052026748657
Exciton, frame 76033 ran in:  14.258668661117554
Exciton, frame 76034 ran in:  14.179942607879639
Exciton, frame 76035 ran in:  13.893907308578491
Exciton, frame 76036 ran in:  13.778668880462646
Exciton, frame 76037 ran in:  14.00117826461792
Exciton, frame 76038 ran in:  14.273614883422852
Exciton, frame 76039 ran in:  13.788028478622437
Exciton, frame 76040 ran in:  14.588704824447632
Exciton, frame 76041 ran in:  13.772711038589478
Exciton, frame 76042 ran in:  14.033485889434814
Exciton, frame 76043 ran in:  13.744301080703735
Exciton, frame 76044 ran in:  13.942492485046387
Exciton, frame 76045 ran in:  13.719604253768921
Exciton, frame 76046 ran in:  13.961937665939331
Exciton, frame 76047 ran in:  14.19534707069397
Exciton, frame 76048 ran in:  14.015761137008667
Exciton, frame 76049 ran in:  13.816890954971313
Exciton, frame 76050 ran in:  13.99610185623169
Exciton, frame 76051 ran in:  14.067176103591919
Exciton, frame 76052 ran in:  14.144424438476562
Exciton, frame 76053 ran in:  14.320308685302734
Exciton, frame 76054 ran in:  13.729085445404053
Exciton, frame 76055 ran in:  13.925995111465454
Exciton, frame 76056 ran in:  13.984837532043457
Exciton, frame 76057 ran in:  14.164716243743896
Exciton, frame 76058 ran in:  14.141525983810425
Exciton, frame 76059 ran in:  14.105892658233643
Exciton, frame 76060 ran in:  13.968159198760986
Exciton, frame 76061 ran in:  13.925952196121216
Exciton, frame 76062 ran in:  13.974833250045776
Exciton, frame 76063 ran in:  13.990512132644653
Exciton, frame 76064 ran in:  14.270574569702148
Exciton, frame 76065 ran in:  13.677128553390503
Exciton, frame 76066 ran in:  14.478647708892822
Exciton, frame 76067 ran in:  13.807080745697021
Exciton, frame 76068 ran in:  14.13874363899231
Exciton, frame 76069 ran in:  13.82086706161499
Exciton, frame 76070 ran in:  14.211962461471558
Exciton, frame 76071 ran in:  14.118322134017944
Exciton, frame 76072 ran in:  14.045432806015015
Exciton, frame 76073 ran in:  14.317270278930664
Exciton, frame 76074 ran in:  14.544062376022339
Exciton, frame 76075 ran in:  14.482840776443481
Exciton, frame 76076 ran in:  13.760657787322998
Exciton, frame 76077 ran in:  14.14740538597107
Exciton, frame 76078 ran in:  14.114884614944458
Exciton, frame 76079 ran in:  14.763784408569336
Exciton, frame 76080 ran in:  13.811569929122925
Exciton, frame 76081 ran in:  14.234884977340698
Exciton, frame 76082 ran in:  14.117977619171143
Exciton, frame 76083 ran in:  14.248352527618408
Exciton, frame 76084 ran in:  13.92733645439148
Exciton, frame 76085 ran in:  14.358029842376709
Exciton, frame 76086 ran in:  13.665629148483276
Exciton, frame 76087 ran in:  13.700204849243164
Exciton, frame 76088 ran in:  13.502016544342041
Exciton, frame 76089 ran in:  13.726357698440552
Exciton, frame 76090 ran in:  13.410580158233643
Exciton, frame 76091 ran in:  13.320194244384766
Exciton, frame 76092 ran in:  13.457513570785522
Exciton, frame 76093 ran in:  13.386070728302002
Exciton, frame 76094 ran in:  13.325733184814453
Exciton, frame 76095 ran in:  13.25545072555542
Exciton, frame 76096 ran in:  13.992726802825928
Exciton, frame 76097 ran in:  13.204312801361084
Exciton, frame 76098 ran in:  13.346922397613525
Exciton, frame 76099 ran in:  13.480328798294067
Exciton, frame 76100 ran in:  13.84616470336914
Exciton, frame 76101 ran in:  13.91314697265625
Exciton, frame 76102 ran in:  13.360604763031006
Exciton, frame 76103 ran in:  13.395491361618042
Exciton, frame 76104 ran in:  13.62690258026123
Exciton, frame 76105 ran in:  13.389341354370117
Exciton, frame 76106 ran in:  13.25484299659729
Exciton, frame 76107 ran in:  13.874553203582764
Exciton, frame 76108 ran in:  13.845470905303955
Exciton, frame 76109 ran in:  14.208582401275635
Exciton, frame 76110 ran in:  13.37337589263916
Exciton, frame 76111 ran in:  13.319589138031006
Exciton, frame 76112 ran in:  13.819740772247314
Exciton, frame 76113 ran in:  13.692993402481079
Exciton, frame 76114 ran in:  13.460500240325928
Exciton, frame 76115 ran in:  13.538133144378662
Exciton, frame 76116 ran in:  13.44087529182434
Exciton, frame 76117 ran in:  13.538256883621216
Exciton, frame 76118 ran in:  13.504802942276001
Exciton, frame 76119 ran in:  13.771479368209839
Exciton, frame 76120 ran in:  13.365922689437866
Exciton, frame 76121 ran in:  13.235814094543457
Exciton, frame 76122 ran in:  14.18132758140564
Exciton, frame 76123 ran in:  12.683563470840454
Exciton, frame 76124 ran in:  13.727775573730469
Exciton, frame 76125 ran in:  13.812302112579346
Exciton, frame 76126 ran in:  13.521883964538574
Exciton, frame 76127 ran in:  13.362282037734985
Exciton, frame 76128 ran in:  13.273376226425171
Exciton, frame 76129 ran in:  13.718957424163818
Exciton, frame 76130 ran in:  13.173010349273682
Exciton, frame 76131 ran in:  13.07012128829956
Exciton, frame 76132 ran in:  13.425962209701538
Exciton, frame 76133 ran in:  13.145867824554443
Exciton, frame 76134 ran in:  14.27838945388794
Exciton, frame 76135 ran in:  13.447964191436768
Exciton, frame 76136 ran in:  13.471256494522095
Exciton, frame 76137 ran in:  13.458839654922485
Exciton, frame 76138 ran in:  13.39659070968628
Exciton, frame 76139 ran in:  13.637262344360352
Exciton, frame 76140 ran in:  14.122212171554565
Exciton, frame 76141 ran in:  13.371870994567871
Exciton, frame 76142 ran in:  13.447956085205078
Exciton, frame 76143 ran in:  13.295648097991943
Exciton, frame 76144 ran in:  13.18270468711853
Exciton, frame 76145 ran in:  13.639984369277954
Exciton, frame 76146 ran in:  13.288535594940186
Exciton, frame 76147 ran in:  13.365789413452148
Exciton, frame 76148 ran in:  13.330819368362427
Exciton, frame 76149 ran in:  13.74213433265686
Exciton, frame 76150 ran in:  13.175970792770386
Exciton, frame 76151 ran in:  13.107176542282104
Exciton, frame 76152 ran in:  13.630899429321289
Exciton, frame 76153 ran in:  13.759231328964233
Exciton, frame 76154 ran in:  13.689143419265747
Exciton, frame 76155 ran in:  13.436523675918579
Exciton, frame 76156 ran in:  13.113851070404053
Exciton, frame 76157 ran in:  13.418351888656616
Exciton, frame 76158 ran in:  13.282974481582642
Exciton, frame 76159 ran in:  13.723081350326538
Exciton, frame 76160 ran in:  13.333842277526855
Exciton, frame 76161 ran in:  13.391237735748291
Exciton, frame 76162 ran in:  13.282674551010132
Exciton, frame 76163 ran in:  13.93586778640747
Exciton, frame 76164 ran in:  13.77246642112732
Exciton, frame 76165 ran in:  13.65919804573059
Exciton, frame 76166 ran in:  14.05937147140503
Exciton, frame 76167 ran in:  13.381608009338379
Exciton, frame 76168 ran in:  13.234097957611084
Exciton, frame 76169 ran in:  13.225555658340454
Exciton, frame 76170 ran in:  12.901030778884888
Exciton, frame 76171 ran in:  13.009174108505249
Exciton, frame 76172 ran in:  13.389423847198486
Exciton, frame 76173 ran in:  13.810064792633057
Exciton, frame 76174 ran in:  13.472501754760742
Exciton, frame 76175 ran in:  13.550857067108154
Exciton, frame 76176 ran in:  13.278595924377441
Exciton, frame 76177 ran in:  13.044859647750854
Exciton, frame 76178 ran in:  13.435966491699219
Exciton, frame 76179 ran in:  13.780712366104126
Exciton, frame 76180 ran in:  13.405824184417725
Exciton, frame 76181 ran in:  13.406034708023071
Exciton, frame 76182 ran in:  13.4000825881958
Exciton, frame 76183 ran in:  13.319499731063843
Exciton, frame 76184 ran in:  13.165034055709839
Exciton, frame 76185 ran in:  13.805161952972412
Exciton, frame 76186 ran in:  13.293319463729858
Exciton, frame 76187 ran in:  13.360334873199463
Exciton, frame 76188 ran in:  13.428308725357056
Exciton, frame 76189 ran in:  13.732403039932251
Exciton, frame 76190 ran in:  13.343437433242798
Exciton, frame 76191 ran in:  13.215791463851929
Exciton, frame 76192 ran in:  13.8074312210083
Exciton, frame 76193 ran in:  13.271288394927979
Exciton, frame 76194 ran in:  13.33636474609375
Exciton, frame 76195 ran in:  13.42779803276062
Exciton, frame 76196 ran in:  13.751270532608032
Exciton, frame 76197 ran in:  13.775390625
Exciton, frame 76198 ran in:  13.578524112701416
Exciton, frame 76199 ran in:  13.009127378463745
Exciton, frame 76200 ran in:  14.059742212295532
Exciton, frame 76201 ran in:  13.436368227005005
Exciton, frame 76202 ran in:  13.269294500350952
Exciton, frame 76203 ran in:  13.176618814468384
Exciton, frame 76204 ran in:  13.913361310958862
Exciton, frame 76205 ran in:  13.295752763748169
Exciton, frame 76206 ran in:  13.21577763557434
Exciton, frame 76207 ran in:  13.156201839447021
Exciton, frame 76208 ran in:  13.748199701309204
Exciton, frame 76209 ran in:  13.270414590835571
Exciton, frame 76210 ran in:  13.457490921020508
Exciton, frame 76211 ran in:  13.553707599639893
Exciton, frame 76212 ran in:  13.397985458374023
Exciton, frame 76213 ran in:  13.79488468170166
Exciton, frame 76214 ran in:  13.208781242370605
Exciton, frame 76215 ran in:  13.31539273262024
