cpu-bind=MASK - bp1-compute215, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.168294 secs
Exciton, frame 80000 ran in:  13.451543092727661
Exciton, frame 80001 ran in:  12.045767784118652
Exciton, frame 80002 ran in:  11.48712706565857
Exciton, frame 80003 ran in:  11.706888198852539
Exciton, frame 80004 ran in:  13.298610925674438
Exciton, frame 80005 ran in:  12.5606210231781
Exciton, frame 80006 ran in:  11.54329228401184
Exciton, frame 80007 ran in:  13.003177165985107
Exciton, frame 80008 ran in:  11.42762017250061
Exciton, frame 80009 ran in:  11.568817853927612
Exciton, frame 80010 ran in:  12.73413634300232
Exciton, frame 80011 ran in:  11.694477081298828
Exciton, frame 80012 ran in:  13.081933498382568
Exciton, frame 80013 ran in:  12.973605394363403
Exciton, frame 80014 ran in:  12.86949896812439
Exciton, frame 80015 ran in:  11.32768726348877
Exciton, frame 80016 ran in:  11.397038459777832
Exciton, frame 80017 ran in:  11.881332635879517
Exciton, frame 80018 ran in:  11.92051911354065
Exciton, frame 80019 ran in:  11.8744637966156
Exciton, frame 80020 ran in:  11.453202247619629
Exciton, frame 80021 ran in:  13.150685548782349
Exciton, frame 80022 ran in:  11.691097259521484
Exciton, frame 80023 ran in:  12.798304080963135
Exciton, frame 80024 ran in:  11.889565229415894
Exciton, frame 80025 ran in:  12.009060859680176
Exciton, frame 80026 ran in:  13.07429838180542
Exciton, frame 80027 ran in:  11.339354276657104
Exciton, frame 80028 ran in:  12.885564088821411
Exciton, frame 80029 ran in:  11.331872463226318
Exciton, frame 80030 ran in:  13.373271942138672
Exciton, frame 80031 ran in:  13.239522695541382
Exciton, frame 80032 ran in:  13.135230541229248
Exciton, frame 80033 ran in:  11.408315181732178
Exciton, frame 80034 ran in:  13.241719961166382
Exciton, frame 80035 ran in:  13.149694442749023
Exciton, frame 80036 ran in:  12.90530014038086
Exciton, frame 80037 ran in:  11.446221113204956
Exciton, frame 80038 ran in:  13.010807275772095
Exciton, frame 80039 ran in:  10.647124767303467
Exciton, frame 80040 ran in:  11.427891492843628
Exciton, frame 80041 ran in:  11.433656930923462
