cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xa7fb00ffa7fb00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 45.056077 secs
Exciton, frame 88000 ran in:  14.826571941375732
Exciton, frame 88001 ran in:  13.495753288269043
Exciton, frame 88002 ran in:  13.523031949996948
Exciton, frame 88003 ran in:  13.50344443321228
Exciton, frame 88004 ran in:  13.54036808013916
Exciton, frame 88005 ran in:  13.753192663192749
Exciton, frame 88006 ran in:  13.871314764022827
Exciton, frame 88007 ran in:  13.833014249801636
Exciton, frame 88008 ran in:  13.211543083190918
Exciton, frame 88009 ran in:  13.737794637680054
Exciton, frame 88010 ran in:  13.463671207427979
Exciton, frame 88011 ran in:  13.158455848693848
Exciton, frame 88012 ran in:  13.576720237731934
Exciton, frame 88013 ran in:  13.239033222198486
Exciton, frame 88014 ran in:  13.44255542755127
Exciton, frame 88015 ran in:  13.417335510253906
Exciton, frame 88016 ran in:  13.424594163894653
Exciton, frame 88017 ran in:  13.406808376312256
Exciton, frame 88018 ran in:  13.63582992553711
Exciton, frame 88019 ran in:  13.837826251983643
Exciton, frame 88020 ran in:  13.747605085372925
Exciton, frame 88021 ran in:  13.773676872253418
Exciton, frame 88022 ran in:  14.037867784500122
Exciton, frame 88023 ran in:  13.476907730102539
Exciton, frame 88024 ran in:  13.408201456069946
Exciton, frame 88025 ran in:  13.319413661956787
Exciton, frame 88026 ran in:  13.485460042953491
Exciton, frame 88027 ran in:  13.514617681503296
Exciton, frame 88028 ran in:  13.529028415679932
Exciton, frame 88029 ran in:  13.554635524749756
Exciton, frame 88030 ran in:  13.587268590927124
Exciton, frame 88031 ran in:  13.57212781906128
Exciton, frame 88032 ran in:  13.944565534591675
Exciton, frame 88033 ran in:  13.733722925186157
Exciton, frame 88034 ran in:  13.692851781845093
Exciton, frame 88035 ran in:  13.797356605529785
Exciton, frame 88036 ran in:  13.169018745422363
Exciton, frame 88037 ran in:  13.221999406814575
Exciton, frame 88038 ran in:  13.39029836654663
Exciton, frame 88039 ran in:  13.49703073501587
Exciton, frame 88040 ran in:  13.649863243103027
Exciton, frame 88041 ran in:  13.177448272705078
Exciton, frame 88042 ran in:  13.522515058517456
Exciton, frame 88043 ran in:  13.313072204589844
Exciton, frame 88044 ran in:  13.098276376724243
Exciton, frame 88045 ran in:  13.442996740341187
Exciton, frame 88046 ran in:  13.635478734970093
Exciton, frame 88047 ran in:  13.306773662567139
Exciton, frame 88048 ran in:  13.561872005462646
Exciton, frame 88049 ran in:  13.655055046081543
Exciton, frame 88050 ran in:  13.160090923309326
Exciton, frame 88051 ran in:  13.098843097686768
Exciton, frame 88052 ran in:  13.11428451538086
Exciton, frame 88053 ran in:  13.47530221939087
Exciton, frame 88054 ran in:  13.519179821014404
Exciton, frame 88055 ran in:  13.5914785861969
Exciton, frame 88056 ran in:  13.254230976104736
Exciton, frame 88057 ran in:  13.531008243560791
Exciton, frame 88058 ran in:  13.35727572441101
Exciton, frame 88059 ran in:  13.903657674789429
Exciton, frame 88060 ran in:  13.854418992996216
Exciton, frame 88061 ran in:  13.779017686843872
Exciton, frame 88062 ran in:  13.793850183486938
Exciton, frame 88063 ran in:  13.347330331802368
Exciton, frame 88064 ran in:  13.433960199356079
Exciton, frame 88065 ran in:  13.494770526885986
Exciton, frame 88066 ran in:  13.544783115386963
Exciton, frame 88067 ran in:  13.320096731185913
Exciton, frame 88068 ran in:  13.031332731246948
Exciton, frame 88069 ran in:  13.631622791290283
Exciton, frame 88070 ran in:  13.337416648864746
Exciton, frame 88071 ran in:  13.470513582229614
Exciton, frame 88072 ran in:  13.405632257461548
Exciton, frame 88073 ran in:  13.783899545669556
Exciton, frame 88074 ran in:  13.807051658630371
Exciton, frame 88075 ran in:  13.694584369659424
Exciton, frame 88076 ran in:  13.553459882736206
Exciton, frame 88077 ran in:  13.12619662284851
Exciton, frame 88078 ran in:  12.851677894592285
Exciton, frame 88079 ran in:  13.26176905632019
Exciton, frame 88080 ran in:  13.29744005203247
Exciton, frame 88081 ran in:  13.31372880935669
Exciton, frame 88082 ran in:  13.453449487686157
Exciton, frame 88083 ran in:  13.587037563323975
Exciton, frame 88084 ran in:  13.532245874404907
Exciton, frame 88085 ran in:  13.635015726089478
Exciton, frame 88086 ran in:  13.914653062820435
Exciton, frame 88087 ran in:  14.034002780914307
Exciton, frame 88088 ran in:  13.592654466629028
Exciton, frame 88089 ran in:  13.37514615058899
Exciton, frame 88090 ran in:  13.3627290725708
Exciton, frame 88091 ran in:  13.02842402458191
Exciton, frame 88092 ran in:  13.480993032455444
Exciton, frame 88093 ran in:  13.52167296409607
Exciton, frame 88094 ran in:  13.693625926971436
Exciton, frame 88095 ran in:  13.300382137298584
Exciton, frame 88096 ran in:  13.439768075942993
Exciton, frame 88097 ran in:  13.892015218734741
Exciton, frame 88098 ran in:  13.168687343597412
Exciton, frame 88099 ran in:  13.798661470413208
Exciton, frame 88100 ran in:  13.546638250350952
Exciton, frame 88101 ran in:  13.005438804626465
Exciton, frame 88102 ran in:  12.837491989135742
Exciton, frame 88103 ran in:  13.524719476699829
Exciton, frame 88104 ran in:  13.181278228759766
Exciton, frame 88105 ran in:  13.27367639541626
Exciton, frame 88106 ran in:  13.511229753494263
Exciton, frame 88107 ran in:  13.478770971298218
Exciton, frame 88108 ran in:  13.541353940963745
Exciton, frame 88109 ran in:  13.452228307723999
Exciton, frame 88110 ran in:  13.795111179351807
Exciton, frame 88111 ran in:  13.81801724433899
Exciton, frame 88112 ran in:  13.571767807006836
Exciton, frame 88113 ran in:  13.466979503631592
Exciton, frame 88114 ran in:  12.966919183731079
Exciton, frame 88115 ran in:  13.452823400497437
Exciton, frame 88116 ran in:  13.33167052268982
Exciton, frame 88117 ran in:  13.413527011871338
Exciton, frame 88118 ran in:  13.100664854049683
Exciton, frame 88119 ran in:  13.447349309921265
Exciton, frame 88120 ran in:  13.449271440505981
Exciton, frame 88121 ran in:  13.331886768341064
Exciton, frame 88122 ran in:  13.895446062088013
Exciton, frame 88123 ran in:  13.7830228805542
Exciton, frame 88124 ran in:  13.655977010726929
Exciton, frame 88125 ran in:  13.396542072296143
Exciton, frame 88126 ran in:  13.413553237915039
Exciton, frame 88127 ran in:  13.248295307159424
Exciton, frame 88128 ran in:  13.428601503372192
Exciton, frame 88129 ran in:  13.263195037841797
Exciton, frame 88130 ran in:  13.326138019561768
Exciton, frame 88131 ran in:  13.14469051361084
Exciton, frame 88132 ran in:  13.455116510391235
Exciton, frame 88133 ran in:  13.06599736213684
Exciton, frame 88134 ran in:  13.162854194641113
Exciton, frame 88135 ran in:  13.254606485366821
Exciton, frame 88136 ran in:  13.059118747711182
Exciton, frame 88137 ran in:  13.408465385437012
Exciton, frame 88138 ran in:  13.497986316680908
Exciton, frame 88139 ran in:  13.83641004562378
Exciton, frame 88140 ran in:  13.106745719909668
Exciton, frame 88141 ran in:  12.954735279083252
Exciton, frame 88142 ran in:  13.377790927886963
Exciton, frame 88143 ran in:  13.558869123458862
Exciton, frame 88144 ran in:  13.256033658981323
Exciton, frame 88145 ran in:  13.260154485702515
Exciton, frame 88146 ran in:  13.48559021949768
Exciton, frame 88147 ran in:  13.542669534683228
Exciton, frame 88148 ran in:  13.869378805160522
Exciton, frame 88149 ran in:  13.364561557769775
Exciton, frame 88150 ran in:  13.327687501907349
Exciton, frame 88151 ran in:  13.14489221572876
Exciton, frame 88152 ran in:  13.3059241771698
Exciton, frame 88153 ran in:  13.414132833480835
Exciton, frame 88154 ran in:  13.410048723220825
Exciton, frame 88155 ran in:  12.98716688156128
Exciton, frame 88156 ran in:  13.430672883987427
Exciton, frame 88157 ran in:  13.311095476150513
Exciton, frame 88158 ran in:  13.220566987991333
Exciton, frame 88159 ran in:  13.15914249420166
Exciton, frame 88160 ran in:  13.436446905136108
Exciton, frame 88161 ran in:  13.482458353042603
Exciton, frame 88162 ran in:  13.370133638381958
Exciton, frame 88163 ran in:  13.380170822143555
Exciton, frame 88164 ran in:  13.05019235610962
Exciton, frame 88165 ran in:  13.445382595062256
Exciton, frame 88166 ran in:  13.283377647399902
Exciton, frame 88167 ran in:  13.369527339935303
Exciton, frame 88168 ran in:  13.458357572555542
Exciton, frame 88169 ran in:  13.704079627990723
Exciton, frame 88170 ran in:  12.970090866088867
Exciton, frame 88171 ran in:  13.457501411437988
Exciton, frame 88172 ran in:  13.62203049659729
Exciton, frame 88173 ran in:  13.096768140792847
Exciton, frame 88174 ran in:  13.249389410018921
Exciton, frame 88175 ran in:  13.505785465240479
Exciton, frame 88176 ran in:  12.99716305732727
Exciton, frame 88177 ran in:  13.938263416290283
Exciton, frame 88178 ran in:  13.899978399276733
Exciton, frame 88179 ran in:  13.773895978927612
Exciton, frame 88180 ran in:  13.621308088302612
Exciton, frame 88181 ran in:  13.726815223693848
Exciton, frame 88182 ran in:  13.97633409500122
Exciton, frame 88183 ran in:  14.008991718292236
Exciton, frame 88184 ran in:  13.516369104385376
Exciton, frame 88185 ran in:  13.862308025360107
Exciton, frame 88186 ran in:  13.541582822799683
Exciton, frame 88187 ran in:  13.8607656955719
Exciton, frame 88188 ran in:  13.91670560836792
Exciton, frame 88189 ran in:  13.573556661605835
Exciton, frame 88190 ran in:  13.190450429916382
Exciton, frame 88191 ran in:  13.51246976852417
Exciton, frame 88192 ran in:  13.185218811035156
Exciton, frame 88193 ran in:  13.175222396850586
Exciton, frame 88194 ran in:  13.38886308670044
Exciton, frame 88195 ran in:  13.088287591934204
Exciton, frame 88196 ran in:  13.09909963607788
Exciton, frame 88197 ran in:  12.967585802078247
Exciton, frame 88198 ran in:  13.455339670181274
Exciton, frame 88199 ran in:  13.484281301498413
Exciton, frame 88200 ran in:  13.629060983657837
Exciton, frame 88201 ran in:  13.69983696937561
Exciton, frame 88202 ran in:  13.911244869232178
Exciton, frame 88203 ran in:  13.625457286834717
Exciton, frame 88204 ran in:  13.812930345535278
Exciton, frame 88205 ran in:  13.685063600540161
Exciton, frame 88206 ran in:  13.9699866771698
Exciton, frame 88207 ran in:  13.567058801651001
Exciton, frame 88208 ran in:  13.637117862701416
Exciton, frame 88209 ran in:  13.467162609100342
Exciton, frame 88210 ran in:  13.109281063079834
Exciton, frame 88211 ran in:  13.287641525268555
Exciton, frame 88212 ran in:  13.454665184020996
Exciton, frame 88213 ran in:  13.45220947265625
Exciton, frame 88214 ran in:  13.49324655532837
Exciton, frame 88215 ran in:  13.271606922149658
Exciton, frame 88216 ran in:  13.580302476882935
Exciton, frame 88217 ran in:  13.641002655029297
Exciton, frame 88218 ran in:  13.58950161933899
Exciton, frame 88219 ran in:  13.35306429862976
Exciton, frame 88220 ran in:  12.952782154083252
Exciton, frame 88221 ran in:  13.689902305603027
Exciton, frame 88222 ran in:  13.661251306533813
Exciton, frame 88223 ran in:  13.567417860031128
Exciton, frame 88224 ran in:  13.56684947013855
Exciton, frame 88225 ran in:  13.251281976699829
Exciton, frame 88226 ran in:  13.408167123794556
Exciton, frame 88227 ran in:  13.078866481781006
Exciton, frame 88228 ran in:  13.46669340133667
Exciton, frame 88229 ran in:  13.410228490829468
Exciton, frame 88230 ran in:  13.327343463897705
Exciton, frame 88231 ran in:  13.525482177734375
Exciton, frame 88232 ran in:  13.337167978286743
Exciton, frame 88233 ran in:  13.455739498138428
Exciton, frame 88234 ran in:  13.60664415359497
Exciton, frame 88235 ran in:  13.670845985412598
Exciton, frame 88236 ran in:  13.418832302093506
Exciton, frame 88237 ran in:  13.764863729476929
Exciton, frame 88238 ran in:  13.97864818572998
Exciton, frame 88239 ran in:  13.257927179336548
Exciton, frame 88240 ran in:  13.239552021026611
Exciton, frame 88241 ran in:  13.433761358261108
Exciton, frame 88242 ran in:  13.600184440612793
Exciton, frame 88243 ran in:  13.353016376495361
Exciton, frame 88244 ran in:  13.442714929580688
Exciton, frame 88245 ran in:  13.31665825843811
Exciton, frame 88246 ran in:  13.242154359817505
Exciton, frame 88247 ran in:  13.566173791885376
Exciton, frame 88248 ran in:  13.598357200622559
Exciton, frame 88249 ran in:  13.550126552581787
Exciton, frame 88250 ran in:  13.74915862083435
Exciton, frame 88251 ran in:  13.795417070388794
Exciton, frame 88252 ran in:  13.816259622573853
Exciton, frame 88253 ran in:  13.642214059829712
Exciton, frame 88254 ran in:  13.188934326171875
Exciton, frame 88255 ran in:  13.624529838562012
Exciton, frame 88256 ran in:  13.068190336227417
Exciton, frame 88257 ran in:  13.293897151947021
Exciton, frame 88258 ran in:  13.359368085861206
Exciton, frame 88259 ran in:  13.440621137619019
Exciton, frame 88260 ran in:  13.166184425354004
Exciton, frame 88261 ran in:  12.920303583145142
Exciton, frame 88262 ran in:  13.519521713256836
Exciton, frame 88263 ran in:  13.359817028045654
Exciton, frame 88264 ran in:  13.679419040679932
Exciton, frame 88265 ran in:  13.905633926391602
